,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,気　　　　　温（℃）,,,,,"気　　圧（翳6～聆24:mmHg, 025～55:翦）",,,,,湿　　　度（％）,,
,,年平均,高　極,測定月日,低　極,測定月日,年平均,高　　極,測定月日,低　極,測定月日,年平均,最　小,測定月日
,11,"８,９",31.1,9/ 4,-16.1,1/29,759.7,775.2,2/22,739.9,3/21,76.7,27.0,6/28
,12,8.8,29.0,8/23,-14.0,3/ 6,759.7,776.6,12/12,734.3,9/16,76.2,21.0,4/27
,13,8.7,32.5,8/10,-14.0,3/ 2,759.8,773.9,10/21,736.3,2/8,76.1,27.0,4/19
,14,9.2,31.2,8/20,-13.8,2/22,760.0,773.8,2/ 4,729.4,12/22,75.8,30.0,4/18
,昭和１,"８,５",28.0,8/25,-11.5,2/ 1,759.0,772.8,"1/29,2/22",738.0,12/ 8,75.3,33.0,5/10
,２,８．９,31.1,8/ 6,-16.0,2/ 4,760.0,776.1,3/ 8,731.6,12/29,76.3,27.0,5/ 9
,３,9.1,30.3,8/22,-12.9,12/19,760.3,775.7,4/1,733.9,3/ 3,76.3,24.0,5/10
,４,8.6,31.3,8/ 9,-15.4,1/22,759.8,775.0,12/ 6,732.9,4/21,76.0,24.0,4/19
,５,8.9,30.2,8/16,-12.7,1/ 6,760.7,779.9,3/ 7,742.5,5/20,76.0,25.0,5/27
,６,7.9,29.4,8/20,-16.2,2/23,760.4,774.0,1/ 1,733.9,4/ 6,76.5,35.0,4/23
,７,9.2,31.0,8/12,-14.0,2/ 8,760.1,775.2,1/21,741.7,4/25,75.7,26.0,4/30
,８,8.6,30.5,8/28,-14.2,3/ 2,760.3,774.2,1/10,736.7,9/ 5,75.5,29.0,3/26
,９,8.3,28.0,8/20,-12.1,"2/12,3/5",759.6,775.7,4/ 8,726.7,3/21,75.4,37.0,"4/23,5/20"
,10,８．９,29.1,7/31,-11.5,1/ 6,759.5,775.6,11/30,734.7,4/30,75.2,30.0,5/ 6
