,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,風　　　速（s/m）,,,,降　　水　　量　（皿）,,,積雪量（cm）,,日　　　照
,,平　均,"最　大
風　速","最大風速
の風向",測定月日,総　量,"日　最　大
降　水　量",測定月日,"日最深
積雪量",測定月日,"時　　数
　　　　(ｈ)"
,明治６,嵋●●,●●●,●●●,●●嗇,"1,745.5",,,●蕃●,,
,７,,●■●,●●●,●●●,"1,390.5",,,●・●,,
,12,"7,1",36.5,wsw,4/ 9,"1,295.4",67.4,9/15,24,1/19,"1,757.0"
,13,7.1,34.4,WSW,11/22,"1,031.7",87.7,9/22,36,3/10,"1,867.9"
,14,4.7,21.1,Ｗ,11/22,"1,091.1",69.8,8/31,39,3/12,"2,002.1"
,昭和１,4.9,22.6,WSW,"12/3,9","1,442.0",115.7,8/27,32,1/24,"1,795.1"
,２,4.8,25.2,WNW,12/29,"1,240.2",73.4,8/30,54,3/ 9,"1,973.0"
,３,4.7,27.9,WNW,2/ 7,"1,081.3",59.1,8/31,34,1/ 5,"1,796.0"
,４,4.4,23.9,NNW,3/14,"1,059.6",100.7,8/27,35,2/19,"1,903.0"
,５,4.4,23.5,WNW,11/12,"1,120.8",65.1,9/ 4,34,2/ 7,"1,856.0"
,６,4.4,23.9,sw,4/10,"1,253.7",69.7,6/13,56,3/ 1,"1,641.7"
,７,4.5,18.6,WNW,5/ 6,"1,589.2",101.1,8/ 5,47,2/ 5,"1,770.9"
,８,4.3,22.1,WNW,12/31,"1,288.5",73.9,7八,71,3/ 9,"2,022.9"
,９,3.9,24.2,ssw,3/21,"1,270.6",79.5,9/ 6,60,2/21,"1,796.2"
,10,3.8,19.0,Ｗ,3/26,"1,449.1",54.4,9/10,41,1/ 2,"1,753.6"
