	気温(℃)					"気圧(明治6～昭和24:mmHg,025～55:㍊)"					湿度(％)			
	年平均	高極	測定月日	低極	測定月日	年平均	高極	測定月日	低極	測定月日	年平均	最小	測定月日	
14	9.2	31.2	8月20日	-13.8	2月22日	760	773.8	2月4日	729.4	12月22日	75.8	30	4月18日	
昭和1	8.5	28	8月25日	-11.5	2月1日	759	772.8	"1/29,2/22"	738	12月8日	75.3	33	5月10日	
2	8.9	31.1	8月6日	-16	2月4日	760	776.1	3月8日	731.6	12月29日	76.3	27	5月9日	
3	9.1	30.3	8月22日	-12.9	12月19日	760.3	775.7	4月1日	733.9	3月3日	76.3	24	5月10日	
4	8.6	31.3	8月9日	-15.4	1月22日	759.8	775	12月6日	732.9	4月21日	76	24	4月19日	
5	8.9	30.2	8月16日	-12.7	1月6日	760.7	779.9	3月7日	742.5	5月20日	76	25	5月27日	
6	7.9	29.4	8月20日	-16.2	2月23日	760.4	774	1月1日	733.9	4月6日	76.5	35	4月23日	
7	9.2	31	8月12日	-14	2月8日	760.1	775.2	1月21日	741.7	4月25日	75.7	26	4月30日	
8	8.6	30.5	8月28日	-14.2	3月2日	760.3	774.2	1月10日	736.7	9月5日	75.5	29	3月26日	
9	8.3	28	8月20日	-12.1	"2/12,3/5"	759.6	775.7	4月8日	726.7	3月21日	75.4	37	"4/23,5/20"	
10	8.9	29.1	7月31日	-11.5	1月6日	759.5	775.6	11月30日	734.7	4月30日	75.2	30	5月6日	
昭和11	8.6	27.4	9月10日	-16.2	1月7日	759.3	776.9	12月16日	731	4月4日	75.6	31	4月29日	
12	8.9	31.7	8月3日	-14.2	2月9日	760	777.2	2月9日	736.5	9月12日	74.4	30	4月23日	
13	9.1	31.3	8月27日	-14.6	1月4日	759.4	772.7	1月11日	733.7	12月24日	75.8	27	"4/20,5/14"	
14	8.8	30.8	9月10日	-13.6	2月5日	759.8	776.1	3月1日	732.9	3月12日	78	40	"4/16,6/6"	
15	8.7	30	8月25日	-12.7	1月19日	759.2	774.1	11月5日	737.3	4月4日	76.5	24	5月11日	
16	7.4	27.3	"8/15,16"	-16.3	2月13日	759.9	775.6	11月26日	737.4	6月7日	78.4	21	5月17日	
17	7.7	30	7月26日	-17.9	2月10日	759	774.3	3月12日	743.4	"1/7,8"	77.7	23	4月30日	
18	8.1	31.1	7月29日	-15	1月2日	760.2	773.5	4月6日	741.8	10月3日	79	33	"4/10,5/3"	
19	7.7	30.9	8月3日	-14.6	1月15日	759.7	776.2	2月3日	734.2	10月18日	78.8	24	4月7日	
20	6.8	29.7	8月21日	-16.2	"1/7,12/24"	759.5	773.8	3月21日	728.4	12月18日	81.8	30	4月18日	
21	8.4	30.7	8月12日	-16.7	1月11日	760	775.4	3月27日	738.1	12月10日	80.3	23	4月23日	
22	7.3	29.2	7月16日	-14.5	12月15日	759.7	774.9	10月17日	729.2	4月21日	78.5	24	5月15日	
23	9.1	29.3	8月9日	-11.5	2月6日	760.9	776.5	3月19日	739	1月6日	79.1	23	5月22日	
24	8.3	29.9	8月10日	-14.8	12月29日	759.9	778.5	11月20日	735.6	10月30日	78.5	27	2月9日	
25	8.7	31.4	8月8日	-14.2	2月15日	"1,013.30"	"1,013.40"	11月5日	986	12月17日	79.3	22	5月14日	
26	8.3	30.3	8月18日	-16.2	1月14日	"1,013.30"	"1,037.00"	2月28日	981.9	11月26日	80	25	5月16日	
27	7.5	29.7	7月24日	-15.6	2月4日	"1,014.20"	"1,035.40"	10月14日	991.3	10月22日	81	32	4月7日	
28	7.7	29.1	7月30日	-15.9	2月16日	"1,014.20"	"1,037.60"	12月9日	984.3	1月13日	80	35	"9/14,10/2"	
29	7.8	28.2	9月12日	-16.2	1月23日	"1,014.80"	"1,035.70"	12月7日	971.3	5月10日	79	29	5月21日	
30	8.8	30.5	8月30日	-15.5	2月12日	"1,012.90"	"1,034.50"	3月27日	962.6	2月20日	82	28	4月28日	
31	8.1	28.7	"7/31,9/6"	-14.2	2月1日	"1,013.00"	"1,033.30"	2月27日	984.3	"1/28,29"	82	30	5月13日	
32	8.2	29.2	8月22日	-15.5	2月2日	"1,013.30"	"1,035.20"	11月24日	979.8	12月13日	79	28	4月19日	
33	8.7	28.2	"1/30,8/11"	-15.2	3月6日	"1,013.80"	"1,034.00"	10月17日	989.6	2月13日	78	23	4月24日	
34	8.9	27.8	"7/30,8/15"	-14.3	1月8日	"1,013.80"	"1,031.50"	12月11日	979.9	1月30日	79	27	5月24日	
35	8.3	30.1	8月6日	-14.1	1月13日	"1,013.60"	"1,032.10"	11月1日	991.5	12月30日	79	27	10月21日	
36	8.9	30.1	8月14日	-17.3	1月13日	"1,013.00"	…	…	…	…	79	28	4月11日	
37	8.6	30.1	8月16日	-12.4	1月15日	"1,012.70"	…	…	…	…	77	27	4月20日	
38	8.8	29.5	7月27日	-12.7	1月5日	"1,012.40"	…	…	…	…	78	24	5月16日	
39	8.1	28.9	8月6日	-13.9	2月18日	"1,014.90"	…	…	…	…	79	20	5月15日	
40	7.8	28.9	"8/19,28"	-13.9	1月25日	"1,011.40"	…	…	…	…	78	22	4月23日	
41	8	29.6	8月30日	-17.9	1月20日	"1,012.00"	…	…	…	…	79	24	3月12日	
42	8.3	29.8	8月5日	-17.5	2月12日	"1,013.20"	…	…	…	…	77	24	5月23日	
43	8.7	30.1	7月28日	-12.3	"1/31,2/17"	"1,013.30"	…	…	…	…	79	21	5月9日	
44	7.6	30.6	7月18日	-14.6	2月25日	"1,013.20"	…	…	…	…	77	22	4月28日	
45	8.2	31.5	"7/25,30"	-15.6	1月4日	"1,013.50"	…	…	…	…	78	18	5月5日	
46	8.2	31.7	8月5日	-12.6	1月6日	"1,013.10"	…	…	…	…	76	22	4月23日	
47	8.9	30.7	8月6日	-13.1	1月27日	"1,013.10"	…	…	…	…	76	23	4月5日	
48	8.7	30.3	8月8日	-12.2	2月9日	"1,012.50"	…	…	…	…	77	22	4月23日	
49	7.8	29.9	8月25日	-14.4	2月14日	"1,012.90"	…	…	…	…	79	21	5月22日	
50	8.7	32.3	8月1日	-13.7	2月13日	1.013.2	…	…	…	…	79	20	4月21日	
51	8.1	32.6	7月26日	-14.9	1月24日	"1,013.00"	…	…	…	…	77	21	4月12日	
52	8.3	30.4	7月31日	-15.2	2月2日	"1,013.80"	…	…	…	…	75	22	5月10日	
53	8.8	32.2	8月3日	-16.1	2月16日	"1,012.60"	…	…	…	…	73	20	5月6日	
54	8.9	30.8	8月18日	-14.1	1月29日	"1,013.30"	…	…	…	…	73	21	5月11日	
55	8.2	27.8	8月9日	-13.6	2月17日	"1,012.60"	…	…	…	…	72	22	"5/18,29,31"	
