,コ　レ　ラ,,赤　　　痢,,腸チフス,,発疹チフス,,ジフテリア,,痘　　　瘡,,ペ　ス　ト,,猩　紅　熱,,パラチフス,,流行性脳脊髄膜炎,,日本脳炎,,急性灰白髄炎,
,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　者,死　亡,患　　者,死　　亡,患　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　亡,患　　者,死　　亡
11,-,-,４,２,112,14,-,-,108,19,-,-,-,-,６,-,３,-,１,１,,●●●,●●●,●●●
12,-,-,４,２,81,18,-,-,154,25,55,７,-,-,10,１,１,-,-,-,,●●●,■●●,●●●
13,-,-,２,１,126,22,-,-,89,20,37,６,-,-,２,-,１,１,-,-,,●●●,,
14,-,-,１,-,131,35,-,-,134,24,-,-,-,-,23,１,６,１,-,-,●●●,■●・,●●●,●●●
昭和１,-,-,８,３,191,44,-,-,109,26,２,１,-,-,82,-,13,１,-,ー,●●●,●●●,●●●,●●●
２,-,-,21,３,210,47,-,-,215,31,２,-,-,-,23,-,15,２,-,-,●●●,●●●,●●●,●●●
３,-,-,21,２,252,37,-,-,192,23,-,-,-,-,56,６,12,-,-,-,●●●,●●●,●●●,●●●
４,-,-,７,-,156,32,-,-,229,34,-,-,-,-,59,４,４,２,１,-,,●●・,,●●●
５,-,-,１,-,27∠1,65,-,-,147,19,-,一,-,-,40,２,４,-,２,-,●●●,,●●●,●●●
６,-,-,９,１,189,50,-,-,136,14,-,-,-,-,27,１,６,１,１,１,●●●,●墨・,●●●,●●●
７,-,-,-,-,208,29,-,-,94,23,-,-,-,-,26,２,11,１,１,-,●●●,,●●●,●●●
８,-,-,-,-,189,30,-,-,168,43,ー,-,-,-,46,４,11,-,１,１,畢●●,●●●,●●●,
９,-,-,２,-,381,53,-,-,255,44,２,２,-,-,132,４,16,-,-,-,●●●,■●●,●・●,
10,-,-,２,-,274,31,一,-,97,12,-,-,-,-,56,２,12,-,-,-,●●●,●●●,●●●,
昭和ｎ,-,-,11,１,140,30,-,-,73,19,-,-,-,-,49,４,６,-,１,１,-,-,号●●,●●●
12,-,-,３,-,151,13,-,-,107,17,-,-,-,-,112,１,５,-,-,-,-,-,●●●,●●●
13,-,-,36,４,137,21,-,-,88,12,一,-,-,-,121,-,８,-,１,-,-,-,●二●,●●●
14,-,-,46,６,164,22,-,-,81,16,-,-,-,-,107,６,11,１,２,２,-,-,●●●,●●●
15,-,-,14,２,193,17,-,-,116,16,１,-,-,-,62,-,21,３,20,11,-,-,●●●,●●●
16,-,-,13,３,103,９,-,-,53,９,８,１,-,-,45,３,12,１,20,８,-,-,●●●,●●●
17,-,一,14,２,176,29,-,-,129,13,１,-,-,-,35,-,42,１,16,４,-,-,●●●,●●●
18,-,-,３,-,275,33,103,17,130,ｎ,-,-,-,-,17,-,12,１,５,１,-,-,●●●,●●●
19,-,-,269,44,434,50,153,34,253,37,-,-,-,-,17,-,18,２,12,３,-,-,●■●,●●●
20,-,-,56,12,550,68,93,16,273,23,16,１,-,-,６,-,17,一,68,29,-,-,襴■●,●●●
21,-,-,30,４,2n,33,234,36,169,17,221,33,-,-,13,４,16,-,14,１,-,-,,●●●
22,-,-,17,１,48,６,-,-,78,７,-,-,一,-,８,-,３,一,19,５,-,-,●●・,●●●
23,-,-,12,-,38,３,１,-,23,２,-,-,-,-,６,-,２,-,６,１,-,-,-,一
24,-,-,46,２,13,２,-,-,30,４,-,-,-,-,12,-,１,-,８,２,-,-,19,４
25,-,-,57,６,13,３,11,-,16,-,１,１,-,-,24,１,５,-,４,１,-,-,10,２
26,-,-,156,15,９,１,-,-,18,１,-,-,-,-,29,-,２,-,６,２,-,-,13,-
27,-,-,230,18,３,-,-,-,８,１,-,-,-,-,19,-,５,-,６,-,-,-,２,-
28,-,-,155,６,７,-,-,-,７,-,-,-,-,-,21,-,３,-,６,２,-,-,10,１
29,-,-,389,13,３,-,-,-,14,-,-,-,-,-,80,-,６,-,-,-,-,-,６,-
30,-,-,238,18,５,１,-,-,16,４,-,-,-,-,61,-,-,-,２,-,-,-,３,１
31,-,-,197,６,２,-,-,-,23,３,-,-,-,-,49,-,３,-,３,-,-,-,８,-
32,-,-,143,６,２,-,-,-,42,７,一,-,-,-,46,１,１,-,１,-,-,-,８,１
33,-,-,152,２,５,-,-,-,80,４,-,-,-,-,52,-,-,-,-,-,-,-,４,-
34,-,-,152,４,１,-,-,-,87,２,-,-,-,-,20,-,１,-,３,１,-,-,10,１
35,-,-,125,４,-,-,-,-,50,１,-,-,-,-,16,-,１,-,６,-,-,-,３,１
36,-,-,115,４,１,-,-,-,38,１,-,-,-,-,８,-,-,-,１,１,-,-,-,-
37,-,-,98,２,-,-,-,-,20,１,-,-,-,-,７,１,-,-,２,-,-,一,-,-
38,-,-,84,１,１,-,-,-,７,-,-,-,-,-,24,-,-,-,１,-,-,-,-,-
39,-,-,27,-,-,-,-,-,11,-,-,-,-,-,21,-,-,-,１,-,-,-,-,-
40,-,-,70,-,-,-,-,-,９,-,-,-,-,-,22,一一,-,-,-,-,-,-,-,-
41,-,-,51,２,３,-,-,-,-,-,-,-,-,-,19,-,-,-,-,-,-,-,-,-
42,-,-,25,-,-,-,-,-,１,-,-,-,-,-,１,-,-,-,-,-,-,-,-,-
43,-,-,12,-,-,-,-,-,２,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-
