,単位,昭　　和　　21,,昭　　和　　22,,昭　　和,23,昭　　和　　24,,昭　　和　　25,
,,数　　量,金　　額,数　　量,金　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　　額
輸出総額,,●●●,"663,365",●●●,"4,975,941",●●●,"14,106,338",●●●,"86,423,259",●●●,"175,191,008"
食料及び飲料,,-,-,-,-,-,-,-,-,・●●,"167,577,008"
鯣,百kg,-,-,-,-,-,-,-,-,"18,097","167,577,008"
木材紙及びその製品,,●●●,"663,365",●●●,"4,975,941",-,-,●●●,"13,046,609",-,-
製材類,㎡,923,"663,365","1,039","4,125,941",-,-,585,"13,046,609",-,-
針葉樹材,㎡,923,"663,365","1,039","4,125,941",-,-,-,-,-,-
松類,㎡,923,"663,365","1,039","4,125,941",一,-,-,-,-,-
広葉樹材,㎡,-,-,-,-,-,-,585,"13,046,609",-,-
楢,㎡,-,-,-,-,-,-,585,"13,046,609",-,-
木製品,,-,-,●●●,"850,000",-,-,-,-,-,-
ベニヤ板,㎡,-,-,"13,584","580,000",-,-,-,-,-,-
動植物同産品及びその製品,,-,-,-,-,-,-,-,-,●●●,"7,614,000"
魚粉,百kg,-,-,-,-,-,-,-,-,"2,268","7,614,000"
機械類及び機器類,,-,-,-,-,●●●,"14,106,338",●●●,"73,376,650",-,-
運搬用機器,,-,-,-,-,●●・,"14,106,338",●●●,"73,376,650",-,-
船舶,隻,-,-,-,-,７,"14,106,338",20,"73,376,650",-,-
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
