,単位,明　　治　　31,,明　　治　　32,,明　　治　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,大　　正　　10,,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金額
建築用鉄材類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,●●●,"12,539",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
諸鉄材類,斤,"6,517,382","213,162",3r318≪,"4,313",-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,480",126,-,-,"225,862","25,350",●●●,"4,106",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉄道機関車及び部分品,,-,-,-,-,-,-,-,-,-,-,●●暈,"103,002",-,-,-,-,-,-,-,-,●●●,"2,315",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
鉄道貨車及び部分品,,-,一,-,-,-,-,-,-,-,-,●●●,"10,628",-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
諸機械（器械及び器具）,,-,-,-,-,,"1,002",-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●二,"110,693",,855,●Ｉ●,498,,"2,339",,942,●●●,776,,"7,697",●●●,"3,642",■●■,"20,469",,"59,487",,"79,814",ｌ●●,"115,143",（汽船含）･･･,"135,791",（汽船含）･‥,"96,338",（汽魯含）‥・,"101,135",（汽船含）･･･,"70,832",（汽舶含）・‥,"27,662"
諸金属及び金装（製）品,,-,-,-,-,二●●,"3,732",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,"7,150",●●●,"9,285",●●●,228,●●●,"7,118",●●●,"4,545",,"175,088",,6.198,,"40,650",,"124,033",●●●,"543,488",,"66,189",曾●■,"14,894",蕃●●,"24,261",●二●,"14,631"
耐火煉瓦,斤,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,"201,000","7,195",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
色油,斤,-,-,-,-,"24,108","3,484","11,610","1,685","21,098","3,064","27,621","4,044","20,076","3,056","20,175","3,269","22,447","3,481","18,848","3,163","27,265","4,283","30,054","4,565","13,504","2,106","31,306","5,369",曾●●,"3,572",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他染料及び塗料,,-,-,-,-,,933,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,■●●,344,●■●,989,-,-,●●●,"3,205",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
毛皮,枚,185,"1,399",151,349,760,"3,562","1,820","5,606",739,"1,920",274,"1,821",501,"3,559",-,-,500,"4,073","1,158","4,572",827,"2,097","1,683","6,301",929,"4,303","1,457","7,219","1,847","11,159","3,750","13,119",●●●,"11,377",●●●,"12,107",●●●,"15,634",,"21,828",,"36,841",,"37,528",,"46,810",,"27,003",,"53,251",●●●,"22,643",●●●,"28,340"
