,単位,明　　治　　８,,明　　治　　９,,明　　治　　10,,明　　治　　11,,明　　治　　12,
,,数　量,金　　額,数　量,金　　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,●●嗇,"37,762",●二●,"20,084",,"14,628",●●●,"13,334",二●●,"4,432"
外国産有税品,小計,●●●,"32,364",●●●,"20,044",,"14,628",,"9,734",●・●,"4,205"
ブランケット(BLANKETS),斤,"1,200",404,-,-,67,36,-,-,５,４
毛払(BRUSHES),,-,-,-,-,-,-,-,-,●●●,７
牛酪(BUTTER),,●●●,123,,66,-,-,-,-,■●齒,145
蝋燭(CANDLES),斤,-,-,162,35,-,-,-,-,"1,875",241
馬車並びに馬車具(CARRIAGES & HARNESS),,-,-,-,-,-,-,-,-,●・●,50
椅子(CHAIRS),,-,-,-,-,-,-,-,-,●・●,１
珈琲(COFFEE),斤,-,-,-,-,-,-,-,-,300,86
菓子並びに砂糖漬(CONFECTIONERY),,,20,-,-,-,-,-,-,■・●,１
"生金巾(SHIRT I NG,GRAY)",ﾔｰﾄﾞ,-,-,-,-,-,-,-,-,13,２
"哂金巾(SHIRTING,WHITE)",ﾔづ,22,２,-,-,-,-,-,-,-,-
"染金巾(SHIRT】NG,DYED OR BLUE CAMBRICS)",ﾔづ,-,-,-,-,-,-,-,-,-,-
雲齋木綿(COTTON DRILLS),ﾔｰﾄﾞ,-,-,-,-,-,-,-,-,-,-
紋金巾(COTTON BROCADES),ﾔづ,-,-,-,-,一,-,-,-,-,一
綿天鵞絨(COTTON VELVETS),ﾔｰﾄﾞ,"4,500","1,364",-,-,-,-,-,-,-,-
更紗(PRINTED COTTON ＆CH【NTZES),ﾔｰﾄﾞ,46,４,-,-,-,-,-,-,36,４
縞布(GINGHAMS),ﾔｰﾄﾞ,11,５,-,-,-,-,-,-,-,-
"繰綿(COTTON,RAW)",斤,-,-,"83,993","8,786","44,745","6,800","12,243","1,490",-,-
"木綿繻袢股引(COTTON,SINGLETS AND DRAWERS)",数,-,-,-,-,-,一,-,-,-,-
"木綿台布(COTTON,TABLE CLOTH)",枚,-,-,-,-,-,-,-,-,３,45
"支那木綿織物(COTTON PIECE GOODS,CHINESE)",反,67,42,-,-,-,-,-,-,-,-
"薬種雑類(DRUGS,NOT SPECIFIED)",斤,-,-,-,-,-,-,-,-,-,-
猟銃(FLOWLING PIECES),数,-,-,-,-,-,一,-,-,-,-
毛皮(FURS),,●●●,23,●●●,120,-,-,,719,-,-
家具(FURNITURES),,,20,-,-,-,-,-,-,-,-
"窓硝子(GLASS,WINDOW)",箱,100,354,95,280,100,283,100,250,-,-
"硝子器(GLASS, W.八RE)",,-,-,-,-,-,-,-,-,●●●,42
金並びに銀器(GOLD & SILVER PLATES),,-,-,-,-,-,-,-,-,,23
手拭(HANDKERCHIEF),打,１,５,-,-,-,-,-,-,-,-
"麻糸(HEMP,YARN)",斤,-,-,-,-,-,-,"1,099",60,●●●,２
工用具(IMPLEMENTS & TOOLS),,-,-,-,-,-,-,-,-,,８
"土(INDI GO,DRY)",斤,-,-,-,-,-,-,-,-,４,１
"楽器(INSTRUMENTS,MUSICAL)",,,81,-,-,・●・,150,-,-,-,-
"熟鉄(IRON,MANUFACTURED)",斤,630,18,-,-,630,25,-,-,-,-
"鉄器(】RON,WARE)",,-,-,-,-,-,-,-,-,-,-
ランプ及び付属品(LAMPS＆FITTINGS),,-,-,-,-,-,-,-,-,一,-
麻布(LINEN),ﾔづ,-,-,-,-,-,-,-,-,112,25
洋酒・洋酒並びに酒精CLiQOURS),,■●●,484,-,-,-,-,-,-,-,-
ビール(BEER),打,520,1.168,425,944,128,122,276,575,-,-
瓶人ビール(BEER IN BOTTLES),打,-,-,-,-,-,-,-,-,４,８
ポルトル(PORTER),打,80,117,-,-,-,-,-,-,-,-
瓶入ポルトル(PORTER IN BOTTLES),打,-,-,-,-,-,-,-,-,２,４
槽入ブランデー(BRANDY IN CASKS),ｶﾞﾛﾝ,-,-,-,-,-,-,-,-,36,11
瓶入ブランデー(BRANDY IN BOTTLES),打,-,-,-,-,-,-,-,-,４,13
瓶人シャンパン(CHAMPAGNE IN BOTTLES),打,-,-,-,-,-,-,-,-,１,15
リキュール(LIQUEUER),打,●●●,40,26,30,-,-,-,-,-,-
瓶入リキュール(LIQUEUR IN BOTTLES),打,-,-,-,-,-,-,-,-,２,４
葡萄酒(WINE),打,-,-,15,554,-,-,-,-,７,10
瓶入葡萄酒(WINE IN BOTTLES),打,-,-,-,-,-,-,-,-,８,21
支那酒(CHINESE WINE/LIQOUR),,-,-,-,-,,84,,180,-,-
槽人洋酒雑類(LIQOURS IN CASKS.NOT SPECIFIED),ｶﾞﾛﾝ,-,-,-,-,-,-,-,-,18,21
"瓶入洋酒雑類（LIQOURS IN BOTTLES, /1　　）",打,-,-,-,-,-,一一,11,62,２,３
機械類(MACHINERY),,●●曾,91,-,-,-,-,-,-,●●●,78
旺呀蓆(MATTINGS FOR FL00R),ﾔづ,-,-,-,-,120,13,-,-,-,-
製薬(MEDICINES),,,20,-,-,-,-,-,-,●●・,70
鉱水(MINERAL WATER),,-,-,-,-,-,-,-,-,-,-
"石炭油・石炭油並びに石脳油CO IL,KEROSENE/& NAPHTHA)",斤,"313,950","16,837","74,400","4,464",-,-,"25,700","1,540",-,-
"種油(OIL,SEED)",斤,-,-,-,-,-,-,-,-,75,16
"油類(OIL,NOT SPECIFIED)",,,18,-,-,-,-,-,-,-,-
"黄丹油(olL,PAINT)",斤,-,-,163,10,-,-,-,-,-,-
香水(EAU DE CLOGNE),,●●●,13,-,-,-,-,-,-,-,-
陶器(PORCELAINS & EARTHEN WARE),,-,-,-,-,-,-,-,-,●啝●,12
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
