,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
清涼飲料,箱,61,505,65,332,798,"4,182",677,"4,810",471,"6,333",350,"3,323",346,"2,761"
麺類,貫,"6,538","1,375",-,-,-,-,-,-,"1,486","6,314","14,946","7,752","1,200","1,067"
菓子,貫,"4,269","8,273","2,851","6,277","4,796","10,420",872,"1,277","3,470","9,023","4,251","5,352",９,12
茶,斤,"56,255","62,884","16,555","11,617","52,436","14,203",448,395,"3,441","5,812","6,248","2,265",-,-
乾物類,貫,63,61,３,70,-,-,"1,099","1,012","15,084","9,045","6,057","7,922","1,102","1,681"
漬物類,樽,148,"1,484",146,"1,746",347,"1,765",679,"7,439","3,938","33,219","5,675","43,244","2,804","18,510"
その他諸飲食物,個,782,"14,911",796,"29,902","3,736","72,436","4,232","54,561","9,619","98,985","8,826","86,404","5,623","36,747"
煙草,箱,374,"15,836",53,"17,051",313,"19,172",84,"6,492",171,"14,676",230,"15,840",１,51
白絞油・菜子油,箱,28,434,11,274,56,936,74,"1,041",393,"8,718",96,"1,065",-,-
植物性油,箱,306,"4,532",26,853,"5,704","45,545","2,724","32,859",645,"13,775",150,"2,617",-,-
獣脂,箱,648,"10,015",-,-,805,"11,776",120,"1,800",478,"9,590",３,56,-,-
蝋及び蝋燭,貫,927,948,"5,892","11,048","1,270","7,199",-,-,"105,269","93,820",407,"1,069",-,-
酒精,箱,77,"1,609",１,33,-,-,-,-,-,-,-,-,-,-
曹達類,個,４,16,10,24,-,-,-,-,１,15,22,147,-,-
その他薬品,個,84,"4,626",974,"17,262",905,"22,636","1,393","31,941","3,473","26,551","1,594","16,990",20,722
染料,個,-,-,-,-,86,"1,802",20,484,748,"11,898",128,"2,608",-,-
塗料,個,98,"3,082",171,"2,920",266,"3,062","1,492","6,670",753,"7,787","1,911","16,304",-,-
綿,貫,58,331,135,778,218,997,154,588,204,168,-,-,-,-
苧及び麻・麻類,貫,-,-,５,75,140,592,480,349,706,"1,337",435,977,-,-
綿糸,貫,63,816,"1,360","6,399","3,272","19,214","12,524","46,500","11,506","75,000","14,343","81,464",224,961
その他糸,貫,739,"7,963",372,"1,879","1,662","19,976","4,120","36,241","23,144","81,594","17,506","60,235",-,-
縄索,貫,"36,811","79,336","3,190","8,877","30,381","82,746","47,136","132,158","91,109","252,551","78,000","301,981","29,760","52,273"
絹織物,個,-,一,１,196,-,-,-,-,１,197,-,-,-,-
綿織物,個,28,"6,810",115,"21,371",n3,"17,684",206,"8,387",159,"27,263","1,556","43,857",２,20
毛織物,個,１,594,47,"5,953",n1,"14,983",31,"3,657",36,"12,101",18,193,-,-
麻織物,個,-,-,-,-,１,118,５,106,10,749,-,-,-,-
その他織物,個,６,"1,757",-,-,17,"4,125",-,-,-,-,-,-,-,-
漁網,貫,"2,124","16,300","7,618","65,168","5,176","52,008","53,104","419,872","208,368","1,305,709","330,064","2,070,239","15,264","64,012"
その他布帛製品,個,138,"20,981",84,"5,861","1,281","20,089",754,"67,647","1,377","152,888",882,"46,147",３,91
莫大小,個,25,"1,527",80,"2,906",95,"18,264",26,"2,760","1,264","69,342",186,"6,608",一,-
衣類,個,201,"32,334",90,"15,078",373,"67,255",665,"97,184",430,"101,409","6,889","117,475",-,-
帽子,個,43,"1,130",-,-,20,"4,307",６,562,11,"2,105",３,168,-,-
足袋,個,-,-,-,-,１,10,63,"3,959",129,"9,239",313,"9,926",-,-
靴,個,217,"22,007",３,409,164,"3,814","1,687","60,242","1,363","69,291",762,"76,973",47,"5,986"
その他履物,個,１,84,63,"5,992",88,"11,048",303,"2,056",-,-,18,608,-,-
衣類付属品,個,-,-,92,"8,177",328,"50,479",249,"19,875",671,"97,023",383,"35,002",-,-
和紙,個,１,27,６,507,24,944,-,-,９,464,５,174,-,-
巻取用紙,個,-,-,-,-,-,-,-,-,-,-,-,-,400,"24,000"
洋紙・印刷料紙,個,２,216,542,"15,250",130,"2,317",１,18,-,-,１,41,"4,218","220,530"
その他紙類,個,126,"11,559",931,"25,520",261,"11,048",141,"7,047",464,"20,583",862,"27,413",10,982
書籍及び雑誌,個,12,847,-,-,-,-,６,331,２,160,-,-,１,27
印刷物,個,-,-,-,-,-,-,１,70,64,"2,524",24,528,２,110
紙製品,個,66,"2,405",21,"2,585","2,379","23,404",112,"4,649",42,"1,203",37,"1,059",２,75
セメソト,樽,61,523,146,"1,187","60,136","134,273",10,68,"52,110","225,175","57,195","222,926",236,"1,161"
その他鉱物製品,個,102,"1,461",516,"2,592",344,"1,700",238,"3,828","6,883","30,774","14,280","42,152",-,-
その他鉄材,貫,"23,717","20,129","31,280","20,064","18,365","18,727","72,717","63,181","165,880","121,254","58,819","37,249",64,23
その他金属材料・諸金属,貫,"5,232","9,083",45,60,"2,054","4,817","12,195","14,114","1,466","6,498","3,616","8,762",-,-
