,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,●●●,"2,560,550",●●●,"3,828,547",●●●,"2,842,812",●●●,"1,537,241",●●●,"2,346,300",●●●,"2,649,447",●■●,"4,705,781"
輸入品合計,,・●●,"2,560,539",●●●,"3,809,528",●●二,"2,834,976",●●●,"1,536,045",●●●,"2,343,686",●●●,"2,642,320",●●●,"4,668,233"
穀物穀粉澱粉類及び種子,小計,・●●,"159,158",●ａ●,"104,972",●●●,"62,610",●●●,"82,546",●争●,"120,383",●●●,"71,225",●●●,"36,940"
精米,百斤,"12,504","71,264",-,-,-,-,-,-,-,-,-,-,-,-
粟黍及び稗,百斤,-,-,145,882,-,-,-,-,-,-,-,-,-,-
高梁,百斤,"2,568","7,374","10,702","33,404","1,469","4,390",-,-,８,65,-,-,-,-
玉蜀黍,百斤,"3,280","9,060",~,-,-,-,丶　　-,-,-,-,-,-,-,-
大豆,百斤,493,"2,837",一,-,"1,333","7,118",280,"1,560",491,"2,874",-,-,-,-
小豆,百斤,"3,673","19,708","4,150","26,854",-,-,"5,380","35,651","9,641","72,727","5,898","50,705","2,199","18,525"
落花生,百斤,"5,429","48,837","4,650","40,738","5,930","48,350","4,046","44,646","3,518","41,385","1,295","17,286","1,451","18,415"
その他豆類,百斤,７,57,-,-,-,-,２,431,-,-,-,-,-,-
小麦粉,百斤,一,-,-,-,-,-,-,-,259,"2,377",251,"3,234",-,-
その他穀物穀粉及び種子,,晶●●,21,凖●●,"3,094",●●●,"2,752",●凖●,258,●●●,955,-,-,-,-
飲食物及び煙草,小計,●●●,"350,019",●●●,"341,614",●●●,"545,121",●●昜,"381,749",●●●,"1,285,518",暑●●,"1,319,611",●●●,"2,103,405"
乾果,百斤,267,"2,041",260,"2,358",303,"2,940",-,-,61,549,-,-,-,-
砂糖,百斤,117,935,-,-,-,-,-,-,-,一,-,-,-,-
紅茶,百斤,-,-,-,-,-,-,-,-,-,-,６,"1,776",-,-
牛肉,百斤,-,-,-,-,-,-,-,-,-,-,"3,296","97,110","2,540","79,837"
その他魚介缶詰,斤,118,103,-,-,-,-,-,-,-,-,-,-,-,-
酒類,立,"235,998","92,541",368,263,"1,561","1,225",-,-,-,-,-,-,-,-
バター,斤,-,-,-,-,-,-,-,-,-,-,"23,555","22,817",-,-
塩,百斤,"125,075","222,663","166,727","333,332","346,828","527,005","249,959","378,302","1,005,992","1,278,255","937,251","1,197,154","1,254,838","2,023,568"
その他飲食物,,●●●,"31,736",●●●,"5,661",,"13,951",●●●,"3,447",●●●,"6,714",●●●,754,-,-
皮毛骨角歯牙甲殻類,小計,●●●,"60,524",●●●,"82,485",●●●,"85,662",・●●,"9,721",●●●,"9,247",●●●,"2,429",●●●,"3,236"
毛皮類,斤,"10,067","60,269","17,255","82,476","31,326","85,336","5,585","9,653","3,260","9,184",590,"2,308",114,"3,236"
その他毛皮角牙類,,●・●,255,●●●,９,●●●,326,●●●,68,●●・,63,●襴●,121,-,-
油脂蝋及び同製品,小計,●●●,"742,923",●●・,"864,064",●亂●,"449,540",Ｉ●●,"278,549",●●●,"357,587",●●●,"538,603",・●●,"463,522"
植物性油,百斤,１,21,15,489,-,-,-,-,-,-,-,-,-,-
魚油,百斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-
原油及び重油,百瓦,"71,513","740,523","78,348","859,200","44,346","448,595","22,962","278,468","ll,823k","゛　357,217",-,-,-,-
石油　（比重0.73～0.8762）,百瓦,-,-,102,"3,912",10,422,-,-,-,-,-,-,-,-
その他鉱油,,●●●,"1,922",Ｉ●●,29,-,-,●●●,81,-,-,-,-,-,-
蝋燭,斤,382,457,127,n5,-,-,-,-,-,-,-,-,-,-
豚脂,百斤,-,-,ｎ,319,-,-,-,-,-,-,-,-,-,-
その他油脂蝋及び同製品,,-,-,-,-,●●●,523,-,-,●●●,370,●●●,"538,603",争●Ｉ,"463,522"
薬材化学薬製薬その調合品,小計,・●・,"4,763",・ｌ●,"2,643",-,-,●●●,"24,085",●●●,"62,220",●●●,"38,798",●●畢,"1,380"
及び爆発薬,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
薬材化学薬製薬,,●●・,"4,763",●●●,"2,643",-,-,●●●,355,-,-,●●●,"1,343",●●●,"1,380"
生イソデアラバー（ゴム）,百斤,-,-,-,-,-,-,423,"23,730",846,"62,220",424,"37,455",-,-
染料顔料塗料及び填充料,小計,●●●,"5,478",■●●,"1,018",-,-,●●●,42,-,-,●●●,"1,790",●●●,"2,064"
染料顔料塗料類,,●●曇,"5,478",●●●,"1,018",-,-,●●●,42,-,-,●●●,"1,790",●●●,"2,064"
絲縷縄索及び同材料,小計,●僵●,"1,142",-,-,-,-,-,-,-,-,-,-,●●●,"8,158"
毛織絲,斤,418,969,-,-,-,-,-,-,-,-,-,-,-,-
その他絲縷縄索類,,●●●,173,-,-,-,-,-,-,-,-,-,-,●●●,"8,158"
布帛及び同製品,小計,●・●,"1,608",●●●,265,●・・,"1,809",-,-,-,-,●●●,207,,"52,540"
ガソニー嚢,百斤,-,-,-,-,-,-,-,-,-,-,-,-,"2,334","52,540"
布帛及び同製品,,●●●,"1,608",●●●,265,●●●,"1,809",-,-,-,-,●●●,207,●●●,"1,128"
衣類及び同附属品,小計,●●●,202,●●●,990,●●●,"2,919",・●●,196,,１,●■●,77,●●●,333
衣類及び同附属品,,●●●,202,●申●,990,■●●,"2,919",●●●,196,●・●,１,●●●,77,●●●,333
紙紙製品及び書画類,小計,●●●,"2,580",●・●,"1,128",●●●,"1,250",,819,●・●,101,●●●,257,●●●,60
模造羊皮紙類,百斤,一,-,39,"1,005",18,353,-,-,-,-,-,-,-,-
書籍及び雑誌類,,●●●,"2,363",●●●,123,●●●,897,-,一,-,-,-,-,-,-
その他紙及び同製品,,●墨●,217,-,-,-,-,*(Ｄ･‥,819,*(1)…,101,*(1)…,257,*(1)…,60
曠物及び同製品,小計,●φ●,"271,697",●●●,"602,206",●●●,"504,695",,"545,735",●・●,"394,543",●●●,"309,232",●●●,"375,690"
燐曠石,百斤,"156,211","222,688","247,153","378,082","309,263","504,674","291,322","545,706","216,697","388,890","158,319","309,226","138,625","372,998"
粘土,百斤,"3,387","2,300","19,793","13,658",-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
