,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,數　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●¶●,"6,524,812",●●●,"9,114,263",●●●,"8,906,021",●・●,"10,306,451",●●●,"7,766,839",●●●,"9,132,833",●●●,"7,100,034"
農産物,小計,●●●,"836,710",●●・,"788,992",●●●,"858,550",●●●,"715,024",●●●,"621,847",●●●,"465,039",●●●,"294,158"
白米,石,"18,802","796,904","10,078","407,958","6,846","278,573","6,442","222,208","19,100","582,489","12,971","363,943","7,735","146,947"
玄米,石,-,-,-,-,-,-,-,-,-,-,-,-,●●●,７
糯米,石,-,-,-,-,200,"12,581",307,"12,282",293,"9,383",222,"6,658",228,"4,786"
朝鮮米,石,-,-,"9,093","362,713","13,630","529,273","13,871","451,302",72,"2,160","1,699","47,566","5,884","103,666"
外国米,石,18,463,140,"2,601",-,-,32,690,-,-,-,-,-,-
精麦,俵,61,531,12,99,150,822,174,"1,135",456,"3,069",33,247,105,499
その他麦類,俵,74,705,60,423,-,-,-,-,105,861,-,-,14,66
大豆,俵,117,"1,275",59,514,146,"1,285",56,458,614,"4,073",368,"3,259",138,774
小豆,俵,361,"4,877",103,837,266,"3,140",454,"3,739",332,"2,982",500,"5,069",459,"2,774"
豌豆,俵,33,393,-,-,-,-,-,-,-,-,２,24,３,22
隠元豆・菜豆,俵,-,-,13,119,30,272,165,"1,504",83,482,74,889,41,302
落花生豆,俵,42,472,-,-,４,32,32,260,-,一,20倫,143,14゛,76
燕麦,俵,202,784,40,178,10,138,39,122,-,-,138,493,108,301
蕎麦,俵,-,-,２,135,-,-,Ｉ,４,-,-,-,-,-,-
玉蜀黍,俵,-,-,-,-,-,-,-,-,-,-,１,10,１,４
その他雑穀及び種子,俵,-,-,34,764,-,-,-,-,５,62,266,"1,991",97,729
林檎・苹果,貫,"1,494","1,188",257,481,"1,603","1,163","3,804","3,119","1,363","1,401","1,120",693,"1,455",862
ノくナナ,貫,63,112,-,-,-,-,-,-,-,-,１,１,-,-
柑橘類,貫,81,65,-,-,-,-,-,-,372,269,"1,248","2,261",407,333
梨,貫,"1,038",596,-,-,46,42,387,239,546,573,576,379,757,398
その他果実,貫,-,-,７,18,-,-,"2,459","2,622",-,一,91,249,90,154
馬鈴薯,貫,"42,636","7,985","16,094","3,811","36,207","10,728","20,000","4,058","18,720","3,466","30,960","13,962","84,720",13752
その他蔬菜,貫,"38,181","19,623","19,479","8,341","39,878","20,501","15,219","11,272","20,914","10,149","46,208","16,852","53,387","17,186"
その他農産物,貫,"2,232",737,-,-,-,-,24儺,10,"1,690",428,"1,696",350,"1,738",520
畜産物,小計,●●●,"4,071",●●●,"5,451",●争●,"4,466",●●●,"4,824",●●●,"4,982",●●●,"6,067",●●●,"5,586"
馬,頭,-,-,１,350,２,840,１,470,-,-,-,-,-,-
牛,頭,-,-,10,"2,481",-,-,-,-,-,-,２,132,-,-
豚,頭．,39,"1,497",40,481,64,"1,097",39,"1,034",90,"1,932",57,871,94,"1,393"
鶏,羽,652,"1,505",86,148,553,"1,102",907,"1,347","1,232","1,882",819,"3,286",902,"2,623"
その他動物,個,１,129,１,154,-,-,-,-,-,-,８,41,-,-
