,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
鶏卵・鳥卵,箱,73,940,112,754,85,"1,027",201,"1,905",141,"1,163",178,"1,404",151,"1,366"
畜産食料品,個,-,-,-,-,-,-,２,68,-,-,11,329,８,168
毛皮及び皮革,個,-,-,３,868,１,400,-,-,１,５,１,４,１,36
その他畜産物,個,-,-,４,215,-,-,-,-,-,-,一,-,-,-
林産物,小計,●・●,"508,030",・●・,"163,233",●●●,"369,402",●●●,"591,421",●●●,"826,097",●●●,"535,809",●●●,"414,447"
角材,石,740,"5,449",138,795,"1,053","10,803","1,739","19,133","1,788","16,834",737,"6,231",-,-
丸太,石,"4,209","39,562","3,394","29,717","5,653","32,088","4,715","26,512","7,412","44,058","7,225","32,895","5,768","28,941"
挽材,石,"31,737","288,422","3,061","32,141","17,784","215,241","38,510","357,233","40,821","430,746","159,550","385,851","33,314","345,170"
その他製材,石,"10,527","154,229","8,698","83,862","6,716","77,127","14,186","173,910","25,206","297,186","16,924","92,677","4,207","26,221"
木炭,俵,840,"2,736",696,"1,549",516,"1,548","2,477","6,457","7,250","23,045",901,"1,932","1,270","1,760"
薪,百本,758,"8,306",642,"9,606",777,"12,006",289,"4,979",502,"6,103",498,"5,887",462,"4,623"
竹材及び籐,個,"2,084","7,493",887,"5,563","1,374","20,589",453,"2,694","2,099","6,722","1,443","8,463",807,"4,911"
その他林産物,個,196,"1,833",-,-,-,-,55,503,484,"1,403",251,"1,873","3,511","2,821"
水産物,小計,●●●,928,●●●,"100,262",,"31,161",●●●,"2,413",驫●●,954,●●●,"4,854",●●●,"2,874"
鮮魚介,貫,-,-,-,-,-,-,-,-,-,-,192,154,-,-
塩鮭,貫,-,-,"14,187","16,875","35,428","31,159",-,-,-,一,68,44,８,５
筋子,貫,-,-,"37,620","83,194",-,-,-,-,-,-,-,-,-,-
その他塩魚卵,貫,-,-,一,-,-,-,-,-,-,一,22,79,-,-
その他塩魚介,貫,-,-,-,-,１,２,-,-,-,-,403,201,352,199
身欠鰊・乾鰊,貫,85,79,-,-,-,-,-,-,-,-,160,224,16,17
棒鱈,貫,-,-,-,-,-,-,-,-,-,-,80,69,100,149
開鰓,貫,-,-,-,-,-,-,-,-,-,-,10,12,128,150
乾鰯,担,-,-,-,-,-,-,18,847,-,-,４,209,●●●,９
貝柱,担,-,-,-,-,-,-,-,-,-,-,１,52,１,105
その他乾魚,貫,12,50,-,-,-,-,-,-,-,-,384,714,699,942
その他乾貝,貫,-,-,-,-,-,-,-,-,-,-,６,40,11,54
その他昆布,貫,-,-,-,-,-,-,-,-,-,-,96,145,109,80
食用海藻,貫,900,655,226,193,-,-,980,459,480,400,"6,391","2,076",478,501
雑用海藻,貫,20,72,-,-,-,-,-,-,512,263,８,10,-,-
鯨油及び魚油,箱,７,72,一,-,-,-,-,-,-,-,-,-,-,-
鰹節,貫,-,-,-,-,-,-,65,363,10,43,19,77,83,150
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
