,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
理化学器,,争●●,"10,528",●●●,"8,380",●●●,"8,137",●●●,"48,211",-,-,-,-,-,-
学術器,,曇●瑤,"16,816",●●ｌ,"11,563",●●●,"15,670",-,-,-,-,-,-,-,-
自転車及びその他車輛,,●●●,"5,129",●■●,"5,117",■●●,"3,581",●●●,"3,040",-,-,-,-,-,-
汽船,隻,-,-,-,-,１,"4,000",-,-,-,-,-,-,-,-
その他船舶,,●●●,"610,590",●●●,"560,162",●●●,"593,229",354,"922,455",61,"562,856",74,"370,000",41,"276,603"
汽缶,斤,"188,891","41,236","352,944","77,118","226,892","52,824","4,765","44,414","2,105","40,222",-,-,-,-
電気機械,斤,"22,183","10,050","33,171","22,626","23,517","13,654",192,"13,754",-,-,-,-,-,-
喞筒,斤,"30,823","20,152","46,067","31,307","16,944","10,629",309,"17,214",-,-,-,-,-,-
金属工及び木工機械,斤,"61,343","59,120","81,966","76,694","52,267","44,319",338,"44,102",-,-,-,-,-,-
その他機械類,,●●●,"293,066",●●●,"425,196",●●●,"305,037",●●●,"343,122",●●●,"37,128",●●●,"5,080",●●・,320
雑品,小計,●●●,"1,024,014",,"973,085",・●●,"1,111,739",●●●,"1,010,604",-,-,●●卜,200,-,-
竹材及び竹製品,,●●●,"11,260",●●●,"8,329",●●●,"9,537",・●●,"10,229",-,-,-,-,-,-
鉄道枕木,石,-,-,81,261,５,29,-,-,-,-,-,-,-,-
箱板及び樽板,組,"946,139","337,386","726,124","269,780","852,113","442,626","711,289","342,957",-,-,-,-,-,-
その他挽材,石,"9,556","60,505","38,002","249,620","7,806","279,878",307,"11,496",-,-,-,-,-,-
丸太及び割材類,石,"10,926","51,478","4,417","19,043","1,860","42,685","1,793","28,959",-,-,-,-,-,-
縄索叺及莚（藁製）,,●●●,"219,799",●●●,"196,201",●●●,"151,893",●●●,"159,966",-,-,-,-,-,-
木製品,,●●●,"303,733",●●●,"173,552",●●●,"148,891",●●●,"408,548",-,-,●●●,200,-,-
ゴム及びセルロイド製品,,●●●,"5,543",暑●●,"10,649",●●襴,"2,548",-,-,-,-,-,-,-,-
魚肥,百斤,20,80,-,-,-,-,-,-,-,-,-,-,-,-
その他諸品,,●●●,"34,230",●●●,"45,650",●●●,"33,652",ｌｌ●,"48,449",-,-,-,-,-,-
小包郵便物,,-,-,-,-,-,-,-,-,-,-,-,-,-,-
合計,,●●●,"6,064,290",●●●,"6,339,346",●●●,"5,653,573",●・●,"5,874,931",●●●,"649,163",●●●,"511,256",●●■,"278,059"
再輸出品（外国産）,小計,●●●,"68,916",●●●,"125,642",●●●,"46,259",●●●,566,-,-,-,-,-,-
鮭缶詰,斤,-,-,-,-,765,255,-,-,-,-,-,-,-,-
その他塩魚,百斤,836,"8,745",-,-,-,-,-,-,-,-,-,-,-,-
塩,百斤,-,-,"21,597","65,966",-,-,-,-,-,-,-,-,-,-
その他飲食物,,●●●,358,●●・,"1,606",●●・,268,-,-,-,-,-,-,-,-
煙草,,●●●,"21,034",●●●,"25,832",■●●,"24,606",●・●,172,-,-,-,-,-,-
油脂燔及び同製品,,●●●,"1,282",●■Ｉ,100,-,-,-,-,-,-,-,-,-,-
糸縷縄索類,,●●●,"13,667",●●・,"3,167",-,-,-,-,-,-,-,-,-,-
金属製品,,●●●,389,-,-,-,-,-,-,-,-,-,-,-,-
時計学術器及び車輛,,●●●,"2,310",-,-,-,-,-,-,-,-,-,-,-,-
機械及び同部分品,,●●●,"18,996",●●●,"28,926",●●●,"16,461",-,-,-,-,-,-,-,-
その他諸品,,●●●,"2,135",●●■,45,●●●,"4,669",●●φ,394,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
