,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
蝋及び蝋燭,貫,36,102,８,13,-,-,-,一,-,-,８,18,-,-
曹達類,個,10,50,-,-,-,-,-,-,-,-,-,-,-,-
その他薬品,個,33,294,-,-,17,805,一,-,８,225,９,134,３,40
染料,個,-,-,-,-,-,-,-,-,６,133,-,-,２,30
塗料,個,13,102,-,-,-,-,-,-,-,-,２,11,３,90
苧及び麻・麻類,貫,12,35,-,-,16,40,-,-,995,"1,800",16,52,66,n4
綿糸,貫,768,"3,131",-,-,"3,303","14,936",-,一,146,"1,009",147,421,174,586
その他糸,貫,864,"2,455",-,-,-,-,-,-,256,633,256,"1,058",45,108
縄索・麻縄索,貫,"97,584","134,930",352,688,"55,598","90,020","41,080","96,627","105,224","149,667","93,712","133,536","75,968","91,084"
綿織物,個,４,320,-,-,23,"1,470",-,-,ｌ,160,１,１,-,-
毛織物,個,-,-,-,-,１,18,-,-,-,-,-,-,-,-
漁網,貫,"198,510","733,858",-,-,"106,949","635,317","195,359","544,424","246,240","968,253","208,784","906,122","239,344","649,825"
その他布帛製品,個,175,"14,172",-,-,107,"2,698",130,"34,484",223,"7,129",77,"3,778",62,"2,522"
莫大小,個,-,一,-,-,３,146,-,-,-,-,１,11,３,123
衣類,個,189,"17,100",９,"2,051",47,"7,719",１,90,７,286,７,643,18,"1,576"
帽子,個,-,-,-,-,-,-,-,-,-,-,-,-,１,１
足袋,個,-,-,-,-,15,"1,027",-,-,５,139,３,185,７,308
靴,個,４,301,-,-,５,249,-,-,４,243,１,65,３,226
その他履物,個,-,-,-,-,-,-,-,-,-,-,-,-,１,32
衣類附属品,個,-,-,-,-,28,"2,012",-,-,-,-,４,93,７,412
洋紙,個,４,440,-,-,-,-,-,-,-,-,,-,-,一
その他紙類,個,-,-,-,-,-,-,-,-,-,-,７,488,２,21
書籍及び雑誌,個,-,-,-,-,１,50,-,-,-,-,-,-,-,-
紙製品,個,-,-,133,"1,321",-,-,-,-,10,540,-,-,-,-
セメント,樽,２,10,-,-,３,17,-,-,-,-,-,-,-,-
その他礦物製品,個,-,-,-,-,-,-,-,-,-,-,１,９,２,29
その他鉄材,貫,"1,719","1,090",-,-,-,-,-,-,-,-,864,n3,-,-
その他金属材料,貫,10,60,-,-,-,-,-,-,560,224,-,-,-,-
軌條,噸,23,"10,416",-,-,-,-,-,-,一,-,3.9,430,９,735
鉄管,貫,556,"1,122",-,-,81,300,-,-,"1,000",158,336,133,-,-
鉄釘,樽,30,210,-,-,-,-,-,-,-,一,７,50,６,33
鉄線,貫,-,-,-,-,-,-,-,-,144,226,-,-,-,-
その他鉄製品,貫,"31,032","48,349",192,205,"27,771","186,227",959,"5,663","28,812","46,767","17,250","25,632","24,852","50,788"
諸金属製品,貫,100,473,-,-,-,-,-,-,-,-,-,-,32,23
陶磁器,個,65,149,１,13,６,18,-,-,16,44,１,２,-,一
