,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"11,874,691",●●●,"7,153,768",●■●,"11,441,273",●●●,"8,163,383",●●●,"19,321,253",●●●,"17,715,877",●●●,"6,308,181"
農産物,,,,,,,,,,,,,,,
白米,石,179,"8,577",912,"37,037","1,909","74,932","2,754","98,897","3,249","103,658","4,563","140,596",778,"16,802"
玄米,石,-,-,-,-,-,-,-,-,360,"11,052",120,"3,965",-,-
糯米,石,-,-,-,-,-,-,27,"1,152",169,"6,008",764,"21,863",59,850
朝鮮米,石,-,-,-,-,-,-,"1,079","36,557",-,-,"2,605","72,933",-,-
外国米,石,89,"2,467",12,470,-,-,12,435,186,"3,959",５,68,-,-
精麦,俵,-,-,496,"2,803",600,"2,919",17,103,149,900,275,"2,846",-,-
その他麦類,俵,14,84,-,-,-,-,-,-,244,"2,338",-,-,-,一
大豆,俵,80,942,171,"1,562",74,831,167,"1,525",229,"2,011",651,"4,716",20,160
小豆,俵,10,165,30,288,32,331,80,971,258,"3,442",434,"4,303",21,158
豌豆,俵,52,562,10,196,２,26,１,10,-,-,131,"1,148",６,45
隠元豆・菜豆,俵,73,"1,148",272,"2,304",157,"1,477",77,854,234,"3,886",75,820,57,624
落花生豆,俵,-,-,-,-,10,90,-,-,一,-,4袋,27,-,-
その他豆,俵,-,-,24,347,-,-,４,50,-,-,-,-,-,-
燕麦,俵,732,"2,517",-,-,"2,679","10,477","1,749","5,440","3,594","20,800",728,"2,288",-,-
蕎麦,俵,-,-,-,-,-,-,-,-,102,"1,144",-,-,-,-
玉蜀黍,俵,40,264,150,"1,200",-,-,60,369,-,-,71,408,-,-
その他雑穀及び種子,俵,16,215,-,-,-,-,17,110,３,87,309,"4,576",５,140
林檎・苹果,貫,"4,536","3,817","7,098","6,373","6,656","5,408","18,344","13,847","6,576","4,620","6,672","4,210","3,338","1,890"
ノくナナ,貫,26,34,20,23,-,-,-,-,200,244,８,９,-,-
柑橘類,貫,304,363,45,22,"1,824","1,374","2,773","2,990","1,181","3,464",338,406,276,728
梨,貫,288,191,232,121,"1,522",679,"2,023","1,865",861,558,480,302,158,90
柿,貫,-,-,-,-,-,-,-,-,36,266,-,-,-,一
その他果実,貫,137,"1,152","1,622","1,423","20,414","15,268","13,962","15,358","23,881","16,897","9,821","7,148","3,934","4,695"
甘藷,貫,48,17,-,-,-,-,-,-,-,-,144,39,-,-
馬鈴薯,貫,"2,505","1,593","22,006","3,508","83,888","14,838","147,610","29,844","248,192","48,403","252,608","44,261","141,744","21,513"
