,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
清酒,升,"2,583","2,399",20,37,"7,774","9,287","11,043","11,161","28,106","27,814","25,713","25,809","8,776","8,776"
焼酎,升,96,66,-,-,23,28,"10,600","2,362","1,740","1,288",-,-,"1,000",550
麦酒,箱,76,"1,444",77,"1,465",23,455,24,544,46,845,12,223,-,-
葡萄酒,升,30,75,-,-,-,-,1゛,56,-,-,-,-,-,-
その他洋酒,升,814,"3,787",-,一,19,123,19,44,144,749,98,109,-,-
味噌,貫,480,364,"2,441","1,812","2,104","1,648","6,012","4,506","33,720","24,220","37,960","25,481","4,945","8,653"
醤油,升,"1,517",899,"3,549","1,676","2,660","1,423","3,111","1,640","22,800","12,337","17,316","8,341",10,５
食塩,叺,"1,347,991","2,004,132","67,356","56,137","983,340","970,322","109,019","90,112","1,455,446","1,388,867","827,162","772,702",51,335
砂糖,担,"4,254","70,004",623,"10,658",805,"10,914",218,"3,773",939,"12,314",403,634,６,61
小麦粉,袋,"42,775","177,480","41,502","131,363","2,458","9,519",154,756,"59,366","251,680","109,536","274,274",-,-
澱粉（馬鈴薯澱粉）,袋,"4,004","46,671","1,332","12,060","3,685","30,508","1,326","10,408","1,793","15,281","1,593","8,039",110,700
白玉粉,箱,５,46,-,-,４,70,１,６,134,809,９,49,-,-
その他澱粉及び穀粉,貫,-,-,160,141,144,163,６,30,"3,024","6,877",450,208,-,-
蟹缶詰,箱,235,"4,909",159,"4,791","2,135","42,708","21,614","749,052","13,510","431,809","11,708","349,247","2,906","87,885"
鮭及び鱒缶詰,箱,"30,993","331,424","17,162","369,646","98,930","1,834,358","63,243","1,105,547","146,462","1,818,047","157,189","2,212,181","249,042","2,727,064"
その他缶詰,箱,814,"11,884","10,997","190,862","15,604","220,199","2,808","64,622","3,598","60,034","2,730","30,575","4,897","35,325"
練乳,箱,"1,759","21,742",81,"1,665",990,"10,600",202,"4,264","1,943","23,770","5,483","64,255",40,360
その他乳肉製品,箱,３,113,-,-,７,870,346,"24,363",965,"30,585",32,"1,539",163,"5,513"
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
