,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
筋子,貫,"110,071","289,532",990,"1,206","30,643","42,376","18,188","49,478","63,622","119,966","7,513","28,597","25,856","49,860"
その他塩魚卵,貫,639,"1,280",-,-,-,-,597,"1,089",549,"1,056",703,838,56,90
その他塩魚介,貫,"26,737","23,944",328,35,"84,433","40,526","86,622","32,252","45,018","52,773","8,396","1,314","14,683","9,571"
身欠鰊・乾鰊,貫,54,76,-,-,64,76,"1,327","1,568",624,744,410,862,64,47
乾鯑,貫,"1,444","7,800",-,-,50,126,661,"2,325",215,559,409,"1,025",-,-
棒鱈,貫,"239,468","267,507","88,066","90,551","12,672","17,223","30,789","32,152","29,297","28,114","15,088","13,202","6,093","2,873"
開鱈,貫,-,-,"237,654","271,578","219,923","230,931","73,408","73,884","142,466","177,187","110,117","94,579","46,640","29,992"
鱶鰭,担,"1,420","169,464","1,544","124,938","1,130","123,755",766,"61,456","1,090","80,228","1,231","76,064",663,"47,593"
乾鯣,担,"67,651","2,215,751","52,517","1,733,188","24,946","866,269","11,584","526,975","21,184","1,029,238","11,785","408,673","3,079","99,254"
海参,担,"1,894","508,137","2,061","410,748","1,382","260,864","1,357","254,059","1,657","303,847",763,"104,414",579,"65,436"
乾鮑,担,434,"100,363",459,"85,970",314,"61,761",397,"81,940",446,"83,626",249,"40,559",151,"22,665"
貝柱,担,"6,316","798,527","5,179","684,097","3,282","400,873",947,"184,961","2,372","325,913",773,"86,981",474,"53,921"
その他乾魚,貫,"3,356","5,250","8,510","10,268","2,528","5,372","1,781","3,607","14,837","25,796","6,941","9,990",426,205
その他乾貝,貫,272,692,256,716,16,31,112,560,208,588,80,167,33,415
長切昆布,貫,"1,501,093","719,832","1,077,428","412,043","549,672","194,548","287,123","115,048","646,655","229,669","291,776","87,210","234,883","62,619"
元揃及び折昆布,貫,346,264,-,-,"14,192","4,516",-,-,"2,339",730,176,415,260,205
その他昆布,貫,"9,105","3,865","2,760",937,"15,360","4,700","63,624","24,432",-,一,"27,747","5,834","21,840","8,106"
食用海藻,貫,801,"2,275",40,473,"2,639","17,961","1,064","4,123","1,269","5,844","10,689","14,915","5,782","17,58"
雑用海藻,貫,"34,350","65,483","26,196","40,174","28,437","42,658","15,932","31,422","6,400","9,293","1,856","2,791","4,232","3,855"
鯨油及び魚油,箱,-,-,-,-,12,58,117,720,519,"7,103",660,"2,240",-,-
鰊粕,石,-,-,-,-,-,-,-,-,-,一,-,-,728,"6,138"
鰛粕,石,-,-,-,-,-,-,-,-,-,-,-,-,"3,096","31,335"
鱈粕,石,-,-,一,-,-,-,-,-,153,"2,673",-,-,"1,224","9,180"
粉末肥料,石,-,-,-,-,-,-,-,-,-,一,"9,250","190,080","35,510","469,554"
鰹節,貫,-,-,-,-,-,-,96,775,13,114,133,861,18,234
刻昆布,函,"34,430","165,759","50,994","187,776","36,366","113,600","16,449","86,622","52,584","221,080","21,634","70,562","3,070","33,673"
海産食料品,貫,562,"1,451",24,181,297,416,868,"1,886","1,062","8,059","2,265","7,658","6,990","6,358"
その他水産物,個,-,-,705,"2,031",55,385,13,113,"1,544","5,478",145,713,220,"2,200"
鉱産物,,,,,,,,,,,,,,,
石炭,トッ,35,660,262,"2,464","13,788","227,171","12,839","191,163","18,659","276,300","22,008","291,239","11,836","140,984"
揮発油,函,"1,996","16,748",900,"8,100",341,"2,300",695,"4,011",766,"3,982","1,130","7,087",-,-
石油,箱,220,"7,108",13,90,363,"3,543",385,"1,602","3,281","15,169","7,661","39,684",２,10
その他鉱油,箱,"9,003","35,133",774,"5,519",309,"2,715","12,448","59,912","14,078","40,799","40,183","138,310","17,685","80,712"
硫黄,トッ,-,-,23,"1,440",-,-,●二二,36,-,-,●●●,５,173,"9,710"
その他鉱産物,トッ,３,233,-,-,"1,099","15,164",●●●,90,-,-,n8,"1,242",-,-
工産物,,,,,,,,,,,,,,,
