,単位,昭　　　和　　　26,,昭　　　和　　　27,,昭　　和,28,昭　　　和　　　29,,昭　　　和　　　30,,昭　　　和　　　31,,昭　　　和　　　32,,昭　　　和　　　33,,昭　　和,34,昭　　　和　　　35,,昭　　　和　　　36,
,,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額,数　　量,金　　　額
機械類及び運搬用機器,小計,●●●,407,●●●,"4,003",●●●,"156,405",●●・,"37,025",●●●,"2,532",●●●,"235,929",φ●●,"178,907",■●●,"105,634",●●●,"52,166",●●●,"16,948",●●●,"25,148"
機械類,,●●●,17,-,-,●●●,112,●●●,"33,438",●●●,"1,377",●●●,"235,929",●●●,"178,907",●●●,"103,709",●●●,"52,125",●●●,"16,948",●翩●,"24,961"
乗用自動車,台,２,390,10,"4,003",28,"10,210",８,"3,291",３,"1,155",-,-,-,-,３,"1,894",-,-,-,-,１,45
船舶,隻,-,一,-,-,１,"145,900",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他,,-,-,-,-,●●●,183,●●●,296,-,-,-,-,-,-,●●●,31,●●●,41,-,-,●匆●,142
雑製品,小計,ａ●ａ,149,●●●,298,●●●,"3,393",●●●,428,●●●,630,昜●●,"14,361",●昜●,"20,366",●●昜,"13,927",●●●,984,●●●,971,●●●,"7,532"
測量器及びその部分品,kg,-,-,-,一,-,-,-,-,-,-,-,-,-,-,864,"3,023",-,-,-,-,３,"2,692"
ら針盤及びその部分品,kg,-,-,-,-,-,-,-,-,-,-,"1,023","3,300","1,767","5,106","2,525","7,368",10,96,-,-,"1,261","3,341"
自動調整装置,台,-,-,-,-,-,-,-,-,-,-,３,"5,505",３,"7,292",23,268,１,256,-,-,-,-
その他,,●●●,149,・●●,298,●●●,"3,393",●●●,428,●僵●,630,暴●●,"5,556",●●●,"7,968",・●●,"3,268",●●●,632,●●●,971,●●●,"1,499"
特殊取扱品,小計,-,-,-,-,-,-,-,-,●■●,"2,383",-,-,-,-,-,-,-,-,-,-,-,-
その他,,-,-,-,-,-,-,-,-,●●●,"2,383",-,-,-,-,-,-,-,-,-,-,-,-
再輸入品,小計,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●■●,20,-,-,-,-
