,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　　和　　　10,,昭　　　和　　　11,,昭　　　和　　　12,,昭　　　和　　　13,
,,数　　量,金　額,数　量,金　　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
魚油,百斤,"7,676","54,278","24,958","191,336","23,671","175,290","23,074","222,818","33,798","459,761","52,744","818,943","24,380","288,894"
(鮫油),百斤,-,-,-,-,-,-,(846),"(7,834)",-,-,(906),"(14,849)","(3,478)","(46,629)"
(鰮油),百斤,-,-,-,-,-,-,"(22,228)","(214,984)","(33,798)","(459,761)","(51,588)","(802,594)","(20,790)","(241,034)"
(その他魚油),百斤,-,-,-,-,-,-,-,-,-,-,(250),"(1,500)",(112),"(1,231)"
硬化油,百斤,ー,-,-,-,-,-,-,-,932,"16,325","8,236","156,850","14,665","120,917"
その他油脂蝋及び同製品,,-,-,-,-,-,-,●●●,25,-,-,-,-,-,-
薬材化学薬製薬その調合品,小計,●●●,"4,589",●●●,"1,806",争●●,"1,440",●●●,"201,480",-,-,●●●,"32,712",,"57,080"
及び爆発薬,,,,,,,,,,,,,,,
硫黄,百斤,"1,283","4,489",-,-,304,"1,440","56,164","201,480",-,-,"7,622","32,528","11,007","57,050"
その他薬材化学薬製薬,,・●●,100,,"1,806",-,-,-,-,-,-,●●ａ,184,-,-
燐寸,斤,-,-,-,-,-,-,-,-,-,-,-,-,１,30
染料顔料塗料及び填充料,小計,-,~,-,-,-,-,-,-,-,-,●●●,29,-,-
その他染料顔料塗料類,,-,-,-,-,-,-,-,-,-,-,●●●,29,-,-
糸縷縄索及び同材料,小計,-,-,-,-,-,-,-,-,-,-,,"1,633",-,-
麻縄,百斤,-,-,-,-,-,-,-,-,-,-,46,"1,633",-,-
布帛及び同製品,小計,●●●,40,●●●,70,-,-,-,-,-,-,●●■,180,-,-
蒲団及び敷布,斤,60,40,-,-,-,-,-,-,-,-,-,-,-,-
漁網,百斤,-,-,５,70,-,-,-,-,-,-,３,150,-,-
その他布帛製品,,-,-,-,-,-,-,-,-,-,-,,30,-,-
衣類及び同付属品,小計,・●●,158,●●●,"1,590",●●●,150,-,-,,"32,947",-,-,-,-
革靴及びゴム靴,打,５,108,39,651,７,150,-,-,-,-,-,-,-,-
ゴム靴,打,-,-,-,-,-,-,-,-,872,"12,726",-,-,-,-
運動靴,打,-,-,-,-,-,-,-,-,"5,300","20,123",-,一,-,一
洋服,,●●●,50,-,-,-,-,-,-,-,-,-,-,-,-
その他衣類及び同付属品,,-,-,●●●,939,-,-,-,-,,98,-,-,-,-
紙製品及び書画類,小計,●●●,"2,567",,195,,"4,540",,"2,004",-,-,●●乖,"3,299",●●●,"4,289"
塵紙,百斤,-,-,-,-,-,-,-,-,-,-,50,"1,434",-,-
その他紙,百斤,ー,-,-,-,429,"4,450",206,"2,000",-,-,202,"1,802",273,"3,920"
レーベル,斤,"4,504","2,567",124,195,117,90,２,４,-,-,-,-,50,34
その他紙製品,,-,-,-,-,-,-,-,-,-,-,●●●,63,●●●,335
鉱物及び同製品,小計,-,-,-,-,●●●,"216,070",●●●,"135,325",-,-,●●●,12,-,-
セメント,百斤,-,-,-,-,"166,636","216,070","118,699","135,325",-,-,一,-,-,-
その他鉱物及び同製品,,-,-,-,-,-,-,-,-,-,-,●●●,12,-,-
陶磁器及び硝子類,小計,●●●,55,●●●,10,-,-,-,-,-,-,-,-,-,-
陶磁器,,-,-,●●●,10,-,一,-,-,-,-,-,-,-,-
その他硝子及び同製品,,●●●,55,-,-,-,-,-,-,-,-,-,-,-,-
鉱及び金属,小計,-,-,-,-,●●●,"4,000",-,-,-,-,●●●,168,-,-
鉄（條及竿）,百斤,-,-,-,-,406,"4,000",-,-,-,-,-,-,-,-
その他金属,,-,-,-,-,-,-,-,-,-,-,●●●,168,-,-
金属製品,小計,●●●,"1,570",●●●,"2,295",,"12,450",■●●,"3,904",●●●,692,●●●,261,●●●,"60,850"
農具,,-,-,,"1,800",-,-,-,-,●●●,20,-,-,●●●,200
工匠具,,●●申,20,-,-,-,-,-,-,-,-,-,-,-,-
缶詰用空缶及び蓋,百斤,-,-,-,-,-,-,７,224,●慟●,９,-,-,"1,795","60,000"
その他鉄製品,,●●●,"1,550",●●●,495,●●●,"12,450",●●●,"3,680",●●●,663,●●●,｀　261,-,-
その他金属製品,,-,-,-,-,-,-,-,-,-,-,-,-,●●●,650
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
