,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"12,123,308",●●■,"11,377,903",■●●,"12,913,953",●●●,"503,731",●●●,"1,874",●■●,"1,158",●●●,755
飲食物及び煙草,小計,●●●,"10,860,206",●●●,"10,036,383",●●●,"11,871,939",●●●,"495,852",-,-,●●●,100,-,-
生鮭,百斤,"35,158","488,899","30,559","434,188","33,229","498,442",-,-,-,一,-,-,-,-
生鱒,百斤,-,-,-,-,"1,923","24,997",-,-,-,-,-,-,-,-
その他鮮魚介,百斤,10,13,576,"3,242",-,-,-,-,-,-,-,-,-,-
塩鮭,百斤,"412,067","4,959,850","389,326","5,975,140","435,993","5,832,912",9.743,"128,534",-,-,-,-,-,-
塩鱒,百斤,"320,419","2,420,108","178,169","1,655,279","300,276","2,866,884","5,923","95,173",-,-,-,-,-,-
その他塩魚,百斤,"1,959","10,847",727,"6,479","1,076","7,260",505,"23,680",-,-,-,-,-,-
その他魚介類,,●■●,"1,095,358",●●●,"1,296,630",●●●,"2,299,724",●・●,"8,057",-,-,●嶇●,100,-,-
蟹缶詰,斤,"1,548,480","1,290,248","13,710","10,668","10,465","8,990",-,-,-,-,-,-,-,-
鮭缶詰,斤,"220,383","89,447","78,331","30,441","313,331","90,436",165,74,-,-,-,-,-,一
鱒缶詰,斤,"2,800,679","501,066","3,473,064","619,769","1,401,838","240,924","1,345,646","237,371",-,-,-,-,-,-
その他魚介缶詰,斤,"34,591","4,229","28,243","4,543","7,170","1,370","13,716","2,899",-,-,一,-,-,-
酒類,立,184,139,-,-,-,-,-,-,-,-,-,-,-,-
その他飲食物,,■●●,２,●●●,４,-,-,●●●,64,-,一,-,-,-,-
皮毛骨角歯牙甲殻類,小計,●申●,"3,113",,"2,420",●●●,"1,172",-,-,-,-,-,-,-,-
毛皮類,斤,"2,509","2,937","1,887","2,420",258,"1,172",-,-,-,-,-,-,-,一
その他毛皮角牙類,,●●●,176,-,-,-,-,-,-,-,-,-,-,-,-
油脂蝋及び同製品,小計,●●●,"1,414",●●●,"4,778",●●●,"5,147",-,-,-,-,-,-,-,-
魚油,百斤,373,"1,414",770,"4,718",818,"5,147",-,-,-,-,-,-,-,一
石油（比重0.73～0.8762),百瓦,-,-,２,60,-,-,-,-,-,-,-,-,-,-
薬材化学薬製薬その調合品及び爆発薬,小計,-,-,●●●,19,-,-,-,-,-,-,-,-,-,-
薬材化学薬製薬,,-,~,●●●,19,-,-,-,-,-,-,-,-,-,-
糸縷縄索及び同材料,小計,●●●,25,●●●,７,●■●,35,-,-,●●●,25,-,-,-,-
その他糸縷縄索類,,・●●,25,●●●,７,●●●,35,-,-,●●●,25,-,-,-,-
布帛及同製品,小計,●●●,216,夸●●,52,●●●,44,●●・,８,-,-,●●●,30,●●・,56
布帛及び同製品,,●●●,216,●●●,52,●●●,44,●・●,８,-,-,●●●,30,●●●,56
衣類及び同附属品,小計,・畚・,１,-,-,●●●,10,-,-,●●●,４,-,-,-,-
