,明治31,明治32,明治33,明治34,明治35,明治36,明治37,明治38,明治39,明治40,明治41,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正11,大正12,大正13,大正14,昭和１,昭和２,昭和３,昭和４,昭和５,昭和６,昭和７,昭和９,昭和10,昭和11,昭和12,昭和13
エジプト,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"134,164",,●●●,●●●,争●●,●●●,●争●,●●●,●●●,■●●,●●●,●■●,●■●,,●●●,"60,534","223,053","215,660","225,945","436,204","101,024","112,183","568,355"
その他アフリカ諸国,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●襴,●●●,●●●,●●●,●●●,●●●,●●●,Ｉ●●,●●●,●●●,●●●,●●●,●●●,,・●●,"3,383","41,668","548,491","711,298","1,052,697","459,135","318,643"
オーストラリア,-,３,-,320,-,182,45,-,８,-,-,10,62,５,-,650,158,52,２,25,"12,041","10,808",75,８,34,●●●,●●■,●●●,,●●●,"966,438","239,474",220,"202,186","31,127",68,"160,514","79,838"
ﾆﾕｰｼﾞｰﾗﾝF＆ｸﾘｽﾏｽ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,,●●●,●●●,●●●,"560,612",-,"148,818","326,584","470,218","107,628",-,-
太平島,-,-,-,-,-,-,-,-,-,-,-,"66,845","91,250",-,"177,910","96,407","84,600","82,500",-,-,-,-,-,-,-,・●●,●●・,●●●,●●●,●●●,●●●,●●●,●●●,-,-,-,-,-
その他諸国,"1,432","4,103","8,212","3,419","13,023","17,763","1,440","27,381","2,748","1,727",282,387,"1,213",487,533,399,778,"3,567","26,394","272,133","112,257","677,641","1,022,353","250,662","143,574","2,471,318","1,543,438","4,551,200","1,598,811","1,923,679","67,895","186,886","2,802","394,601","294,991","949,351","636,931","401,268"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
