,昭和26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40
合　　　計,"480,189","1,365,160","795,837","608,108","197,461","1,320,155","2,804,430","3,394,038","3,994,158","160,713","2,956,743","1,281,072","142,571","1,888,116","5,895,692"
アジア,,,,,,,,,,,,,,,
香港,"273,717","824,830","285,753","166,722","56,128","70,375",-,-,"3,273",-,"834,779","995,826",-,"1,805,353","1,847,096"
台湾,,,"4,198","73,288","1,962",-,-,-,-,-,-,-,-,-,一
シンガポール,"45,731","364,903","355,847","208,565","32,547","7,002",-,687,"2,425",-,-,一,-,-,-
マレーシア連邦,"3,025","11,765","77,850","44,758",-,-,-,285,-,-,-,-,-,-,-
韓国,-,-,"27,147",-,-,"286,058","54,015","175,228",-,"91,250",-,-,-,-,-
セイロン,-,831,-,-,-,-,-,-,-,-,-,一,"142,571","82,763","108,464"
フィリピン,-,"4,895",-,-,140,-,-,-,-,"50,796",-,-,-,-,-
中国,-,-,-,"4,926","3,015",-,-,-,-,-,一,-,-,-,-
マカオ,-,-,-,"6,334",-,-,-,-,-,-,-,-,-,-,-
イソト｀,-,一,"23,288","29,571",-,-,-,"1,238",-,-,-,-,-,一,-
インドネシア,-,-,-,-,-,-,-,-,-,一,"2,109,347","285,246",-,-,-
ソ連領アジア,-,-,-,-,-,-,-,"176,289","31,244",-,-,-,-,-,-
リベリア,-,-,-,-,-,"942,721","2,740,678","1,418,303","1,135,659",-,-,-,-,-,"1,625,318"
ヨーロツノ｛,,,,,,,,,,,,,,,
デンマーク,-,-,-,-,-,-,-,-,"2,850",300,-,-,-,-,-
アイルランド,-,-,117,-,一,-,-,-,-,-,-,-,-,-,-
イギリス,-,"2,748","5,211","52,322","40,844",726,-,-,-,-,-,-,-,-,一
西ドイツ,-,-,-,-,"2,464",-,-,"84,369",-,-,-,-,-,-,-
イタリア,-,-,957,-,-,-,-,-,-,-,一,-,-,-,-
ギリシャ,-,-,-,-,-,-,-,"1,535,274",-,-,-,-,-,-,-
゛･－ゴスラビア,-,-,-,-,-,-,-,-,"2,760,150",-,一,-,一,-,-
ソビエト連邦,-,-,-,-,一,-,-,-,-,-,-,-,-,-,"513,357"
ブルガリア,-,-,-,-,-,-,-,-,-,一,-,-,-,-,"1,801,457"
北アメリカ,,,,,,,,,,,,,,,
アメリカ,36,-,-,-,-,-,"1,989",650,"56,548","18,123","11,150",-,-,-,-
カナダ,-,-,-,-,-,-,-,-,27,72,-,-,-,-,-
パナマ,-,-,180,-,-,-,-,-,-,-,-,-,-,-,-
南アメリカ,,,,,,,,,,,,,,,
ブラジル,"157,680",-,-,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,,,,,,,,,,,,,,,
エジプト,-,-,"3,518","3,464",146,-,-,-,-,-,-,-,-,-,-
南アフリカ連邦,-,-,-,"5,246","9,134","11,788",-,-,-,-,-,-,-,-,-
太洋州,,,,,,,,,,,,,,,
オーストラリア,-,"114,851","6,862","11,180","1,555",-,-,-,-,-,-,-,-,-,■-
ニュージーランド,一,"40,337",-,141,-,-,-,-,-,-,-,-,-,-,-
国名不詳,-,-,"4,909","1,591","49,526","1,485","7,748","1,715","1,982",172,"1,467",-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
