,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
その他紙類,個,269,"12,015",277,"19,389",140,"12,816",225,"10,259",84,"4,166",406,"12,275",51,"3,229"
書籍及び雑誌,個,-,-,-,-,-,-,-,-,-,-,１,29,-,-
印刷物,個,-,-,-,-,-,-,１,15,87,"12,124",295,"8,840",103,"4,994"
紙製品,個,21,"1,128",300,"10,686",58,"4,827",１,１,43,926,-,-,11,294
セメント,樽,"1,342","12,306",775,"6,976","3,524","16,126","1,860","12,533","2,530","13,637","2,252","11,096","1,734","6,795"
その他鉱物製品,個,283,731,99,"1,209","11,089","18,185","3,990","12,815","5,689","21,054","15,587","38,355","12,381","29,080"
その他鉄材,貫,"38,106","43,047","29,940","27,625","43,246","42,663","95,866","85,048","22,202","9,618","250,416","175,755","75,062","43,738"
その他金属材料・諸金属,貫,881,"3,707",719,"2,215",848,"4,235",302,124,560,604,"2,635","7,757","1,584","4,015"
軌條,トソ,71,"12,499",346,"65,155",113,"26,379",243,"41,762",54,"5,331",-,-,-,-
鉄管,貫,"8,224","7,038","160,231","177,046","17,594","13,885","84,511","98,994","15,536","11,588","35,456","35,926","11,648","7,778"
鉄釘,樽,"3,477","43,383",223,"4,839","2,386","21,806","1,293","10,234","2,574","28,820","2,827","24,912","2,824","21,730"
鉄線,貫,"2,220","2,218",16,n2,"7,958","15,979","10,509","9,458","19,440","9,596","10,192","9,929","4,256","3,390"
その他鉄製品,貫,"129,161","294,770","332,657","390,334","272,784","377,811","1,242,185","1,548,495","608,971","608,616","623,744","1,597,401","495,092","1,126,139"
諸金属製品,貫,"2,378","5,530",297,"2,111",144,285,"44,273R","70,875","2,627","4,190","6,149","17,222","18,224","32,369"
陶磁器,個,"3,392","22,614","3,449","23,646","5,078","23,788","1,179","7,207","1,082","8,829","2,858","15,683",827,"5,185"
土管,個,-,-,630,"1,684",-,-,-,-,385,926,260,364,-,-
煉瓦及び瓦,百本,"1,119","5,018",132,"6,531",162,863,323,"2,120",509,"2,832","1,332","6,277",166,"1,195"
板硝子,箱,199,"2,286",31,372,42,593,349,"3,659",274,"1,879",141,"2,057",176,"1,289"
硝子製品,個,"1,198","13,333","2,639","33,403","5,415","46,581","21,102","117,589","19,856","73,676","2,848","34,293","4,727","27,928"
車輛,輌,-,-,11,"3,455",198,"10,532",43,"1,996",46,868,２,351,38,"2,040"
車輪,個,160,"4,027",２,196,-,-,-,-,-,-,12,579,-,-
船舶,隻,505,"575,910",179,"498,169",598,"953,345",607,"694,254",525,"790,394",744,"1,360,793",275,"522,881"
時計,個,43,725,-,一,101,"1,403",163,"6,094",278,"7,460",96,"3,855",n6,"2,519"
楽器及び学術器,個,40,"2,276",-,-,176,"36,911",74,"3,709",154,"10,589",510,"21,179",189,"15,451"
度量衡器,個,34,"1,333",54,"1,373",99,"3,931",63,"2,121",73,"2,959",15,603,18,"2,268"
その他機械類,個,"3,530","358,861","9,236","329,538","7,457","529,405","4,834","926,174","8,224","447,155","1,400","619,518","1,684","225,533"
その他肥料,個,４,24,32,540,-,-,-,-,-,-,-,-,７,72
空樽,個,"7,614","55,701","5,891","42,474","7,436","44,286","2,039","12,633","13,402","46,435","11,282","56,344","14,834","54,724"
空箱,個,"10,476","13,724","68,580","218,346","179,699","416,354",-,-,"40,653","99,998",994,"1,990",318,637
