,単位,昭　　和　　７,,昭　　和　　８,,昭　　和　　９,,昭　　和　　10,,昭　　和　　11,,昭　　和　　12,,昭　　和　　13,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
総計,,●●●,"6,133,206",●●●,"6,464,988",●●●,"5,699,832",●●●,"5,875,497",●●●,"649,163",,"511,256",●●●,"278,059"
植物及び動物,小計,●●●,"7,423",●●●,"7,848",●●●,"6,267",●●●,"4,593",-,-,-,-,-,-
植物及び動物,,●●●,"7,423",●●●,"7,848",●●●,"6,267",φ●●,"4,593",-,-,-,-,-,-
穀物穀粉澱粉類及び種子,小計,●●●,"378,400",●●●,"323,385",●●●,"369,266",●■●,"471,587",-,-,-,-,●●●,"1,106"
精米,百斤,"39,361","366,988","33,959","312,935","37,133","360,671","35,464","460,532",-,-,-,-,-,-
その他米及び籾,百斤,９,117,-,-,-,-,-,-,-,一,-,-,-,-
豆類,百斤,811,"6,579",666,"5,808",728,"5,333",880,"8,296",-,-,-,一,92,"1,106"
穀粉類,百斤,202,"1,818",210,"2,129",33,533,-,-,-,-,-,-,-,-
澱粉,百斤,13,146,９,137,21,261,８,97,-,-,-,-,-,-
その他穀物(穀粉)及び種子,,凖二●,"2,752",●●●,"2,376",●●●,"2,468",・争●,"2,662",-,-,一,-,-,-
飲食物及び煙草,小計,●●●,"224,383",●●●,"189,637",●●●,"155,545",二●●,"196,734",●●●,"8,957",-,-,-,-
玉葱,百斤,"2,995","16,163","1,554","5,392","1,998","7,668","2,086","5,534","1,034","8,957",-,-,-,-
馬鈴薯,百斤,"14,544","47,379","3,333","12,362","2,994","6,399","2,993","10,884",-,-,-,-,-,-
その他生蔬菜,,●●毳,"8,707",●●●,"3,356",●●●,"3,101",-,-,-,-,-,-,-,-
乾蔬菜,,ａ●●,"8,405",●●●,"4,652",●●●,"6,059",919,"8,749",-,-,-,-,-,-
蔬菜漬物,百斤,"2,310","28,763","3,317","23,768","4,581","26,021","3,902","27,376",-,-,-,-,-,-
果実及び核子,,●●■,"2,384",●凖●,"3,292",●●●,"3,576",324,"3,524",-,-,-,-,-,-
菓子,百斤,691,"14,061",471,"10,230",717,"14,562",719,"16,303",-,-,-,-,-,-
昆布,百斤,41,251,10,124,９,130,９,161,-,-,-,-,-,-
刻昆布,百斤,29,185,８,204,９,263,13,344,-,-,-,-,-,-
鮮魚介,百斤,-,-,９,63,-,-,-,-,-,-,-,-,-,-
乾鰯,百斤,７,194,６,167,５,242,７,344,-,-,-,-,-,-
乾鱈,百斤,-,３,-,-,-,-,-,-,-,-,-,-,-,-
乾貝柱,百斤,０,48,１,100,０,77,１,94,-,-,-,-,-,-
海苔,斤,285,279,139,306,119,232,２,269,-,-,-,-,-,-
その他海(水)産物,,●●●,"1,029",●●暑,900,●●●,934,79,"1,236",-,-,-,-,-,-
味噌,百斤,"4,009","28,441","2,734","20,626","3,351","23,218","2,549","22,334",-,-,-,-,-,-
醤油,石,195,"5,167",182,"5,393",205,"5,869",156,"5,449",-,一,-,-,-,-
コンデンスミルク,斤,"7,013","1,517","6,220","2,007","5,922","1,798",56,"1,625",-,-,-,一,-,-
鮭缶詰,斤,-,-,"19,800","6,221",-,-,-,-,-,-,-,-,-,-
鰛缶詰（トマトサーチン）,斤,694,264,688,123,490,141,458,"6,359",-,-,-,-,-,-
その他魚介缶罎詰,斤,279,223,"1,288",518,377,152,19,619,-,-,-,-,-,-
その他缶罎詰食料品,斤,"34,370","10,212","24,229","9,089","23,730","8,035",236,"8,571",-,-,-,-,-,-
清酒,石,230,"18,207",212,"17,984",329,"22,867",257,"23,326",一,-,-,-,-,-
その他酒類,,●●●,"1,107",●●●,"1,672",●●●,"1,456",17,"1,790",-,-,-,-,-,-
食塩（塩）,百斤,53,217,"14,227","44,768",42,131,０,９,-,-,-,-,-,-
その他飲食物,,●■●,"19,311",●●●,"14,281",●●●,"15,411",●●●,"21,932",-,-,-,-,-,-
紙巻煙草,千本,"1,334","7,761",186,"1,346",738,"3,578","2,818","12,052",-,-,-,-,-,-
その他煙草,,●●●,"4,105",凖●●,693,●●●,"3,625",,"17,850",-,-,-,-,-,-
皮毛骨角歯牙甲殻類,小計,・・●,"3,900",●●●,"2,767",●・●,"2,738",●■●,"3,128",一,-,-,-,-,-
毛皮類,斤,-,-,４,11,０,４,-,-,-,-,-,-,-,-
機械用帯,斤,"4,909","3,634","2,916","2,588","2,026","2,107",34,"2,821",-,-,-,-,-,-
革及びその他革製品,,●■●,10,●●●,75,●●●,593,-,-,一,-,-,-,-,-
その他皮毛骨牙類,,●●●,256,●●●,93,,34,●●●,307,-,-,-,-,-,-
油脂蝋及び同製品,小計,・●●,"80,956",●●●,"86,465",,"70,306",●●●,"67,880",-,-,-,-,-,-
亜麻子油,百斤,156,"4,973",-,-,-,-,-,-,-,-,-,一,-,-
その他植物性油,百斤,101,"3,002",-,-,-,-,-,-,-,-,-,-,-,-
植物性油,百斤,-,-,310,"8,743",141,"3,909",354,"9,554",-,-,-,-,-,-
魚油（鰮油）,百斤,36,94,21,103,-,-,34,150,-,-,-,-,-,-
石油,百瓦,144,"6,038",272,"13,390",248,"9,978",-,-,-,-,-,-,-,-
その他鉱油,百斤,"10,911","63,441","6,590","60,335","7,497","50,114","1,348","50,904",-,-,-,-,-,-
石鹸,,●●●,"2,360",●●●,"2,759",●●●,"3,053",●●●,"2,881",-,-,-,-,-,-
その他油脂蝋及び同製品,,●●●,"1,048",●●●,"1,135",●●●,"3,252",●●・,"4,391",-,-,-,-,-,-
薬材化学薬製薬その調合品及び爆発薬,小計,●●●,"37,920",●●●,"34,940",●●●,"41,997",●●●,"57,814",-,-,-,-,●●●,30
硫黄,百斤,33,120,-,-,-,-,-,-,-,-,-,-,-,-
炭化石灰(カーバイド),百斤,688,"2,651",502,"3,298",604,"3,545",-,-,-,-,-,一,-,-
ガーゼ脱脂綿及び包帯類,,●●●,"2,147",●●●,"2,701",●●●,"2,878",24,"4,033",-,-,-,-,-,-
その他薬材化学薬製薬,,●●●,"32,526",●●●,"28,489",●●●,"34,995",■●●,"53,223",-,-,-,-,●●●,30
燐寸,斤,"2,730",476,"2,161",452,"2,964",579,28,558,-,-,-,-,-,-
染料顔料塗料及び填充料,小計,●●●,"10,551",●●●,"9,758",●●●,"7,260",●●●,"14,525",-,-,-,-,-,-
コールタール及びピッチ類,百斤,931,"4,020","1,035","4,252",710,"2,675",584,"2,209",-,-,-,-,-,-
ペイント,百斤,75,"1,155",90,"1,807",88,"1,645",123,"2,526",-,-,-,-,-,-
その他染料顔料塗料類,,●●●,"5,376",■●■,"3,699",●●●,"2,940",●●●,"9,790",-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
