,単位,昭　　和　　26,,昭　　和　　27,,昭　　和　　28,,昭　　和　　29,,昭　　和　　30,,昭　　和　　31,,昭　　和　　32,,昭　　和　　33,,昭　　和　　34,,昭　　和　　35,,,,,和,,,
,,数　量,金　額,数　量,金　　額,数　量,金　額,数　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　額,数　量,金　　額,数　量,金　額,-,,,,-,,
雑製品,,●●●,"1,056",-,-,-,-,●●争,56,●●●,176,φ●●,727,●●●,"7,211",●●●,"1,064",●儁●,"4,226",●●●,24,,,,,,"14,300",
家具及備付品,個,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,153,"3,040",-,-,,,,,,　　－,
電気冷蔵庫,台,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,　　－,,,,"14,300",
その他,,●・●,"1,056",-,-,-,-,●●●,56,ａ●●,176,●●●,727,●●●,"7,211",●●●,"1,064",●●●,"1,186",●●●,24,,"11,150",,,,,
再輸出品,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,28,-,-,,,,,,,
その他,,-,ー,-,-,-,-,-,-,-,一,-,-,-,-,-,-,●●●,28,-,-,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,　－
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,348
,,,,,,,,,,,,,,,,,,,,,,,,,,,,925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,
,,,,,,,,,,,,,,,,,,,,,,,,一,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,925
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,"2,941,152",,
,,,,,,,,,,,,,,,,,,,,,,,,,,"2,939,553",,
,,,,,,,,,,,,,,,,,,,,,,,,,４,"　　1,599",,
,,,,,,,,,,,,,,,,,,,,,,,,,,　　　　－,,
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,168",
,,,,,,,,,,,,,,,,,,,,,,,,152,,,"2,134",
,,,,,,,,,,,,,,,,,,,,,,,,　12,,,　840,
,,,,,,,,,,,,,,,,,,,,,,,,,,,　194,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,,,,,一
,,,,,,,,,,,,,,,,,,,,,,,,-,,,,一
