,単位,明　　治　　31,,明　　治　　32,,明　　　治　　　33,,明　　治　　34,,明　　治　　35,,明　　治　　36,,明　　治　　37,,明　　治　　38,,明　　治　　39,,明　　治　　40,,明　　治　　41,,明　　治　　42,,明　　治　　43,,明　　治　　44,,大　　正　　１,,大　　正　　２,,大　　正　　３,,大　　正　　４,,大　　正　　５,,大　　正　　６,,大　　正　　７,,大　　正　　８,,大　　正　　９,,以μ．,大　　正　　10,大　　正　　11,,大　　正　　12,,大　　正　　13,
,,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　額,数　　量,金　額,ＸＩ”,数　量,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額
塩鱒,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,196,253","41,401","2,921,865","129,774","3,851,741","180,097","1,033,070","44,603","625,475","24,424","590,540","26,654","196,300","13,845","925,200","113,996","421,875","54,721","677,480","78,510",担,122,"11,096","87,767",-,-,-,-
塩鱈,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,904,413","62,064","1,261,889","48,282","687,300","23,835","692,231","35,565","365,525","16,267","1,169,725","92,549",-,-,担,-,"1,604","18,323","8,444","109,735",-,-
塩鰊,斤,"31,866",438,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,000",114,-,-,-,-,"1,224,600","57,850","777,930","32,918",-,-,400,30,"3,300",600,-,-,"40,140","6,017",担,-,３,26,-,-,-,-
乾魚及び塩魚,斤,-,-,891*,293,"90,991","3,117",-,-,-,-,"85,617","3,167",-,-,-,-,-,-,一,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,担,-,-,-,-,-,-,-
その他乾魚,斤,"18,399",716,-,-,-,-,-,-,-,-,-,-,"92,059","3,767","42,758","2,818","26,292","1,779","32,920","1,992","40,536","2,249","37,720","1,813","35,380","1,653","12,067",675,"23,508","1,393","63,275","3,233","18,215","1,096","5,600",327,"2,218","1,263",20,３,-,-,600,86,"23,088","2,795",担,30,23,787,20,715,126,"1,905"
その他塩魚,斤,-,-,-,-,-,-,-,-,-,-,-,-,"39,228","2,216","483,886","19,976","9,464",994,"29,554","3,195","22,924","2,257",558,81,"7,440",378,-,-,"1,740",98,"1,324,880","46,681",200,16,480,61,"5,280",224,"19,740","2,776","17,075","4,207","18,363","5,925","37,802","7,629",担,"1,843",-,-,"1,030","3,286","13,694","127,858"
その他乾貝,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"64,147","7,922","9,750","1,345","6,550",730,"11,080","1,128","5,727",871,"20,010","3,612","3,500",444,"7,470","1,138",-,-,800,215,"1,800","1,633",-,-,担,12,34,"1,475",33,688,26,"1,116"
蟹缶詰,打,-,一,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,126,449,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
鮑缶詰,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,504","3,154","1,748","4,918",-,-,-,-,-,-,-,一,-,-,,-,-,-,-,-,-,-
缶詰類,打,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,762","5,391","7,716","19,404","1,284","4,390",20,80,"1,244","5,072",-,-,"40,062","216,168","11,608","106,733","4,900","46,798",打,-,-,-,"13,285","63,532","6,336","57,425"
