,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　　量,金　　額,数　量,金　　額,数　量,金　　額
総計,,●●●,"16,921,480",●●●,"15,316,477",,"14,460,592",●●二,"15,196,910",●●●,"12,790,665",僵●●,"12,103,351",,"10,815,312"
農産物,小計,●●●,"94,037",●●●,330,●●●,"38,783",●●二,"18,753",二●・,"94,063",暈●●,"30,605",●●●,"16,199"
白米,石,"2,096","93,981",-,-,777,"29,243",483,"13,919","3,113","94,057","1,293","30,599",852,"14,801"
糯米,石,-,一,-,-,-,-,-,-,-,-,-,一,４,104
朝鮮米,石,-,-,-,-,252,"9,437",169,"4,834",-,-,-,-,62,"1,015"
外国米,石,１,13,-,-,-,-,-,-,-,-,-,-,-,-
精麦,俵,-,-,-,-,-,-,-,-,-,-,-,-,22,107
その他麦,俵,-,-,-,-,-,-,-,-,-,-,-,-,２,13
大豆,俵,-,-,-,-,-,-,-,-,-,-,-,-,７,35
小豆,俵,-,-,-,-,-,-,-,-,-,-,１,６,17,104
その他雑穀及び種子,俵,-,-,５,330,-,-,一,-,-,-,-,-,１,８
林檎,貫,-,-,-,-,-,-,-,-,-,-,-,-,10,５
馬鈴薯,貫,45,10,-,-,408,85,-,-,-,-,-,-,-,-
その他蔬菜,貫,93,33,-,-,58,18,-,-,11,６,-,-,58,７
畜産物,小計,-,-,-,-,●●●,"9,537",■●・,"2,047",-,-,●●●,63,●●●,"2,392"
毛皮及び皮革,個,-,-,-,-,26,"9,537",24,"2,047",-,-,１,63,30,"2,391"
その他畜産物,個,-,-,-,-,-,-,-,-,-,-,-,-,１,１
林産物,小計,●●●,"8,418",-,-,,402,春●●,59,●●●,336,●■●,89,,245
丸太材,石,-,-,-,-,-,-,-,-,-,-,４,16,-,-
挽材,石,-,-,-,-,35,402,６,59,28,336,12,73,49,235
その他製材,石,837,"8,256",-,-,-,-,-,-,-,-,-,-,１,５
木炭,俵,30,120,-,-,-,-,-,-,-,-,-,-,-,-
薪,百本,３,18,-,-,-,-,-,-,-,-,-,-,-,-
竹材及び籘,個,２,１,-,-,-,-,-,-,-,-,-,-,-,-
その他林産物,個,３,23,-,-,-,-,-,-,-,-,-,-,１,５
水産物,小計,●●●,"13,642,851",●●●,"11,640,845",●・●,"10,058,248",●蕃●,"12,856,852",,"10,325,469",,"7,748,038",,"6,191,101"
鮮魚介,貫,"115,002","109,245","222,000","243,823","411,376","472,521","508,624","647,893","293,424","296,233","561,168","564,464","663,104","464,836"
塩鮭,貫,"7,034,958","7,951,536","4,628,158","4,841,838","5,471,908","5,320,202","7,326,684","6,522,115","7,502,960","6,623,945","6,167,472","3,664,853","5,037,136","3,467,139"
塩鱒,貫,"5,156,370","4,050,968","10,101,568","4,816,083","4,491,087","2,881,711","6,089,074","3,336,345","2,441,216","1,610,479","5,778,720","2,253,476","2,825,152","1,223,916"
塩鱈,貫,-,-,"2,448","3,060","75,268","33,066","7,026","7,799",-,-,640,319,160,38
筋子,貫,"516,763","1,123,259","795,175","1,359,102","599,358","1,118,212","967,661","2,178,8n","674,000","1,231,717","795,680","1,n7,012","624,624","925,677"
その他塩魚卵,貫,-,-,-,-,256,983,-,-,-,-,-,-,-,-
その他塩魚介,貫,"41,475","16,341","155,749","55,348","20,325","28,845",-,-,"82,176","327,629","8,752","4,065","19,680","5,830"
身欠鰊・乾鰊,貫,-,-,-,-,48,43,"1,180俵",534,"1,648","1,597","3,280","1,639","2,464",590
乾鯑,貫,"2,665","8,993","4,465","10,565",-,-,"2,955","4,081","1,104","2,597",-,-,-,-
棒鱈,貫,-,-,"1,330","1,322",-,-,30,100,32,49,一,-,64,37
開鱈,貫,-,-,-,一,-,-,-,-,-,-,784,691,816,462
その他乾魚,貫,"7,667","20,868","7,723","17,077","4,924","12,177",-,-,-,-,-,-,272,837
その他昆布,貫,-,-,-,-,-,-,-,-,-,-,-,-,"6,016","6,761"
鯨油及び魚油,箱,"5,818","36,543","2,991","16,096","2,924","12,469","3,929","22,187","4,311","19,628","3,362","9,314","4,521","9,066"
鰊(搾)粕,石,"6,229","181,612","5,922","153,389","2,604","51,864",1.479,"30,484","2,515","55,241","3,070","40,062","1,708","15,405"
胴鰊,石,-,-,５,112,40,724,27,504,59,"1,221",59,875,180,"1,805"
白子,石,-,-,-,-,-,-,-,ー,-,-,-,-,11,253
その他海産肥料・その他魚粕,石,"7,707","143,486","8,212","118,039","6,028","92,629","6,066","97,007","10,514","151,651","8,216","87,804","8,427","68,449"
海産(水産)食料品,貫,-,-,"2,575","4,991","2,688","32,802","4,320","8,992","5,450","3,482","2,576","3,464",-,-
鉱産物,小計,夸●●,"1,941",-,-,●●●,266,-,-,●僵●,"4,910",,288,●●●,"253,796"
石炭,トソ,52,936,-,-,-,-,-,-,-,-,-,-,"25,954","253,780"
揮発油,箱,-,-,-,-,53,222,-,-,-,-,-,-,-,-
石油,箱,-,-,-,-,５,25,-,-,"1,211","4,910",46,200,一,-
その他鉱油,箱,174,"1,005",-,-,３,19,-,-,-,-,28,88,６,16
工産物,小計,●●●,"3,174,213",●●●,"1,639.378",●二●,"4.325,804",,"2,319,199",,"2,365,819",■●●,"3,555,714",呷●●,"3,994,063"
清酒,升,-,-,218,234,-,-,-,-,-,-,-,-,132,124
味噌,貫,"1,091",608,-,-,"1,353",731,-,-,108,75,160,88,604,246
醤油,升,52,36,-,-,36,23,-,-,-,-,24,９,240,48
食塩,五十叺,-,-,"13,698","14,390",320,264,-,-,-,-,-,-,-,-
砂糖,担,-,-,18,410,-,-,-,-,-,-,-,-,-,-
小麦粉,袋,223,"1,003",-,-,-,-,-,-,-,-,-,-,60,142
蟹缶詰,箱,"33,137","1,445,524","1,138","480,960","26,809","947,754","19,892","822,611","8,588","167,109","30,555","957,393","13,550","436,894"
鮭及び鱒缶詰,箱,"21,357","470,549","64,032","1,119,173","116,220","2,204,717","34,217","574,248","55,416","729,213","74,022","1,201,990","213,124","2,468,156"
その他缶詰,箱,７,166,-,-,１,５,-,-,-,-,108,801,213,"1,192"
煉乳,箱,-,-,97,"4,438",５,63,-,-,-,-,-,-,-,-
麺類,貫,７,12,-,-,-,-,-,-,-,-,-,-,-,-
菓子,貫,228,234,-,-,一,-,-,-,-,-,７,５,-,-
茶,斤,"1,300","1,786",766,223,一,-,-,-,-,-,-,-,-,-
漬物類,樽,47,236,-,-,49,271,-,-,-,-,１,６,38,128
その他諸飲食物,個,68,130,22,758,27,"1,620",-,-,-,-,76,"1,020",２,25
煙草,箱,-,-,30,"1,181",４,355,-,-,-,-,-,-,-,一
白絞油・菓子汕,箱,15,248,-,-,-,-,-,-,-,-,-,-,１,８
植物性油,箱,６,182,-,-,-,-,-,-,６,110,２,56,８,58
獣脂,箱,12,283,-,-,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
