,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,正　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
鯨油及び魚油,箱,-,-,-,-,-,-,22,113,524,"7,131",-,-,-,-
胴鰊,石,-,-,-,-,-,-,-,-,-,-,141,"2,163",-,-
白子,石,-,-,-,-,-,-,-,一,-,-,17,550,-,-
鰛粕,石,-,-,-,-,-,-,16,211,-,-,-,-,一,-
鱈粕,石,-,-,-,-,-,-,30,369,329,"5,038",281,"4,488",-,-
その他海産肥料,石,-,-,-,-,-,-,824,"12,028",330,"5,032",476,"5,833",-,-
水産食料品,貫,-,-,-,-,-,-,-,一,-,-,-,-,45,70
その他水産物,個,-,-,-,-,-,-,-,-,-,-,-,-,106,107
鉱産物,小計,,"411,682",●●●,"631,477",●●●,"1,285,420",,"1,133,910",●●●,"2,478,662",●●●,"2,434,356",●●・,"1,070,388"
石炭,トッ,-,-,"8,621","86,430","15,014","183,969","17,883","215,286","15,248","203,997","1,413","18,320",320,"2,720"
揮発油,箱,"1,801","17,528","5,889","57,362","1,630","13,824","3,576","27,253","5,513","33,144",89,593,"19,949","116,518"
石油,箱,"31,392","254,339","35,850","286,180","5,213","129,797","26,023","170,916","18,999","113,245","22,360","122,337","7,372","32,631"
その他礦油,箱,"5,227","19,086","3,070","23,473","268,206","617,760","241,321","555,082","916,140","1,389,388","682,609","763,433","415,706","490,227"
その他鉱産物,トッ,"14,312","120,729","8,014","178,032","9,599","340,070","17,896","165,373","30,863","738,888","126,189","1,529,673","25,482","428,292"
工産物,小計,●●●,"4,033,768",●●●,"4,545,709",●●●,"8,844,726",●●●,"9,298,114",●■●,"8,301,837",●●●,"6,328,241",●●●,"2,693,596"
清酒,升,-,-,-,-,-,-,-,,215,199,-,-,-,-
焼酎,升,-,-,-,-,-,-,"29,999","16,293","1,898,920","157,247","88,986","63,176","86,259","60,439"
麦酒,箱,-,-,３,57,-,-,１,30,●●●,２,-,-,-,-
葡萄酒,升,"1,710","1,537","4,262","2,587","214""","2,637",134R,"1,289","116""","2,936",138箱,"3,304",851,"1,912"
その他洋酒,升,"1,653","4,613","61,155","22,504","35,615","18,872","2,004","2,186","2,040","2,240","37,971","27,887","4,946","6,554"
味噌,貫,-,-,-,-,-,-,432,259,264,156,24,12,-,-
醤油,升,-,-,-,-,ー,-,300,112,50,24,-,-,-,-
食酢,升,-,-,69,12,-,-,-,-,-,-,-,-,-,-
食塩,叺,"1,499,494","2,138,002","1,480,834","1,435,862","2,235,458","2,219,024","1,749,456","1,724,866","2,738,542","2,593,032","1,423,406","1,362,019","1,193,901","1,078,160"
砂糖,担,404,"5,811",150,"3,303",535,"5,862","4,526","56,273","10,226","43,038",239,"5,914",836,"5,573"
小麦粉,袋,"1,921","7,416","31,253","119,756",36,145,32,140,"27,479","94,979","109,465","273,955",３,11
馬鈴薯澱粉,袋,-,-,-,-,150,"1,200",225,893,-,-,１,１,-,-
その他澱粉及び穀粉,貫,52,39,"1,111",556,847,515,-,-,"10,484","3,531","64,049","17,998",６,６
蟹缶詰,箱,-,-,-,-,"54,605","1,777,423","12,982","469,981",594,"17,638","3,511","128,678",-,-
鮭及び鱒缶詰,箱,"39,068","404,598",-,-,"1,895","35,395","27,613","590,790","24,683","245,142","25,563","457,087",-,-
その他缶詰,箱,69,799,３,67,380,"3,435",35,301,"1,251","14,130",95,"1,292",144,"1,597"
煉乳,箱,109,"2,145",-,-,294,"5,315","1,172","25,781","1,879","22,888","5,443","63,801",81,767
乳肉製品,箱,-,-,８,323,３,53,２,93,967,"30,698",４,81,５,85
清涼飲料,箱,10,38,-,-,-,-,３,28,21,166,１,38,-,-
麺類,箱,398,"1,102",６,12,-,-,361,44,986',"5,653",9貫,20,45貫,45
菓子,貫,555,"1,882",５,13,37,40,-,-,310,865,２,４,58,53
茶,斤,"43,447","51,018","81,597","41,596","28,940","15,093","36,038","11,302","3,042","5,496","5,193","2,664",-,-
乾物類,貫,-,-,-,-,-,-,-,-,86,323,-,-,-,-
漬物類,樽,26,271,６,66,-,-,-,-,130,725,60,240,-,-
その他(諸)飲食物,個,"1,808","15,407",292,"6,845",149,"10,233",324,"5,220",29,606,"2,495","9,064",２,45
煙草,箱,200,"9,829",55,"2,548",７,719,103,"8,212",５,348,-,-,-,-
白絞油,箱,-,-,-,-,１,23,-,-,160,"4,500",-,-,-,-
植物(性)油,箱,67,"1,005","1,143","21,112",10,214,455,"9,450",197,"4,791",290,"5,005",n1,975
獣脂,箱,501,"6,978",17,34,377,"5,190","1,093","12,871",478,"9,590",５,156,-,-
蝋及び蝋燭,貫,171,455,"32,708","111,265","21,559","24,268",51,345,９,45,16箱,78,７,15
曹達’,個,-,-,-,-,112,"1,268",-,-,１,15,236,"1,680",378,"4,781"
その他薬品,個,79,"2,287",286,"13,564",143,"5,763",517,"24,326",206,"4,645",94,"3,353",242,"4,088"
染料,個,一,-,-,-,９,867,-,-,１,１,-,-,"1,100","17,666"
塗料,個,５,86,４,187,982,"15,495","2,182","27,087",700,"11,208","1,187","10,590",132,"2,553"
麻類,貫,-,-,-,-,523,"1,804",-,-,２,10,-,-,-,-
綿糸,貫,27,100,-,-,464,"4,342",192,86,40,225,,４,-,-
その他糸,貫,"3,132","11,187",-,-,"4,368",69,22,163,578,"1,261",17,141,102,"1,396"
