,単位,昭　　和　　37,,昭　　和　　38,,昭　　和　　39,,昭　　和　　40,,昭　　和　　41,,昭　　和　　42,,昭　　和　　43,,昭　　和　　44,,昭　　和　　45,,昭　　和　　46,,昭　　和　　47,,昭　　和　　48,,昭　　和　　49,,昭　　和　　50,,昭　　和　　51,,昭　　和　　52,,昭　　和　　53,,昭　　和　　54,,昭　　和　　55,
機械類(電気機器を除Ｏ,,-,-,一,-,,870,●●●,"40,449",●●●,"24,814",●●●,"6,193",●●●,150,●●●,"30,677",●●●,"214,858",●●●,"317,742",●●●,"134,686",●●●,"42,308",●争●,"74,865",●●●,"106,112",●●●,"159,206",●●●,"145,442",●●４,"227,211",●●●,"87,688",-,-
電気機器,,●●●,468,-,-,●●●,"1,055",●●●,"1,299",●●●,220,●●●,77,●●●,"17,802",●●●,"17,747",■■●,108,●●●,"41,356",,190,●●●,381,●●●,750,■■●,662,●●●,"129,223",●●●,"13,241",●●●,"20,092",●・・,"16,265",●●●,200
タンカー,隻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,３,r丶丿冖尸ｎ入r丶ａ,-,-,-,-,-,-,-,-,-,-
,総ﾄﾝ,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"275,971",乙４ﾊﾞ)こ)ｊ，１ｊｊ４,-,-,-,-,-,-,-,-,-,-
貨物船,隻,１,ｎｎに○りＱ,-,-,２,１ ０ｎに９にり,７,こり７り０７１,叫,ａ ｊＱりりワｎ,61,Ｑ ｎｊりりOE,91,１り∩１０ ｎ７０,13,１１りａＱにnd,22:,１９ ９０ｎ >10 A,夙,１にacf~＼ nno,10,ｉ冖嗜ｉｉ冖nr丶,81,ｉ尸７ １ｎ肖入癶冖,61,ｉ肖・a,４,入冖g/丶４冖癶,●●●,りｎワ∩ワフ１７,●●●,１１ ００りにｎｎ,…|,１り700 G(Y7,41,n/丶丿冖ｎ尸ｉ,41,ｎ尸ｎｎ尸7r7j
,総ﾄﾝ,"10,568,",こ7冫7J夕○乙Ｕ,-,-,"21,275,",１冫○りり夕ａりａ,"63,406.","Ｘｊ乙10,01よ","71,8濯",Ｕ夕ｑＵ乙冫乙I u,"94,976f","Ｕ，ぴ4O,OOU","162,515/","１乙，りio,uro","133,861.","11 , OU乙冫丿冫7￡1","130,037;","10,00こ７７４０４","155,8081",１りｙＵりりｊりこ7U,"149,379","10,11-1,05り","181,5031",１Ｇ４ｊ５，ＵＵこ）,"131,116}",１ｊ，４りり4YU,"79,866",1ｺﾞ，はり，１りり,"152,642",乙Ｕ夕１こ71夕１１１,"70,008.","11,00乙ＳりＵこ7","77,494J","１乙I JO,UUI","61,5791",tj，け４り，ｊＤ１,"21,471/",ｊ，０ｊｊ，冖４
しゅんせつ船,隻,-,-,-,-,-,-,２,"513,357",２,"662,314",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他の船舶,隻,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,６,哨r丶f丶肖癶・冖,ｍ,⌒入ｒ９入g入,51,４⌒Ａ⌒⌒⌒４,1･,Ｓ･へ⌒・●●⌒,●■●,ｊ ｎｊりりｎり,●二●,りに１？ｌ ｊりり,…t,１つり∩∩∩∩,８,"15,813,309",３,"861,819"
,総ﾄﾝ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"18,912」",１，ｊｊｊ，６１ｔ）,"39,901",ｊ，り１り，りya,"4,0011","１，ＺりZ,Z3JL","1,5951",t)Zljμiy,"41,612",ｑｊｕｑＸＩ乙りＪ,■●¶,"乙りHI,400",り,"よＩＪ乙u, uuu",一,-,-,-
その他,,-,-,●●●,"22,034",-,-,,"1,000",●●●,"3,261",●●●,"12,290",-,-,-,-,-,-,-,-,-,-,・●●,713,-,-,-,-,●●Ｉ,350,●●●,600,-,-,-,-,-,-
雑製品,小計,●●●,775,-,-,●●●,551,,"2,285",●●●,107,-,-,●●●,"12,941",●●●,"126,865",・●●,"33,294",●●●,"1,094",●●●,"1,664",-,-,●●●,160,●●●,160,-,-,-,-,-,-,-,-,-,-
家具及びその部分品(木製),kg,150,305,-,-,362,451,940,648,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
かつら,kg,-,-,-,-,-,-,-,-,-,-,-,-,"1,007","12,941","10,159","116,983","3,425","32,152",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
その他,,●●●,470,-,-,,100,●●●,"1,637",●●●,107,ー,-,-,-,●●●,"9,882",●●●,"1,142",●●●,"1,094",●儁●,"1,664",-,-,・●●,160,●●●,160,-,-,-,-,-,-,-,一,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
