,単位,大　　正　　14,,昭　　和　　１,,昭　　和　　２,,昭　　和　　３,,昭　　和　　４,,昭　　和　　５,,昭　　和　　６,
,,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
総計,,・●●,"6,666,317",●●●,"6,583,036",●●●,"11,883,869",●●●,"13,428,436",●●●,"16,997,364",●●●,"11,444,219",●●●,"6,519,833"
農産物,小計,●●●,"1,570,357",●●●,838.384,●●●,"1,511,194",●●●,"859,478",昜●●,"665,700",●●●,"464,969",●●●,"287,415"
白米,石,４,135,-,-,-,-,90,"2,764",12,300,56,"1,470",２,55
朝鮮米,石,-,-,-,-,-,-,-,-,-,-,142,"3,890",-,-
外国米,石,"53,781","1,428,784","22,107","516,857","49,071","1,005,199","11,649","232,490",186,"3,959",５,68,-,-
精麦,俵,-,-,-,-,-,-,-,-,149,900,-,-,-,-
その他麦,俵,-,-,２,34,-,-,６,12,-,-,１,１,-,１
大豆,俵,"1,745","12,495",-,-,"7,842","49,091","5,684","38,425","3,122","20,355",208,924,"2,382","7,992"
小豆,俵,"1,090","9,966",986,"5,100","5,066","26,700","6,122","47,167","8,651","71,256","6,529","37,719","3,712","14,602"
豌豆,俵,-,-,１,４,-,-,-,-,-,-,-,-,-,-
隠元豆・菜豆,俵,-,-,12,73,-,-,759,"7,772",338,"2,856",13,658,１,１
落花生豆,俵,"2,892","14,350","3,124","43,360","8,002","52,536","5,705","73,003","22,588","107,571","13,730°","50,012","16,092*","44,104"
その他豆,俵,94,391,１,10,172,967,297,"4,005",146,706,977s,"1,189",-,-
燕麦,俵,-,一,-,-,-,-,-,-,"1,070","4,194","11,465","25,323",４,84
蕎麦,俵,１,８,-,-,"1,771","9,432",２,７,102,"1,144",-,-,-,-
玉蜀黍,俵,-,-,"5,650","23,362","13,362","55,680","5,668","25,611","18,204","82,977","10,899","37,737","2,999","7,522"
その他穀物及び種子,俵,135,"1,648","1,096","13,760","3,133","20,097","3,487","21,863","4,184","26,607","2,705","14,780",893,"4,387"
桙禽,貫,-,-,-,-,19,17,-,-,-,-,-,-,10,５
柑;偈類,貫,-,-,-,-,-,-,-,-,-,-,896,"1,919",-,-
柿,貫,"1,824","1,969","6,654","4,727","8,634","6,507","15,177","7,305","24,868","11,541","18,259","7,700","29,700","13,047"
その他果実,貫,-,-,51,43,"6,904","2,968",303,381,35,15,15,９,608,232
馬鈴薯,貫,-,-,121,25,-,-,-,-,-,-,"13,744","1,510",-,-
その他蔬菜,貫,-,-,128,29,232,73,-,-,-,-,"11,618","3,871",１,１
その他農産物,貫,"300,041","100,611","823,701","231,000","71,638","281,927","1,680,540","398,673","1,522,752","331,319","1,478,032","276,189","1,492,224","195,382"
畜産物,小計,●●●,"70,262",●●●,"123,385",●・●,"61,033",●●●,"127,486",●●●,"61,749",●●●,"100,856",●・●,"93,979"
馬,頭,-,-,１,350,-,-,-,-,-,-,-,-,-,-
その他動物,個,15,52,-,-,-,-,-,-,-,-,６,92,６,38
鶏卵・鳥卵,箱,585,"6,080","1,006","10,595",360,"2,935",-,-,-,-,-,-,243,"1,675"
畜産食料品,個,２,96,１,５,-,-,４,88,38,"1,010","1,725","59,364",２,36
毛皮及び皮革,個,321,"64,034","1,232","112,220",216,"58,098",339,"127,398",155,"60,664","1,483","40,826",556,"92,229"
その他畜産物,個,-,-,１,215,-,-,-,-,２,75,８,574,１,１
林産物,小計,●凖●,710,Ｉ●●,"192,890",●●●,"101,057",●●●,"231,568",●●●,"388,689",●●●,"92,333",●●●,"42,814"
角材,石,一,-,"65,688","186,340","2,691","17,210","19,964","140,447",146,"2,795","9,992","48,587","6,224","28,426"
丸太材,石,-,-,464,"5,458","13,453","63,104","5,396","43,507","56,286","369,654","8,295","34,902","2,857","14,103"
挽材,石,32,380,442,"1,092","2,230","19,713","5,419","47,585","1,745","14,783",120,368,49,235
その他製材,石,25,300,-,-,-,-,-,-,280,"1,350","1,506","8,476",８,48
木炭,俵,-,-,-,-,-,-,-,-,42,92,-,-,-,-
薪,百本,７,30,-,-,81,"1,000",３,29,１,15,-,-,●●●,２
竹材及び籐,個,一,-,-,-,15,30,-,-,-,-,-,-,-,-
水産物,小計,●●・,"579,530",●●●,"164,492",●・・,"16,183",●●●,"1,683,070",●●●,"4,447,765",●●●,"1,923,538",●●●,"2,264,939"
