,単位,明　　治　　15,,明　　治　　16,,明　　治　　17,,明　　治　　18,,明　　治　　19,,明　　治　　20,,明　　治　　21,,明　　治　　23,,明　　治　　24,,明　　治　　25,,明　　治　　26,,明　　治　　27,,明　　治　　28,,明　　治　　29,
,,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　　量,金　額,数　　量,金　額,数　　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額,数　量,金　額
索麺,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,62,４,"1,399",82
小麦,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,800,32
その他諸飲食物,,争●●,93,-,-,●●●,１,●●●,21,●●●,111,●●●,29,●●●,"4,461",●●●,210,●●●,12,●●●,10,●●●,76,●●●,564,●●●,997,●●・,"11,519"
書籍及び紙類,小計,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,●●●,18,●■●,20,■■●,66
書籍,冊,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,27,20,-,-
擬洋紙,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●・・,７
その他諸紙類,,-,-,-,-,-,-,-,-,-,-,-,~,-,-,-,-,-,-,-,-,-,-,●●●,18,-,-,●・●,59
薬材製薬及び染料彩料類,小計,●●●,70,●●●,"78,243",●●●,"25,157",・●●,"86,584",●■●,"43,550",●●●,"106,845",・●●,"56,313",●●●,"118,450",●●●,"227,012",●●■,"224,214",,"204,684",,"211,638",・■・,"244,281",●■・,"210,192"
鹿茸,斤,７,70,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
黄栢,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,420",128,"64,695",973
硫黄,斤,-,-,"6,912,049","78,243","2,641,523","25,157","8,373,531","86,584","5,703,152","43,550","11,921,532","106,845","6,063,960","56,313","13,503,140","118,450","36,587,428","227,012","19,407,360","244,214","15,188,880","204,684","18,515,280","211,621","22,813,160","244,153","13,426,298","209,072"
薬材製薬雑類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,慟●●,17,-,-,●●●,144
染料彩料雑類,,-,-,-,-,-,-,-,-,-,ー,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,４
金属及び金属器類,小計,-,-,-,-,-,-,-,-,●●●,210,●●●,34,-,-,-,-,-,-,-,-,-,-,●●●,20,●●●,45,●●●,589
故青銅,斤,-,-,-,-,-,-,-,-,"4,190",210,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
故銅,斤,-,-,-,-,-,-,-,-,-,-,563,34,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
銅器類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,15,-,-
安質母尼器類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,●●●,490
鉄器類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,●●●,18,●●●,73
鉛,斤,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,50,４
その他諸金属器類,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,~,-,●●●,20,争●●,13,二二●,23
皮革甲角類,小計,●●●,"3,808",●●●,"5,618",●●●,"5,069",●●●,"4,190",●●●,"4,209",●■い,"4,975",●●●,"21,814",●●●,"7,842",φ●●,"7,273",●●・,"18,041",●●●,"13,233",●●●,"19,228",,"29,187",■●●,"31,503"
鹿角,斤,"6,319","1,025","11,751","1,898","8,994","1,826","3,251",727,"1,555",362,"3,201",599,"37,795","4,481",-,-,"4,556",546,813,115,"2,596",47,266,76,340,136,"1,866",446
羽毛,斤,-,-,２,17,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
毛皮類,枚,"4,055","2,783","6,615","3,689","3,849","3,219","6,210","3,444","6,027","3,826","6,212","4,348","25,228","17,333","11,128","7,832","8,315","6,727","20,867","17,926","16,604","13,186","13,572","19,152","3,283","29,051","6,980","31,023"
獣筋,斤,-,-,-,-,-,-,150,11,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
鮑殼,斤,-,-,"1,875",14,"6,100",24,"1,998",８,"1,998",20,"1,430",28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"5,783",35
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
