,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,函　　　　　　　　　　　　館　　　　　　　　　　　　　駅,,,,,,,,,,,,,
,,旅　　　　　　　　　　　客,,,,,,,貨　　　　物,,,収　　　　入,,,
,,乗　　　車　　　人　　　員,,,,降　　　車　　　人　　　員,,,丑亠,?･　ヽそ,Xr　j皀,旅客・手,a6,八　笹↓,
,,計,普　通,旅行社扱,定　期,計,普　通,定　期,μ｜,ｙLj　J≪_2,〆’ｊ　／辷i,小荷物,Ｊ丶　ＭＪ,－　ＵＩ,
,昭和25,"人
10,206","人
5,138","人




●●●","人
5,068","人
9,610","人
4,542","人
5,068","t
2,611","t
920","t
1,691","円
598,382","円
940,113","円
1,538,495",
,26,"9,914","5,121",●●曾,"4,793","9,283","4,490","4,793","2,923",948,"1,975","673,118","1,066,724","1,739,842",
,27,"11,032","4,930",735,"5,367","9,652","4,303","5,349","2,950",877,"2,073","1,167,511","1,246,006","2,413,517",
,28,"9,959","4,333",631,"4,995","9,355","4,360","4,995","3,349",864,"2,485","917,067","1,398,240","2,315,307",
,29,"10,205","4,950",572,"4,683","9,603",,,"2,934",831,"2,103","1,020,783","1,401,781","2,422,564",
,30,"10,386","4,879",569,"4,938","9,746",,,"2,764",714,"2,050","997,098","1,304,124","2,301,222",
,31,"11,018","5,195",587,"5,236","10,158",●●■,,"3,016",786,"2,230","1,089,493","1,405,629","2,495,122",
,32,"11,441","5,280",619,"5,542","10,599",,,"3,053",746,"2,307","1,287,769","1,484,099","2,771,868",
,33,"11,551","5,408",628,"5,515","10,735",,Ｉ●●,"2,757",7L8,"2,039","1,342,188","1,404,484","2,746,672",
,34,"11,780","5,507",590,"5,683","11,114",,,"2,996",808,"2,188","1,409,649","1,543,297","2.952,946",
,35,"11,806","5,566",632,"5,608","11,141",,,"3,020",849,"2,171","1,488,417","1,582,317","3,070,734",
,36,"11,282","5,043",714,"5,525","10,692",,,"3,108",862,"2,246","1,781,057","1,840,608","3,621,665",
,37,"11,420","5,119",663,"5,638","10,875",,●●●,"3,033",915,"2,118","1,946,084","1,916,585","3,862,669",
,38,"11,859","4,721","1,103","6,035",,,■・●,"2,983",919,"2,064","2,200,736","2,008,573","4,209,309",
,39,"12,442","4,854","1,107","6,481",,,,"2,791",931,"1,860","2,395,996","1,964,180","4,360,176",
,40,"13,051","4,989","1,184","6,878",,●●瞼,●●●,"2,692",896,"1,796","2,590,076","1,872,253","4,462,329",
,41,"12,478","4,828","1,101","6,549",,,・●●,"2,421",853,"1,568","3,471,363","2,070,790","5,542,153",
,42,"12,466","5,061","1,124","6,281",●●●,,●●●,"2,478",831,"1,647","3,761,316","2,262,687","6,024,003",
,43,"12,320","5,170","1,175","5,975",●●●,ｆ●●,,"2,327",794,"1,533","3,780,883","2,273,454","6,054,337",
,44,"11,528","5,198","1,143","5,187",●●齔,,,"2,341",863,"1,478","4,529,232","2,344,334","6,873,566",
,45,"10,991","5,169","1,188","4,634",●●●,,,"2,281",857,"1,424","4,704,666","2,411,122","7,115,788",
,46,"10,625","5,099","1,231","4,295",●●●,●●●,●●●,"2,153",775,"1,378","4,980,500","2,308,411","7,288,911",
,47,"10,195","4,961","1,197","4,037",,●●●,●曾●,"2,029",751,"1,278","4,926,521","2,295,838","7,222,359",
,48,"9,957","5,073","1,082","3,802",,,,"1,754",652,"1,102","5,095,256","2,046,816","7,142,072",
,49,"10,307","5,444",961,"3,902",●●●,●●ｌ,●嗇●,"1,559",591,968,"5,601,190","2,175,214","7,776,404",
,50,"9,932","5,258","1,003","3,671",,■●嘯,●・・,"1,366",520,846,"6,162,429","2,101,704","8,264,133",
,51,"9,828","5,095","1,052","3,681",●●●,●Ｉ●,,"1,240",443,797,"7,182,423","2,255,332","9,437,755",
,52,"9,059","4,717",915,"3,427",●暈●,■二●,,"1,077",370,707,"8,111,466","2,535,969","10,647,435",
,,,,,,,,,,,,,,,~1
,53,8.427,"4,402",877,"3,148",,,,"1,090",379,711,"8,346,096","2,753,003","11,099,099",
,54,"8,141","4,346",813,"2,982",●●二,●争奪,●●●,"1,202",405,797,"9,046,366","3,343,986","12,390,352",㈲
,,,,,,,,,,,,,,,罫
,55,"7,869","4,141",764,"2,964",,●●●,,734,217,517,"9,143,362","1.704,123","10,847,485",
