,合　　　計,,汽　　　　　　　　　　　　　　　船,,,,,,,,,,,,汽　　　　　　　　　　　　　　　船,,,,,,,,,,,,,
,,,小　　計,,日　　　本,,イギリス,,ド　イ　ツ,,フランス,,デンマーク,,ノルウェー,,ロシア→USSR,,米　　　国,,支那→中国,,オランダ,,関　東　州,,そ　の　他,
,放数,｀ッ数,艘数,｀ｯ数,放数,ﾄｯ数,艘数,ﾄｯ数,艘数,り数,艘数,り数,艘数,り数,般数,ﾄｯ数,艘数,トッ数,艘数,ﾄﾞｯ数,艘数,｀ッ数,艘数,ﾄｯ数,艘数,り数,艘数,｀ｯ数
５,300,"164,628",169,"148,287",135,"109,410",１,"1,229",-,一,-,-,-,-,-,-,32,"36,693",１,955,-,-,-,一,-,-,-,-
６,340,"227,064",215,"211,227",167,"151,077",-,-,-,-,-,-,-,-,１,"3,016",47,"57,134",-,-,-,-,-,-,-,-,-,-
７,387,"207,495",257,"189,916",222,"153,437",-,-,-,一,-,-,-,-,一,-,35,"36,479",-,-,-,-,-,-,-,-,-,-
８,394,"215,545",288,"200,993",252,"157,284",-,-,-,-,-,-,-,-,-,-,35,"40,545",１,"3,164",-,-,-,-,-,-,-,-
９,441,"248,154",336,"233,983",328,"204,769",６,"22,205",-,-,-,-,-,-,１,"2,522",-,-,１,"4,487",-,-,-,-,-,-,-,-
10,360,"204,930",272,"192,872",256,"166,807",４,"13,203",-,-,一,-,-,-,-,-,10,"8,961",２,"3,901",-,-,-,-,-,-,-,-
11,481,"318,864",379,"304,237",357,"254,107",９,"31,606",-,-,-,-,-,-,２,"7,220",９,"8,792",２,"2,512",-,-,-,-,-,-,-,-
12,418,"320,706",343,"307,957",315,"240,098",６,"24,944",-,-,-,-,-,-,１,"2,873",14,"16,703",２,"9,482",-,-,-,-,-,-,５,"13,857"
13,334,"228,340",307,"223,690",272,"157,035",６,"18,318",-,-,一,-,-,-,２,"4,096",21,"26,656",３,"13,928",-,-,-,-,-,-,３,"3,657"
14,358,"273,033",3n,"265,400",276,193.007,９,"32,867",-,-,-,-,-,-,２,"6,501",22,"26,080",２,"6,945",-,-,-,-,-,-,-,-
昭和１,377,"383,277",341,"376,762",296,"269,502",15,"57,550",-,-,-,-,-,-,２,"4,798",23,"29,894",３,"11,694",２,"3,324",-,-,-,-,-,-
２,376,"418,937",352,"414,821",300,"285,584",13,"60,535",１,"4,376",１,"4,163",-,-,-,-,28,"37,873",４,"15,835",５,"6,455",-,一,-,-,-,-
３,391,"544,490",380,"542,172",3n,"380,943",21,"83,030",-,-,-,-,-,-,-,-,38,"51,315",５,"18,675",５,"8,209",-,-,-,-,-,-
４,477,"697,317",455,"694,099",350,"454,447",23,"97,503",１,"4,576",２,"2,710",-,-,５,"9,659",51,"74,313",６,"22,007",15,"21,581",-,-,-,-,２,"7,303"
５,487,"889,170",477,"888,073",355,"546,908",25,"116,195",１,"3,805",４,"14,610",-,-,10,"26,505",38,"74,051",２,"10,308",28,"60,238",１,"4,234",10,"27,154",３,"4,065"
６,349,"632,635",341,"630,835",279,"418,058",26,"124,804",２,"9,724",３,"12,531",-,-,２,"5,198",24,"51,600",１,"3,785",４,"5,135",-,-,-,-,-,-
７,284,"579,044",281,"578,335",217,"341,602",33,"158,168",１,"4,116",-,-,-,-,４,"9,256",12,"22,844",３,"11,512",２,"4,157",-,-,９,"26,680",-,-
８,201,"400,945",199,"400,261",168,"276,208",21,"99,199",-,-,-,-,-,-,１,"2,759",６,"12,860",１,"3,564",-,-,-,-,２,"5,671",-,-
９,248,"582,544",246,"581,860",182,"338,883",41,"171,333",２,"9,324",-,-,２,"8,672",５,"17,502",４,"5,213",１,"3,841",４,"9,422",２,"9,108",２,"5,325",-,-
10,264,"628,213",260,"627,177",185,"340,621",50,"214,428",１,"4,832",一,一,４,"19,759",４,"10,413",10,"20,787",-,-,３,"5,362",１,"4,058",-,-,１,"4,083"
11,257,"678,083",255,"677,399",182,"374,276",55,"251,667",-,-,-,-,-,-,３,"10,210",12,"30,267",１,"4,427",１,"2,705",-,-,１,"3,847",-,一
12,256,"692,653",255,"692,311",166,"330,123",63,"304,115",-,-,-,-,-,-,３,"13,967",16,"28,354",-,-,７,"15,752",-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
