,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,こ,,,,,,,,,,,,,,
,,,五　　　　　　　　　稜　　　　　　　　　　郭　　　　　　　　　　駅,,,,,,,,,,,,
,,,,,,,,,,,,,,,縢
,,,旅　　　　　　　　　客,,,,,,貨　　　　物,,,収　　　　入,,,淋
,,,乗　　車　　人　員,,,降　　車　　人　　員,,,気Ｌ,?t　ヽ￥,ぷ11　49,旅客・手,g6,八　さ・,幤
,,,,,,,,,,,,,,,禳
,,,計,普　通,定　期,計,普　通,定　期,μ｜,ｙＵ　Ｘｆ・,〃X　yt岡,小荷物,-･・,－　μ１,
,,昭和25,"人
1,165","人
613","人
552","人
1,264","人
712","人
552","t
1,985","t
745","t
1,240","円
24,498","円
326,214","円
350,712",
,,26,"1,181",503,678,"1,381",703,678,"2,406",905,"1,501","22,615","455,055","477,670",
,,27,"1,033",387,646,"1,243",597,646,"2,357",924,"1,433","22,826","499,350","522,176",
,,28,915,398,517,"1,094",577,517,"2,364",897,"1,467","23,745","579,117","602,862",
,,29,940,427,513,"1,114",,,"2,259",900,"1,359","26,103","555,195","581,298",
,,30,"1,089",507,582,"1,239",●●●,●●●,"2,177",899,"1,278","29,536","580,935","610,471",
,,31,"1,249",548,701,"1,414",●●●,二●●,"2,409",993,"1,416","33,625","659,562","693,187",
,,32,"1,313",525,788,"1,442",●・●,二●■,"2,501","1,030","1,471","41,145","746,594","787,739",
,,33,"1,307",568,739,"1,452",●●・,争●●,"2,452","1,019","1,433","44,382","718,158","762,540",
,,34,"1,434",588,846,"1,584",,●●●,"2,429","1,052","1,377","48,303","758,185","806,488",
,,35,"1,404",594,810,"1,557",●●●,二●●,"2,393","1,033","1,360","53,419","813,672","867,091",
,,36,"1,267",448,819,"1,399",●●Ｉ,●●●,"2,422",981,"1,441","52,383","924,174","976,557",
,,37,"1,186",442,744,"1,320",,,"2,449",996,"1,453","56,815","962,076","1,018,891",
,,38,"1,281",502,779,,●●●,●●●,"2,552","1,057","1,495","58,726","1,104,921","1,163,647",
,,39,"1,357",533,824,,,,"2,360",982,"1,378","61,999","1,054,165","1,116,164",
,,40,"1,471",576,895,●¶●,●春●,・血●,"2,001",823,"1,178","71,350","908,194","979,544",
,,41,"1,390",561,829,,●●●,,"1,755",726,"1,029","90,832","817,256","908,088",
,,42,"1,486",590,896,●曾●,●●●,●■■,"1,793",787,"1,006","109,656","906,323","1,015,979",
,,43,"1,437",612,825,,●●●,,"1,811",806,"1,005","112,817","881,837","994,654",
,,44,"1,340",614,726,●●●,●●●,●●●,"1,716",778,938,"142,737","923,266","1,066,003",
,,45,"1,399",629,770,●●●,■●●,,"1,406",627,779,"165,199","825,142","990,341",
,,46,"1,357",607,750,●●●,●●●,●●●,"1,273",572,701,"204,212","775,669","979,881",
,,47,"1,259",550,709,,●●●,●呷●,"1,200",560,640,"238,397","859,422","1,097,819",
,,48,"1,242",528,714,,●●●,●●●,948,486,462,"240,864","758,455","999,319",
,,49,"1,259",557,702,,,●呷●,996,549,447,"250,265","967,110","1,217,375",
,,50,"1,221",546,675,,,,776,442,334,"279,878","858,179","1,138,057",
,,51,"1,231",529,702,,,●●●,722,429,293,"328,267","1,077,435","1,405,702",
,,52,"1,217",502,715,●●・,・●●,●・●,733,447,286,"349,432","1,278,034","1,627,466",
,,53,"1,130",465,665,●●Ｉ,,,700,4n,289,"378,955","1,376,092","1,755,047",
,,54,"1,066",438,628,・●●,●●●,●●●,754,442,312,"411,391","1,714,684","2,126,075",
,,55,"1,031",427,604,●●●,,,"1,223",672,551,"414,519","3,346,399","3,760,918",
