,,函　　　館　　　簡　　　　易　　　裁　　　判,,,,,,,,,函　　館　地　　方　裁　　判,,,,
,,受　　　　理,,,既　　　　　　　　　済,,,,,未　済,受　　理,,,既,
,,旧　受,新　受,計,有　罪,謚,無　罪,その他,計,,旧　受,新　受,計,有　罪,諧
,昭和45,205,"8,224","9,029","8,010",56,３,758,"8,771",258,79,"1,429","1,508",310,161
,46,258,"8,108","8,266","7,072",58,２,909,"7,983",283,73,"1,363","1,436",273,135
,47,283,"9,666","9,949","8,695",44,-,"1,072","9,767",182,56,"1,578","1,634",284,135
,48,182,"9,965","10,147","8,862",30,-,"1,047","9,909",238,48,"1,578","1,626",223,132
,49,238,"10,481","10,719","9,513",60,-,"1,091","10,604",115,91,"1,386","1,477",271,133
,50,216,14.259,"14,475","13,033",72,-,"1,277",13.033,165,102,"1,506","1,608",339,195
,51,106,"9,506","9,612","8,605",78,１,900,"9,506",106,75,"1,491","1,566",298,132
,52,106,"11,124","11,230","10,057",63,２,965,"11,024",206,44,"1,756",1.800,308,173
,53,206,"10,352","10,558","9,522",52,-,873,"10,395",163,136,"1,648","1,784",281,158
,54,163,"9,987","10,150","9,003",28,１,949,"9,953",197,80,"1,489","1,569",319,123
,55,197,"9,567","9,764","8,863",48,１,823,"9,687",77,59,"1,499","1,558",303,137
