,,函　　　館　　　　区　　　裁　　　判　　　所,,,,,,,,,函　　　館　　　地　　　方,,,,
,,受　　　　理,,,結　　　　　　　　　果,,,,,未　決,受　　　　理,,,結,
,,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,,旧　受,新　受,計,判　決,取下げ
,明治15,●蕃●,,●●●,●●●,●●●,●●●,●■血,●●●,●●●,●●●,●●●,330,●嗇・,●●●
,16,,,,●啝●,●二二,,Ｓ●●,●・●,●●●,■二齒,,342,,●●●
,17,●●●,,●●●,●●●,●●●,,,,●●●,●●ｆ,●●●,160,●●●,
,18,,●●■,●●●,●●●,●●●,●●●,,,,●二●,●¶●,121,●●●,
,19,■●●,・●●,●●●,●●●,,・●・,,,●●●,■曾●,●・●,46,,Ｉ●●
,20,●●●,,,●●●,,,,,,●曾●,●・●,62,●蕃●,
,21,●●●,●●●,●●■,●二●,,●●●,●●●,●●●,●二●,●●●,●●●,57,●●●,●●二
,22,●●●,●■●,●●●,●●二,●●・,二●●,,●●●,●●●,●ｆ争,●・●,52,●●●,●●●
,23,●●●,●●●,●●●,●●ｆ,●●●,Ｉ●●,●●●,,●●●,●●●,●●●,71,●●●,
,24,●●●,,,●●●,,●春●,,,●Ｉ●,,●・●,165,●●●,
,25,●●●,●●欷,●・●,●●●,・●●,●●●,,●●●,●・●,●●二,●二●,142,●●曾,・●●
,26,,,●●●,,●●●,●●●,,,,●●●,●●●,169,●●●,
,27,蕃●●,●●●,●●●,,,●●●,●●●,●●●,●●●,●●●,,278,・●●,曾●●
,28,・●●,●二●,●●●,●●●,・■●,●●●,■●●,■●●,●●●,●●●,●●●,172,●●暈,●●●
,29,●●●,●・●,●●●,●●●,●●●,●●●,●●●,,’●●Ｉ,●●●,●●●,139,,・●●
,30,●●●,●４二,●・●,●■●,・●●,●・●,●●●,●●●,●●・,■●●,●●●,181,,
,31,●●●,●●●,●●●,●●●,●●■,●●●,●●●,,,・●●,●●●,206,,
,32,●●●,●●●,●●●,,,●●●,●●●,,●●●,●●●,●●●,239,●■●,
,33,●●●,●●二,●●●,,●●●,,■●●,,●●●,●●●,●●●,313,●■●,●●■
,34,,・●●,●●●,,,●●僵,,●●●,●●●,●●●,,250,,●二●
,35,,,●●●,,,●●●,●●●,＆●●,,・■●,,288,ｉ■●,●・●
,36,●●●,,●●●,●４●,,,●●●,●●●,Ｉ●●,,・●●,346,,●●●
,37,■●■,●●●,●●●,●●●,,●●●,●●●,●●●,嘯■●,,,263,●●Ｉ,●●●
,38,●●●,●●●,●●●,●●●,,,●●●,,●●●,●●●,●●●,182,,■僵●
,39,204,"3,034","3,238",591,256,62,"2,151","3,060",178,,●●●,●●■,・・●,●●●
,40,178,"2,511","2,689",536,176,68,"1,734","2,514",175,●●●,,,●●●,●●二
,41,175,"2,900","3,075",451,168,104,"2,077","2,800",275,,●●●,●嘯●,，●●,
,42,165,"3,146","3,311",533,150,96,636,"1,415",●●●,110,228,338,120,76
,43,180,"3,210","3,390",497,188,69,"2,464","3,218",172,103,212,315,127,60
,44,172,"3,318","3,490",460,219,93,"2,601","3,373",117,73,163,236,101,61
,大正１,117,"3,102","3,219",393,194,90,"2,455","3,132",87,82,183,265,n8,61
,２,87,"3,655","3,742",516,181,87,"2,819","3,603",139,67,128,195,72,47
,３,139,"4,684","4,823",718,208,128,"3,535","4,589",234,45,136,181,72,36
,４,234,"4,122","4,356",789,243,109,"2,965","4,106",243,46,114,160,77,22
,５,243,"3,573","3,816",657,294,121,"2,506","3,578",238,38,161,199,78,46
,６,238,"2,379","2,617",477,234,110,"1,625","2,446",171,47,166,213,97,42
,７,171,"2,267","2,438",450,244,n2,"1,477","2,283",155,49,166,215,81,51
,８,155,"1,485","1,640",630,322,149,396,"1,497",●●●,56,238,294,104,59
,９,123,"1,706","1,829",704,247,n1,497,"1,559",●・●,66,317,383,104,80
,10,291,"5,247","5,538","1,092",358,189,"3,420","5,059",●嘯●,115,322,437,140,75
,11,490,"9,079","9,569",●●●,,,●●●,"9,160",409,●●●,●●●,●●二,,●●●
,12,406,"9,143","9,549",,●●●,●●●,●●●,"8,906",643,●●●,,●●●,■●血,・●●
,13,643,"8,696","9,339",Ｉ●●,●●●,●●●,●●・,"8,921",418,●●睿,,,●●●,
,14,418,"8,849","9,267",●●●,●●●,●●●,●●●,"8,844",423,ｌ●●,,,,●●●
,昭和１,475,"8,366","8,841",●●●,,●・●,●●●,"8,315",526,,●●●,●●●,,
,２,483,"9,291","9,774",●●●,,●曾●,■●●,"9,138",636,・■●,●●春,,,
,３,636,"9,654","10,290",●●●,曾●●,,,"9,521",769,,■●・,●●●,,●●●
,４,867,"10,540","11,407",曾●●,,,,"10,741",666,●●●,●●●,ｌ●●,,
,５,666,"10,200","10,866",●●●,,●●１,,"10,435",431,,●●●,・●●,●■●,
