,函　　　館　　　　区　　　裁　　　判　　　所,,,,,,,,,函　　　館　　　地　　　方,,,,,裁　　　判　　　所,,,,函　　　　館　　　　控　　　　訴　　　　院,,,,,,,,
,受　　　　理,,,結　　　　　　　　　果,,,,,未　決,受　　　　理,,,結,,果,,,未　決,受　　　　理,,,結　　　　　　　　　　果,,,,,未　決
,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,,旧　受,新　受,計,判　決,取下げ,和　解,その他,計,
41,175,"2,900","3,075",451,168,104,"2,077","2,800",275,,●●●,●嘯●,，●●,,●●●,●●●,●●●,●二●,●●●,●●●,56,●●●,●●●,・●帶,●●●,●●●,●●●
42,165,"3,146","3,311",533,150,96,636,"1,415",●●●,110,228,338,120,76,５,34,235,103,44,91,135,48,18,-,-,66,69
43,180,"3,210","3,390",497,188,69,"2,464","3,218",172,103,212,315,127,60,５,40･,232,83,69,79,148,54,13,-,２,69,79
44,172,"3,318","3,490",460,219,93,"2,601","3,373",117,73,163,236,101,61,-,８,170,66,79,68,147,58,20,１,１,80,67
大正１,117,"3,102","3,219",393,194,90,"2,455","3,132",87,82,183,265,n8,61,11,８,198,67,67,97,164,50,24,２,-,76,88
２,87,"3,655","3,742",516,181,87,"2,819","3,603",139,67,128,195,72,47,９,22,150,45,88,66,154,54,28,３,２,87,67
３,139,"4,684","4,823",718,208,128,"3,535","4,589",234,45,136,181,72,36,１,26,135,46,67,68,135,30,15,-,-,45,90
４,234,"4,122","4,356",789,243,109,"2,965","4,106",243,46,114,160,77,22,４,19,122,38,90,37,127,45,14,２,１,62,65
５,243,"3,573","3,816",657,294,121,"2,506","3,578",238,38,161,199,78,46,５,23,152,47,65,39,104,30,20,３,１,54,50
６,238,"2,379","2,617",477,234,110,"1,625","2,446",171,47,166,213,97,42,５,20,164,49,50,51,101,28,16,１,１,46,55
７,171,"2,267","2,438",450,244,n2,"1,477","2,283",155,49,166,215,81,51,３,23,158,57,55,63,118,36,19,３,１,59,59
８,155,"1,485","1,640",630,322,149,396,"1,497",●●●,56,238,294,104,59,８,57,228,●●●,59,68,127,29,19,４,４,56,・●●
９,123,"1,706","1,829",704,247,n1,497,"1,559",●・●,66,317,383,104,80,20,64,268,,71,73,144,50,20,１,●●●,71,●●●
10,291,"5,247","5,538","1,092",358,189,"3,420","5,059",●嘯●,115,322,437,140,75,24,47,286,●■●,73,83,156,41,24,３,●●●,68,●●●
11,490,"9,079","9,569",●●●,,,●●●,"9,160",409,●●●,●●●,●●二,,●●●,●・●,●●●,●●●,,-,-,-,-,-,-,-,-,-
12,406,"9,143","9,549",,●●●,●●●,●●●,"8,906",643,●●●,,●●●,■●血,・●●,●瞻●,●●●,●●●,●●■,-,-,-,-,-,-,-,-,-
13,643,"8,696","9,339",Ｉ●●,●●●,●●●,●●・,"8,921",418,●●睿,,,●●●,,●二●,●●●,●●●,,-,-,-,-,-,-,-,-,-
14,418,"8,849","9,267",●●●,●●●,●●●,●●●,"8,844",423,ｌ●●,,,,●●●,●●●,●●●,●●●,●●●,-,-,-,-,-,-,-,-,-
昭和１,475,"8,366","8,841",●●●,,●・●,●●●,"8,315",526,,●●●,●●●,,,●●●,●●●,●●●,●●●,-,-,-,-,-,-,-,-,-
２,483,"9,291","9,774",●●●,,●曾●,■●●,"9,138",636,・■●,●●春,,,,,,●●●,●●●,-,-,-,-,-,-,-,-,-
３,636,"9,654","10,290",●●●,曾●●,,,"9,521",769,,■●・,●●●,,●●●,・●●,●Ｉ曾,●Ｉ●,●●●,-,-,-,-,-,-,-,一,-
４,867,"10,540","11,407",曾●●,,,,"10,741",666,●●●,●●●,ｌ●●,,,暴丱●,●嘯●,●陛●,●●●,-,-,-,-,-,-,-,-,-
５,666,"10,200","10,866",●●●,,●●１,,"10,435",431,,●●●,・●●,●■●,,●●●,●●●,■●φ,●●●,-,-,-,-,-,-,-,-,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
