,所,,,
,済,,,未　済
,無　罪,その他,計,
,-,"1,125","1,435",73
,-,"1,107","1,380",56
,-,"1,302","1,586",48
,-,"1,312","1,535",91
,１,"1,103","1,375",102
,-,"1,194","1,533",75
,１,"1,223","1,522",44
,-,1.356,"1,664",136
,４,"1,419",1.704,80
,１,"1,190","1,510",59
,-,"1,211","1,514",44
