,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,"警察
署数","分署
数",派出所数,,,駐在,警　察　官　及　び　警　察　職　員　数,,,,,,,,
,,,,警部補,卮査部長,巡査,所散,警察長,警視正,警　視,警　部,警部補,巡査部長,巡　査,その他,計
,昭和24,,●●●,,,,,１,-,２,６,13,43,297,-,362
,25,,●Ｉ●,,●●●,,,１,-,３,６,15,46,296,-,367
,26,●■●,●●■,,,●ｉ●,,１,-,２,６,15,50,284,-,358
,27,●●●,●・●,嚶呷●,●●■,,,一,１,２,７,17,51,287,-,365
,28,,,,●・■,,,-,１,２,７,17,51,290,59,427
,29,,●１●,●●●,●●●,●●二,●●●,-,１,３,５,19,50,284,54,416
