,,函　　　　　　館　　　　　　区　　　　　　裁　　　　　　判　　　　　　所,,,,,,,,,,,,,
,,刑　　　法　　　犯,,,,,特　別　　法　　犯,,,,,モ　　　　の　　　他,,,
,,旧　受,新　受,計,既　済,未　済,旧　受,新受,計,既　済,未　済,旧　受,新　受,計,既　済
,大正11,52,948,"1,000",968,32,●●●,●●●,二●●,●●●,二●●,●●●,●●●,・４●,●●●
,12,32,"1,101","1,103","1,056",77,●●●,●●●,●●●,●●●,嗇●●,●●●,●●●,●●●,●●●
,13,77,905,982,975,７,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●,●●●
,14,２,493,495,488,７,４,365,369,369,-,１,59,60,60
,昭和１,７,389,396,383,13,-,414,414,413,１,-,21,21,21
,２,13,430,443,420,23,１,386,387,387,-,-,31,31,31
,３,23,752,775,757,18,●●●,●●●,●●●,●●●,・●●,●●●,●●●,,
,４,18,ｱ19,737,722,15,Ｉ●●,●●●,,●●●,●●●,●●●,・●ｌ,●・●,
,５,15,408,423,409,14,-,317,317,317,-,-,55,55,55
