,所,,,
,済,,,一台 lil
,命　令,その他,計,/1丶　ぴ・
,６,"2,793","3,357","1,444"
,１,"2,924","3,367","1,371"
,-,"2,698","3,054","1,048"
,-,"2,079","2,351",806
,１,"2,117","2,433",883
,-,"2,490","2,761","1,044"
,１,"2,493","2,818","1,132"
,４,"2,917","3,307","1,014"
,-,"3,048","3,339",858
,-,"3,196","3,439",908
,-,"3,342","3,592","1,101"
