,総　　　　数,,水　　　稲,,麦　　　類,,え　ん　麦,,豆　　類,,その他雑穀,,特　用　作　物,,そ　　菜　　類,,馬　　鈴　　薯,,飼料用作物,,その他畑作物,,果　樹　類,
,面　　積,収穫量,面　積,収穫量,面　積,収穫量,面　積,収穫量,面　積,収穫量,面　積,収穫量,面　積,収穫量,面　　積,収穫量,面　　積,収穫量,面　積,収穫量,面　積,収穫量,面　積,収穫量
昭和23,"1,145.4s1",●●●,221.6',"4,033s",11.9*,541,37.8町,486s,"77.4""",53舮,"123.1""1",803°,0.5町,"3,600斤",224.『,"1,283,395ﾇ",184.91町,"464,099''",140.4',"465,050R",_町,_石,_町,43貫
50,"3,128.0","79,293",286.0,"1,290",-,-,7.0,16,66.0,81,-,-,-,-,807.0,"26,040","1,150.0","33,800",788.0,"18,040",-,-,24.0,26
51,"3,174.0","78,479",293.0,"1,100",-,-,7.0,16,65.0,72,-,-,-,-,814.0,"26,211","1,180.0","34,100",791.0,"16,953",-,-,24.0,27
52,"3,115.0","83,031",280.0,"1,260",-,-,7.0,18,66.0,74,-,-,-,-,801.0,"26,500","1,180.0","33,300",763.0,"21,850",-,-,18.0,29
53,"3,218.0","74,020",268.0,"1,250",-,-,7.0,17,65.0,79,１．０,１,11.0,415,842.0,"20,755","1,230.0","33,500",766.0,"17,918",3.0,55,25.0,30
54,"3,176.0","78,783",268.0,"1,210",-,-,7.0,16,51.0,59,2.0,２,8.0,361,816.0,"26,757","1,230.0","33,900",759.0,"16,428",15.0,●●●,20.0,50
55,"3,146.0","77,569",230.0,377,-,-,-,-,51.0,58,-,-,10.0,412,840.0,"22,722","1,230.0","34,700",755.0,"19,253",15.0,●■●,15.0,47
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
