,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
総　　　計,"1,763,543","2,682,561","3,253,222","5,535,885","8,609,760","9,604,407","8,380,290","9,885,784","12,214,385","15,410,383","18,276,856","20,432,375","19,816,665","21,071,232","27,839,307","28,700,409","36,053,148","50,861,375","59,908,570","69,240,633","77,021,478","69,484,578"
【冷凍品計】,"425,177","496,660","384,308","358,247","375,361","1,308,367","823,100","1,113,460","788,427","1,134,145","1,839,151","1,825,508","5,913,605","3,818,573","4,142,253","5,848,893","6,502,398","8,069,415","13,308,707","22,350,090","27,316,200","23,645,333"
サケ,"72,424",648,-,-,"4,750","94,750","45,330","86,640","6,550","38,500","59,000","223,600","36,557","3,000","32,730","97,220","17,000","10,440","393,800","820,800","3,360,000","3,335,900"
マス,"101,804","231,242","103,198","5,563","60,900","88,062","90,960","66,000","70,790",-,"278,800","227,250","627,300","51,000","360,000","102,368","102,767","100,048","234,890","244,800","1,580,000","232,000"
ニシソ,-,-,-,"12,363","4,573",600,"7,800","2,340","52,260","30,045",-,"8,640","31,139","3,220","106,900","47,795","12,024","35,308","5,665","1,933,200","1,800,000","1,482,000"
サノく,-,-,-,"32,715","4,852","5,769","10,446","21,420","31,703","61,401","2,400","141,915","57,630","176,970","96,285","47,181","111,433","7,548","49,410","72,200","72,000",-
カレイ,-,-,-,-,"2,380",480,"12,920",-,"1,323","1,271","17,560",-,-,-,-,-,-,-,-,-,-,-
ホッケ,"8,321","20,983","11,335","12,381","20,792","77,992","33,970","14,160","6,005","7,917","11,000","67,170","56,270","93,460","42,296","128,169","127,660","112,512","234,000","653,100","282,000",-
スケトウダラ,-,-,"2,112","1,721",-,"1,789","1,200",-,"4,034","14,662","70,953","2,800","5,552","17,112","12,880","25,934","1,896","3,416","3,450","61,940","74,000",一
サソマ,"116,133","52,826","75,891","57,015","17,547","79,514","49,799","54,450","19,795","2,594","15,000","66,860","182,840","211,700","83,925","19,185","17,292","1,233","77,916","20,400","18,000",-
その他魚類,"38,078","27,429","21,006","50,220","34,653","92,161","128,858",-,"108,564","98,237","132,388","126,250","49,975","122,250","199,790","120,472","113,821","94,040","682,827","1,579,840","2,401,200","2,079,000"
その他魚肉,-,-,-,-,-,-,-,"107,585",-,-,-,-,-,-,-,-,-,-,-,-,-,-
イカ,"78,777","162,475","166,661","186,269","215,117","817,164","365,490","754,799","482,083","774,502","1,164,500","886,098","4,791,412","3,038,046","3,201,187","5,124,310","5,828,593","7,358,995","11,219,529","16,417,810","17,131,000","16,333,733"
タコ,"4,604","1,057",355,-,600,"4,479","5,768",-,450,300,"6,480","7,100","8,950","27,790","6,260","21,635","16,752","37,820",-,-,-,-
-1=ビ,-,-,-,-,-,-,-,-,-,-,"14,520","13,750","2,250",-,-,-,-,-,-,"40,000","108,000","182,700"
ホタテガイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"233,650",-,-,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"114,624","153,160.","308,055","173,570","506,000","490,000",-
クジラ肉,-,-,-,-,-,-,-,-,200,"14,100",-,-,-,-,-,-,-,-,-,-,-,-
サメ,"4,103",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他水産動物,933,-,"3,750",-,"9,197","45,607","70,559","6,066","4,670","90,616","66,550","54,075","63,730","74,025",-,-,-,-,-,-,-,-
【魚肉調理品計】,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,"126,908",-,-,-
魚肉調理品,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,"126,908",-,-,-
【水産動物計】,"355,580","384,912","182,561","141,509","105,868","12,588",-,"6,066",-,-,-,-,-,-,-,-,-,-,-,-,-,-
サケ・マス水煮,"219,081","331,981","91,421","5,658","26,749",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サケ・マス味付,-,-,-,-,-,"9,569",-,"6,066",-,-,-,-,-,-,-,-,-,-,-,-,-,-
サバ水煮,-,一,-,"6,104","3,570",-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サバ味付,-,-,-,"9,467","4,142",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サソマ水煮,"53,537","39,780","45,587",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サソマ味付,-,-,-,"50,575","21,131",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚類,"23,268","10,144","10,483",270,306,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ホタテガイ,"31,639",-,-,"1,325",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,"27,989","3,007",-,"68,110","41,644",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
クジラ肉,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,~,-,-,-,-,-
その他水産動物,66,-,"35,070",-,"8,326","3,019",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
【塩蔵品計】,"122,860","128,751","5,642","56,404","249,290","304,463","319,243","495,163","1,010,544","675,459","635,914","611,630","1,487,156","1,509,927","2,026,845","1,286,489","2,841,028","1,888,258","1,950,085","3,828,447","5,092,860","4,727,820"
サケ,"41,220","41,016","2,128","3,200",-,"114,450","17,250","73,320","216,250","103,790","29,450",-,"605,730","286,300","529,500","307,700","678,460","438,620","247,000","1,568,217","1,844,100","1,762,920"
マス,"27,115","19,640",-,"13,633","18,270","101,783","7,780","51,450","306,270","152,410","304,560","360,000","484,746","513,400","1,057,070","678,837","1,107,068","806,760","825,955","937,300","1,057,000","1,008,000"
ポッケ,-,-,"2,094","8,574","5,626",-,"5,555","33,238","27,390","52,950","1,470","5,400","7,040","3,297","1,495","2,962",242,"2,286","42,000","40,700","42,800","44,400"
タラ,-,-,-,-,-,-,-,-,-,-,一,"10,880",-,-,-,-,-,-,-,-,-,-
その他魚類,-,-,-,"25,528","9,424","29,991","8,253","19,465","14,230","3,630","22,100",-,-,380,190,240,468,"3,632",-,"65,400","68,860","45,000"
カズノコ,"52,410","64,220",255,"5,469","150,600",-,"138,200","147,955","377,464","273,608","210,140","164,900","143,100","446,600","359,000","234,000","732,600","461,000","613,200","443,400","1,480,000","1,340,700"
スジコ,-,-,-,-,-,-,"87,823",-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
スケソウタラコ,"2,115","3,875","1,165",-,-,"49,825",-,"78,515","68,940","89,071","54,094","60,500","231,500","198,000","63,990","41,600","286,000","149,500","221,930","397,600","306,000","391,000"
その他,-,-,-,-,-,-,-,-,-,-,"14,100","9,950","15,040","61,950","15,600","21,150","36,190","26,460",-,"375,830","294,100","135,800"
その他水産動物,-,-,-,-,"65,370","8,414","54,382","91,220",-,-,-,-,-,-,-,-,-,-,-,-,-,-
【干製品計】,"424,305","223,820","241,793","414,133","458,246","675,404","688,426","706,927","1,029,047","945,700","467,703","1,037,018","877,240","835,458","392,425","419,755","1,026,001","9,409,032","4,173,454","1,362,578","2,671,900","2,199,384"
ミガキニシソ,"101,100","60,896","93,102","93,897","201,307","116,855","160,319","213,957","390,572","363,988","25,257","209,500","113,500","70,800","83,000","168,000","253,300","158,400","225,000","315,000","320,000","342,000"
ポッケ,-,-,-,-,-,"3,650",-,-,-,-,-,-,-,-,-,-,-,-,-,"100,000","31,500","60,000"
棒タラ,368,-,-,-,-,"1,950","4,875",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
開スケソウダラ,"2,752","7,314","7,289",０,●　　皿,255,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
スキミスケソウタラ,237,26,"2,391",102,"18,412","38,038","61,822","86,078","103,012","124,997","74,754","136,768","359,080","177,200","198,300","142,480",67.320,"3,192","167,310","151,280","200,000",-
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
