,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
【魚油類計】,746,355,416,424,241,281,294,393,363,375,93,63,30,18,７,483,726,588,"1,605","2,356","1,778","1,763"
魚油,-,-,-,-,-,-,-,-,-,-,51,63,４,18,-,42,50,71,"1,600","2,354","1,773",３
クジラ油,０,13,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,一
粗肝油,-,-,-,-,-,-,-,-,-,-,42,-,26,-,-,-,-,-,５,２,５,-
その他,-,-,-,-,-,-,-,-,-,-,-,-,-,-,７,441,676,517,-,-,-,"1,760"
サノく,-,-,-,０,５,-,２,一,-,-,-,-,-,-,-,-,-,-,-,-,一,-
ポッケ,-,-,０,11,４,８,０,０,-,-,-,-,-,-,-,-,-,-,-,-,-,一
コウナゴ,０,45,30,７,18,４,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-
サソマ,378,76,107,128,１,０,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚類,35,32,29,18,25,43,32,38,８,０,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,302,174,243,260,180,95,124,37,６,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウダラ粗肝油,20,７,３,-,８,131,136,318,349,375,-,-,-,-,-,-,-,-,-,-,-,-
その他粗肝油,11,８,４,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
【飼肥料計】,"2,189",689,"1,321","2,389","2,461","2,878","3,388","3,081","2,922","3,868","5,067","5,009","7,529","19,679","22,592","20,689","20,042","13,763","13,550","12,560","9,591","10,005"
魚カス,-,-,-,-,-,-,-,-,-,-,897,322,"1,724",400,"1,354","1,269","1,363",704,-,-,-,18
粉末飼肥料,726,55,869,"1,266","1,927","2,375","2,925","2,609","2,787","3,764","4,170","4,687","4,692","4,277","4,318","3,930","2,788",703,"4,650","5,013","4,021","8,270"
ソリュブル,-,-,-,-,-,一气1,-,-,-,一,-,-,-,-,"2,437","15,490","15,891","12,356","8,900","7,539","5,570","1,717"
その他,-,-,-,-,-,-,-,-,-,-,-,-,"1,113","15,002","14,483",-,-,-,-,８,-,-
イワシカス,64,49,９,41,４,45,34,86,31,１,-,-,-,-,-,-,一,-,-,-,-,-
サノくカス,-,-,-,３,-,-,２,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
ホッケカス,０,-,２,34,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウタラカス,-,-,-,-,-,-,67,-,０,３,-,-,-,-,-,-,-,-,-,-,-,-
コウナゴカス,10,158,132,34,82,22,４,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サンマカス,921,92,202,287,20,33,６,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚カス,22,51,74,67,219,300,294,331,94,-,-,-,-,-,-,-,-,-,-,-,-,-
スケトウダラ荒カス,-,-,-,０,23,68,56,52,７,100,-,-,-,-,-,-,-,-,-,-,-,-
その他魚荒カス,184,114,33,52,13,19,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,一
その他飼肥料,262,170,-,605,173,３,,,,,,-,-,-,-,-,-,-,-,-,-,-
【その他】,63,401,-,-,-,-,３,３,-,-,,-,-,-,-,-,-,-,-,-,-,-
ィカ製品,-,325,-,-,-,n7,-,-,-,-,-,一,-,-,一,-,-,-,-,-,-,-
クジラ製品,63,76,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他製品,０,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,一,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
