,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
総　　　計,"19,739","18,928","22,412","33,025","45,738","41,545","39,841","41,037","50,107","50,531","51,268","56,532","56,160","66,883","74,198","73,601","79,172","88,253","116,587","165,566","113,358","55,240"
【冷凍品計】,"8,860","8,932","10,215","10,321","9,748","14,911","13,927","15,044","14,271","17,675","13,649","15,229","23,927","26,251","23,005","21,556","30,420","26,672","39,577","66,375","114,479","63,941"
サケ,394,１,-,-,19,308,113,216,15,55,59,344,55,４,43,n5,20,12,358,603,"2,700","2,527"
マス,516,"1,036",414,39,225,345,331,220,261,-,523,505,"1,165",79,600,165,222,169,283,272,"2,000",290
ニシソ,-,-,-,301,10,３,52,26,527,369,-,72,237,23,753,297,72,194,11,"3,222","3,000","2,470"
サノく,-,-,-,949,93,134,184,714,680,878,48,"2,838",533,"1,855",970,"2,515","3,319",204,183,361,400,-
カレイ,-,-,-,-,34,３,148,-,16,18,108,-,-,-,-,-,-,-,-,-,-,-
ポッケ,66,283,201,327,374,"2,787",519,236,69,97,101,"1,114",858,"1,194",533,"1,263","1,099",879,"2,280","6,531","4,700",-
スヶトウダラ,-,-,64,49,-,41,30,一,172,510,"1,609",700,223,602,518,"1,071",79,122,69,648,670,-
サソマ,"2,727","1,295","2,108","2,364",357,"1,791","1,254","1,210",440,50,75,256,653,730,957,149,131,９,294,68,100,-
その他魚類,904,624,595,757,"1,239","1,300","1,743",-,"1,979","1,074","1,124","1,721",734,"1,002","1,581",814,"1,682","1,101","1,315","3,209","4,030","2,970"
その他魚肉,-,-,-,-,-,-,-,"1,859",-,-,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,"4,057","5,682","6,001","5,535","6,508","6,786","7,099","10,527","10,091","11,476","8,585","6,226","18,554","19,622","17,016","14,164","22,651","22,054","33,823","48,932","52,100","55,594"
タコ,71,11,３,-,３,43,38,-,３,３,61,75,61,153,34,48,51,61,-,-,-,-
｀rビ,-,-,-,-,-,-,-,-,-,-,27,20,３,-,-,-,-,-,-,20,60,90
ホタテガイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,199,-,-,-
その他,-,-,-,-,886,"1,370","2,416",36,17,"3,105","1,320","1,358",851,987,-,955,"1,094","1,867",762,"2,509","2,410",-
クジラ肉,-,一,-,-,-,-,-,-,１,40,-,-,-,-,-,-,-,-,-,-,-,-
サメ,89,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他水産動物,36,-,829,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
【魚肉調理品計】,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,-,-,-
魚肉調理品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,415,-,-,-
【水産缶詰計】,"1,706","1,693","1,034","1,046",764,11,-,４,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サケ・マス水煮,709,"1,030",390,21,87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サケ・マス味付,-,-,-,-,-,５,-,４,-,-,-,-,-,-,-,-,-,-,一,-,-,-
サバ水煮,-,-,-,67,35,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サバ味付,-,-,-,94,44,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-
サソマ水煮,435,332,427,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-
サソマ味付,-,-,-,425,185,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚類,178,82,76,５,１,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ホタテガイ,124,-,-,２,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
イヵ,260,249,-,432,390,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-
その他水産動物,０,-,141,-,22,６,-,一,-,一,-,-,-,-,-,-,-,-,-,-,-,-
【塩蔵品計】,492,339,44,784,955,"1,622","1,136","1,873","2,421","1,550","1,120","1,058","2,408","2,004","2,755","1,610","4,603","2,484","1,841","3,620","4,391","3,593"
サケ,229,151,７,10,-,327,36,141,514,175,33,-,930,394,706,362,756,482,190,"1,409","2,049","1,469"
マス,188,121,-,77,50,394,20,147,"1,123",480,521,600,934,903,"1,783","1,020","3,127","1,494","1,261","1,339","1,510","1,440"
