,明治37,明治38,明治39,明治40,明治41,明治42,明治43,明治44,大正１,大正２,大正３,大正４,大正５,大正６,大正７,大正８,大正９,大正10,大正14,昭和１,昭和２
シン,"1,125",26,256,120,"13,545","10,221","6,133",-,-,96,-,-,30,"1,661",720,-,~,-,-,-,-
サケ,732,714,"1,566","2,100",960,607,247,"1,050",600,350,360,150,-,-,-,160,240,400,"1,000",500,600
"マス
イワシ","840
1,413","350
948","196
23,540","－
39,736","－
6,795","1,177
2,200","285
160","367
2,528","173
13,300","108
5,000","－
7,260","95
3,040","－
9,000","－
12,000","－
3,200","－
1,800","－
96,000","6,000
18,000","300
600,000","150
50,000","200
75,000"
タラ,263,65,665,580,-,-,30,一,-,-,-,-,-,-,-,-,-,600,"7,800","3,200","2,400"
サバ,78,30,10,-,-,12,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
マクロ,143,75,36,59,"12,920","1,125",675,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ブリ,"9,213","1,575",215,300,"1,200",900,630,-,-,360,720,300,720,800,-,"4,995",-,"3,000",-,"7,000","3,000"
カレイ,753,400,462,600,450,560,500,336,128,163,"1,200","1,520","2,250","1,900","2,040","21,000","19,000","7,500","120,000","62,500","120,000"
フカ,162,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,250,-,-,-
タイ,897,450,456,280,432,431,384,-,-,180,140,120,250,300,300,"1,320",-,-,-,-,750
カスベ,42,９,５,-,-,13,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-
サメ,237,30,20,18,56,450,463,437,-,42,５,"2,740",300,600,500,500,-,-,300,-,-
メヌキダイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,100","52,000",-,-
玉余魚,-,-,-,-,-,-,-,-,-,74,128,15,-,-,-,400,-,"1,200",-,-,-
ソイ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"I,200",-,800,"2,000",-,-
アブラコ,310,60,60,30,42,42,53,392,-,320,290,156,200,180,280,"1,500",-,"1,200","2,250",-,-
タナゴ,27,-,-,-,-,60,42,-,-,-,-,-,-,-,-,-,-,-,-,-,-
カナガシラ,310,-,-,-,-,45,37,422,一,-,-,500,"1,500","2,800",-,"7,000",~,-,-,-,-
ハモ,528,221,150,65,104,365,350,180,-,"1,020","1,020",825,600,500,500,"5,000",-,600,-,-,-
ソイ,146,49,37,-,36,84,67,319,-,200,132,250,250,250,-,-,-,-,-,-,-
比目魚,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
公魚,41,33,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ボラ,-,-,-,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-
ワカサギ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一,一,-,-,-,-,-
ハタハタ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"11,250",-,-
ヒシコ,-,-,-,-,-,-,-,一,-,-,-,-,"9,000",-,-,-,-,一,一,-,-
