,昭和19,昭和20,昭和21-26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
ニシソ,13,-,●・●,-,-,●●●,-,-,-,-,-,-,-,０,-,-,５,-,18,１,-,-,-,-,-,-,-,-,-,-
イヮシ,-,93,●●●,66,196,●■●,15,398,477,365,281,０,506,36,23,27,48,91,４,219,376,11,０,１,18,22,11,７,100,84
サケ,-,-,●●●,-,-,●●●,０,０,-,０,０,０,２,３,５,２,１,２,２,110,21,10,19,79,65,83,151,165,246,557
マス,０,２,●●喞,５,２,●●●,１,０,０,40,１,18,11,26,27,40,39,246,180,403,886,206,634,357,462,683,709,526,451,505
タラ,３,６,●●●,30,34,●●●,１,２,０,０,０,０,41,81,40,20,10,６,14,４,４,４,３,４,20,４,９,６,２,１
スケトウダラ,０,30,●●●,469,291,●●●,63,79,16,-,４,６,１,12,７,37,518,０,984,"1,652",151,１,１,１,１,０,２,３,-,０
ホッケ,70,179,●●●,298,"1,419",暮●●,186,51,177,５,０,27,107,"1,435",364,705,759,260,253,323,"1,312","1,321",488,225,j88,132,139,107,114,66
サバ,０,２,●●●,３,17,●●●,478,746,580,749,1414,"2,114",633,211,150,277,251,37,０,38,１,２,16,10,23,43,132,16,38,87
サソマ,-,-,●●●,-,３,●●●,"1,557","2,233","2,531","10,725","11,709","4,367","4,586","4,535",520,395,"1,456",500,167,38,47,143,98,"1,021",46,２,０,18,１,
ヒラメ,-,-,,８,５,●●●,７,15,７,35,54,27,34,36,49,15,11,12,７,９,５,６,６,15,25,13,10,５,４,３
カレイ,２,75,●●●,71,79,●●●,36,31,22,57,67,52,49,57,66,63,54,64,85,124,59,39,73,80,117,117,137,140,130,128
メヌケ,-,-,●●●,-,-,●●●,-,-,-,-,-,-,-,192,175,32,17,17,196,３,-,-,-,-,-,０,-,１,-,-
マクロ,-,-,●●●,-,０,●●●,-,-,-,-,１,０,０,Ｉ,１,13,３,８,７,１,３,１,１,０,３,８,０,-,０,-
ブリ,-,-,●・●,-,-,●●●,-,-,-,-,-,-,-,12,12,29,２,３,２,１,１,３,３,７,５,１,１,０,１,５
サメ,18,13,●●●,54,28,●●●,２,５,２,５,16,24,86,84,94,61,88,18,64,136,69,31,49,163,278,n8,168,63,352,２
イカナゴ,-,-,●●●,-,-,●●・,-,-,-,-,-,-,-,-,-,720,351,393,437,136,83,409,429,416,25,272,12,61,６,-
その他魚類,-,-,●●●,211,173,●●●,54,73,86,199,271,375,401,220,249,249,225,163,248,255,223,180,233,231,166,157,172,218,225,141
アブラカレイ,-,-,●●●,60,29,●●●,20,２,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
アブラザメ,-,-,●●●,53,126,・●●,８,-,-,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一
コウナゴ,-,-,●●●,23,35,●●●,７,21,１,167,177,350,30,89,663,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
カスベ,-,-,●●●,５,-,●●●,２,３,０,２,３,６,５,16,23,９,５,20,22,-,-,-,-,-,-,-,-,-,-,-
チカ,一,-,●●●,０,０,・・帰,０,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
魚類計,106,400,●●蒔,"1,356","2,437",●●●,"2,437","3,659","3,899","12,349","13,698","7,366","6,492","7,046","2,468","2,694","3,843","1,840","2,690","3,453","3,241","2,367","2,053","2,610","1,642","1,655","1,653","1,336","1,670","1,579"
イヵ,"1,139",965,●●●,"17,107","13,655",●●●,"12,933","3,577","4,867","3,376","13,049","10,370","11,276","5,882","12,777","4,806","5,704","8,542","11,601","9,480","12,226","21,184","23,470","20,718","18,923","23,936","22,913","31,369","41,410","41,927"
タコ,-,-,●申●,５,６,●●●,５,12,９,34,38,57,56,65,76,81,66,140,109,173,105,119,101,105,101,127,101,85,66,108
ナマコ,-,-,●●●,-,-,●●●,-,-,-,０,０,０,-,-,０,-,０,-,-,-,０,０,１,１,１,１,１,０,-,０
ケガニ,一,-,●●●,-,-,●●・,-,-,-,２,０,１,-,０,-,-,-,-,-,-,-,-,-,-,-,-,-,０,-,-
その他カニ,-,-,●●●,-,-,●●●,-,-,-,-,-,-,-,-,-,１,-,０,０,１,０,０,０,０,０,０,１,８,２,０
ウニ,-,-,●●・,-,０,●●●,２,３,４,５,３,22,33,37,*101,*113,*103,*81,*212,16,19,９,９,８,６,９,９,11,10,13
-Tフビ,一,-,■●二,-,-,●●●,-,-,-,-,-,-,２,28,０,36,16,10,14,22,４,13,-,０,-,-,-,-,５,-
その他水産動物,-,-,●●●,-,０,●●●,０,-,-,１,１,０,０,６,１,１,０,５,17,３,３,５,16,９,12,１,４,０,-,-
