,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,魚種名,昭和11,昭和12,昭和13,昭和14,昭和16,昭和17,昭和18,昭和19,昭和20
,建網及び地曳網,－シン,-,*0,-,-,-,-,１,13,-
,,イワシ,＊3,*8,*8,*7,*0,162,158,-,65
,,サケ,*0,*0,*0,-,-,-,０,-,-
,,マス,-,*0,*0,*0,*0,４,６,０,１
,,サバ,-,-,-,建網１,63,10,12,０,１
,,ポッケ,-,-,-,-,２,15,46,12,４
,,玉筋魚,-,-,-,-,40,-,-,-,-
,建網のみ,イカ｀,２,２,23,11,94,61,25,８,15
,建網のみ,マクロ,-,-,-,０,-,-,-,-,-
,,小計,５,10,31,35,199,252,248,33,86
,,サバ,-,-,-,-,-,-,-,-,０
,,小計,-,-,-,-,-,-,-,-,０
,流網及び刺網,イワシ,*0,*0,０,０,-,-,-,-,-
,,マス,-,-,-,-,-,０,０,-,-
,刺網のみ,タラ,その他15,３,18,-,-,-,-,-,-
,,小計,15,３,18,０,-,０,０,-,-
,釣その他,イヵ,650,692,839,"6,916",508,"3,187","1,224","1,131",949
,,小計,650,692,839,"6,916",508,"3,187","1,224","1,131",949
,刺網その他,ホヅケ,-,-,-,-,-,０,10,-,８
,,小計,-,-,-,-,-,０,10,-,８
,延縄その他,マス,*0,-,-,-,-,-,-,-,１
,,小計,０,-,-,-,-,-,-,一,１
,延縄及び一本釣,スケトウダラ,-,-,-,-,一,-,０,０,-
,,カレイ,46,42,18,31,27,５,18,２,５
,,タラ,34,２,６,21,４,０,１,８,-
,延縄のみ,サノく,-,-,-,60,-,-,-,-,-
,一本釣のみ,マクロ,０,-,-,-,-,-,-,-,-
,延縄のみ,サメ,-,57,52,54,６,25,29,18,６
,,小計,80,101,76,166,37,30,48,28,11
,底曳網,タラ,97,86,80,186,０,-,-,-,-
,,スケトウダラ,-,-,-,40,-,-,-,-,-
,,カレイ,40,62,285,208,-,-,-,-,-
,,小計,137,148,365,434,０,-,-,-,-
,手繰網,カレイ,-,８,18,０,-,-,-,-,65
,,小計,-,８,18,０,-,-,-,-,65
,刺網及び底建網その他,カレイ,24,２,６,10,６,27,18,-,４
,底建網のみ,ホッケ,-,-,-,-,１,-,一,１,２
,,小計,24,２,６,10,７,27,18,１,６
,項目名なし,昆布,17,27,５,23,11,９,９,40,３
,,小計,17,27,５,23,ｎ,９,９,40,３
,機船底曳網,サメ,-,213,492,171,-,-,-,-,15
,,小計,-,213,492,171,-,-,-,-,15
,漕曳網及び船曳網,ポッケ,-,-,-,-,-,-,-,56,163
,船曳網のみ,玉筋魚,-,-,一,-,10,-,-,-,-
,,小計,-,-,-,-,10,-,-,56,163
,空釣縄,タコ,20,-,２,-,-,１,-,-,-
,,小計,20,-,２,-,-,１,-,-,-
,その他,イワシ,-,-,-,-,-,-,-,-,94
,,タラ,-,-,-,０,-,-,-,-,６
,,スヶトウダラ,-,-,-,-,-,-,-,-,30
,,サノく,-,-,-,-,27,-,０,０,０
,,タコ,８,-,14,16,13,12,-,-,-
,,ギソナソソウ,-,-,-,-,４,-,-,-,-
,,小計,８,-,14,16,44,12,０,０,130
