,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54,昭和55
スノレメ,"2,878","1,499",790,"1,535","1,198",527,938,825,1.806,910,384,620,269,659,74,47,420,"4,000",81,120,727,140
その他,-,-,-,388,164,712,639,207,￣鈩￣￣￣,,,350,-,-,12,-,-,-,"2,330",305,337,"1,195"
圧搾煮乾サバ,18,０,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
煮干コウナゴ,47,24,５,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
イワシ,-,-,-,25,83,-,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-
サノく,-,-,-,10,９,-,-,-,-,-,-,-,-,-,-,-,-,一,-,-,-,-
コウナゴ,-,-,-,94,256,203,256,79,83,56,40,17,57,85,83,１,-,-,-,-,-,-
サソマ,-,-,-,18,４,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
【調味干くん製品計】,784,"2,384","4,087","6,544","11,787","9,367","7,132","8,160","10,294","15,710","15,555","13,013","5,876","6,737","12,368","8,830","10,742","13,362","15,151","14,474","14,993","14,030"
サケ・マス,-,-,-,19,-,57,126,43,35,38,65,84,142,133,135,94,186,180,87,126,139,126
タラスケトウタラ,-,一,-,378,255,508,477,"1,327","1,079","1,673",372,"1,376","1,552","1,777","3,744","1,040",904,819,593,700,731,380
ソボ卩,-,-,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
その他魚類,-,-,-,３,50,44,75,53,34,45,49,88,92,49,20,28,６,７,８,123,134,３
イヵ,-,-,-,"4,676","6,302","3,170","1,847",890,"1,350","1,077",一,"8,212","2,376","2,338","8,469","6,781","6,904","10,533","12,554","12,362","12,788","13,296"
ホタテ貝,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,115,-
その他,-,-,-,229,522,959,694,575,"1,322","4,163","4,137","3,253","1,714","2,440",-,887,"2,742","1,823","1,909","1,163","1,201",225
味付スルメ,-,-,-,"1,157",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
