,昭和19,昭和20,昭和21-26,昭和27,昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
ホッキガイ,-,-,●●●,-,-,●●●,-,-,-,一,-,-,-,-,-,"1,038",-,-,-,47,６,272,６,６,328,75,"1,390",360,259,103
アワビ,-,-,●●●,"2,692","3,843",●●●,"4,281","5,097","4,690","5,322","4,113","4,894",5.903,5.744,6.347,"10,303","13,093","8,952","13,677","23,191","23,876","25,953","29,150","30,321","38,170","37,530","32,453","29,618","21,893","10,327"
その他貝類,-,-,●４●,445,596,争●●,"1,314","1,832","2,756","4,744","2,917","3,202","2,474","2,651","5,967","4,129","4,802","5,309","17,564","15,943","16,041","21,297","15,100","16,309","13,512","56,658","28,331","31,285","47,565","21,050"
貝類計,-,-,血ａ●,"3,137","4,439",●●●,"5,595","6,929","7,446","10,066","7,119","8,096","8,377","8,534","12,975","15,478","17,943","14,261","32,199","42,718","111,210","141,182","129,246","146,710","110,009","156,535","150,413","93,740","72,455","37,982"
コソブ,155,15,●●●,"19,212","11,598",●●●,"5,000","7,782","18,200","23,170","13,211","9,592","4,187","1,443","3,116","5,481","33,537","207,860","370,289","348,160","416,018","341,594","508,455","382,644","678,990","927,379","485,668","428,511","374,450","501,572"
ワカメ,-,-,●●●,200,802,●●●,"1,797",159,70,670,"6,586","1,850","2,405","2,696","4,249","13,976","2,714","20,547","10,338","16,154","30,300","34,945","63,173","87,725","106,180","68,285","160,240","84,179","59,350","73,919"
チガイソ,-,-,●●●,"2,465","1,482",●■襴,"5,058",481,"2,439",507,"1,835","2,833","1,957","2,413","1,577","11,172","5,954","26,962","9,520","3,394","13,612","20,845","2,473","6,141","5,344","8,383","3,967",949,854,94
ノリ,-,-,●●●,-,-,争●●,-,-,-,-,-,-,397,547,138,195,89,250,16,92,223,19,11,17,37,154,121,32,-,-
その他海藻,-,-,季●●,-,589,●●●,713,750,"1,049",703,730,390,461,299,224,74,10,46,299,902,311,"1,962","8,608","9,842","3,232",248,"3,081","1,895",-,272
テングサ,-,-,●・●,467,250,●●●,"2,625","1,785","2,096","3,602","4,833","16,031","11,096","7,178","11,443","3,996","20,967","5,639",398,-,-,-,-,-,-,~,~,-,-,-
ギソナソソウ,-,-,●■●,864,"4,582",●争●,"2,749",560,"2,744",754,464,199,"1,090",122,212,140,63,126,47,-,-,-,-,-,-,-,~,-,-,-
フノリ,-,-,●●●,30,-,●●●,-,-,-,-,-,~,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
ツノマタ,-,-,■●●,"1,434",-,瑤●●,-,-,-,-,-,-,一,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
海藻計,155,15,●●●,"24,672","19,303",●●喩,"17,942","11,517","26,598","29,406","27,659","30,895","21,593","14,698","20,959","35,034","63,334","261,430","390,907","368,702","460,464","399,365","582,720","486,369","793,783","1,004,449","653,077","515,566","434,654","575,857"
合　　　計,"1,926","4,889",●●●,"119,264","188,686",●●●,"659,959","682,585","666,120","328,578","451,976","471,983","473,849","386,497","500,471","432,007","616,723","844,695","1,287,738","1,617,990","2,257,050","5,355,652","4,316,483","4,828,153","7,189,502","8,073,293","9,425,761","11,717,289","16,675,161","17,259,006"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
