,預　金　　高,,貸　　付　　高,,公　金　預　金,,為　　替　　金,,諸　　　　　手　　　　　形,,,,,
,一年間,年末残高,一年間,年末残高,一年間,年末残高,振　　出,受　　込,割　引　手　形,,荷　　為　　替,,貸　金　取　立　手　形,
明治14,,"180,013",●●●,"314,426",●・●,●●●,●・●,●●●,貨　　出,取　　立,貸　　　出,取　　立,貸　　　出,取　　立
15,●●●,"634,224",二●●,"582,176",,●●●,,,●●齒,●●●,●●暈,●■●,,●●●
16,"8,865,691","504,379","2,378,683","613,272",●Ｉ●,,"1,776,254","1,690,645",,●・●,●●●,,,９●●
17,●●●,●●●,●●●,,●●ｌ,,●●●,●●●,"251,248","68,444","243,304","123,593",,
18,●春●,●●●,,,●●●,●二●,●●●,,●●●,●●●,●●●,●●●,●●●,●二●
19,"4,358,068","418,712","1,606,007","711,315","5,150,335","234,224","2,874,900","2,515,771",,●●●,,●●●,,●●●
20,"5,955,243","655,272","1,625,132","546,966","1,354,628","64,000","2,859,591","2,394,840","109,429","80,841","470,692","216,806","18,369","9,890"
21,"5,804,684","395,016","1,652,316","541,866","1,251,784","65,669","3,156,618","2,912,717","237,686","63,604","603,547","229,690","6,830","47,796"
22,"5,133,364","595,788","2,035,025","659,785","2,633,605","197,839","4,241,628","3,105,126","538,019","473,310","686,011","327,355","17,635","105,874"
23,"6,226,442","520,473","3,360,010","732,612","470,342","8,807","4,478,508","3,170,730","1,613,033","1,085,328","902,753","412,002","19,125","95,639"
24,"6,138,218","710,875","2,847,268","644,436","182,636","9,291","4,545,688","3,508,128","1,666,802",837.036,"1,274,010","875,069","12,621","172,115"
25,"7,274,508","930,743","3,076,658","693,132","138,756","11,817","4,810,756","3,475,333","1,507,723","419,005","1,893,191","850,182","22,805","169,483"
26,●●●,●●●,●二●,●賚●,●●●,●●●,●●●,,"1,673,314","290,652","2,420,375","971,643","19,494","185,234"
,,,,,,,,,●●●,●●●,嘯●●,●●●,●●・,●●●
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
