,諸　　　　　預　　　　　金,,,,,,,,,,,,,,,,送　金　手　形　及　び　荷　為　替　手　形,,,,,,代　　　　　　金,,取　　　　立　　　　手　　　　形,,,,,
,定期預金,（↓平均額）,当座預金,（↓平均額）,その他預金,（↓平均額）,合　　計,（↓平均額）,貸　　付　　金　　及　　び　　割　　引　　手　　形,（↓平均額）,当座預金貸越,（↓平均額）,割引手形,（↓平均額）,総　　計,（↓平均額）,送　　　　金,,荷　為　　替,,合　　　　計,,為　替　手　形,,約　束　手　形,,小　　切　　手,,合　　　　　　計,
,預入高,月末残高,預入高,月末残高,預入高,月末残高,預入高,月末残高,貸付金,月末残高,貸　出　高,月末残高,割引高,月末残高,貸出割引高,月末残高,入金（振出）,出金（振込）,入金（取立）,出金（貸出）,入　　金,出　　金,入　　金,出　　金,入　　金,出　　　金,入　　金,出　　　金,入　　金,出　　　金
３,"6,990,983","3,892,642","81,712,078","1,617,098","5,983,637","381,348","94,686,698","5,891,088","220,639","646,293","19,526,920","1,010,933","25,547,428","3,269,811","45,525,830","4,927,037","16,716,953","21,132,386","7,466,387","12,618,416","24,183,340","33,750,802",●●●,尹●●,●呷●,●曾●,●●●,●●●,"1,822,206","3,056,194"
４,"8,157,029","4,445,803","84,501,837","1,770,629","18,589,172","2,754,091","111,248,038","8,970,523","451,482","645,609","21,815,010","989,099","39,833,366","3,872,502","61,951,405","5,507,210","20,240,702","22,501,323","7,415,771","17,167,448","27,656,473","39,668,771",曾●●,・●・,●●●,●●●,,●●●,"4,367,705","2,829,818"
５,"12,890,574","6,110,926","121,473,759","2,798,590","21,773,157","2,094,749","156,137,490","11,004,265","303,029","1,984,988","29,512,902","1,052,038","39,978,217","3,751,538","82,134,884","6,788,564","37,025,866","38,773,867","9,873,620","22,436,587","46,899,486","61,210,454",●●●,●●●,●■●,●●●,●●●,●●●,"7,329,617","3,959,462"
６,"115,034,008","6,442,739","69,464,441","5,584,238","30,311,007","2,430,401","214,809,456","14,457,378","12,643,765","5,273,831","59,071,278","1,510,476","69,607,626","6,812,716","156,704,956","13,597,023","56,735,670","64,162,111","14,219,819","26,194,644","70,955,489","90,356,755",●●●,,●●●,●●●,●●●,●●・,"3,785,187","6,572,854"
７,"25,130,372","13,276,253","340,739,545","87,166,594","29,754,365","3,797,997","395,624,282","104,240,844","28,026,052","9,216,151","84,406,459","2,126,749","122,233.113","12,193,571","252,882,622","23,536,471","84,287,227","101,941,933","26,266,093","46,841,582","110,553,320","148,783,515",●●●,●●●,,●●●,●●●,●●●,"10,222,823","215,079,546"
８,"31,382,867","18,193,390","388,067,018","10,350,961","32,259,215","4,371,687","451,709,100","32,916,038","46,243,050","12,258,892","104,663,143","4,006,454","132,109,639","14,300,315","315,155,096","30,565,661","96,350,463","112,172,893","36,817,944","53,258,403","133,168,407","165,431,296",●●●,●●●,●■●,●●●,●●●,●●●,"14,903,821","11,877,195"
９,"23,988,436","12,389,109","291,994,576","8,555,895","37,208,536","937,479","353,191,548","21,882,483","78,382,314","10,892,910","83,833,116","2,937,866","65,770,827","6,701,404","229,245,602","20,532,180","97,263,410","120,310,659","28,686,617","48,281,639","125,950,027","168,592,298",●●●,,,,●●●,●●●,"21,891,672","12,526,138"
10,"18,376,195","11,326,366","277,183,460","9,289,007","43,031,147","1,149,203","338,590,802","21,764,576","79,641,659","10,665,318","60,307,058","2,901,489","54,769,525","4,831,791","186,832,682","18,398,598","77,259,774","102,807,293","21,774,375","44,842,066","99,034,149","147,649,359",血●●,●●●,,,●●●,●●■,"18,619,528","8,634,111"
11,"27,183,422","11,711,525","221,448,059","5,128,617","62,090,141","5,583,866","310,721,622","22,424,008","71,756,099","13,005,192","66,786,497","3,451,976","19,425,708","3,235,399","186,889,248","19,692,567","75,032,814","91,299,395","23,085,151","43,568,015","98,117,965","134,867,410",■●●,●●●,●●●,●●●,●●●,●●●,"14,721,907","8,729,737"
12,"28,449,958","12,289,642","230,924,756","4,773,088","59,935,749","5,095,725","319,310,463","22,158,455","100,677,043","12,702,605","68,898,744","3,497,156","22,952,437","3,677,861","188,794,853","19,877.622","69,024,677","84,978,372","24,812,935","37,961,719","93,837,612","122,940,091",●●●,,齒●●,●●●,●●●,●．●,"15,575,858","11,519,223"
13,"34,024,973","13,708,990","257,048,649","5,074,053","66,291,785","5,194,030","357,365,407","23,977,073","96,943,672","14,496,745","77,920,490","3,405,647","21,814,321","3,415,735","207,054,284","21,318,127","63,821,532","93,069,059","24,081,506","43,619,906","87,903,038","136,688,965",●●●,●●■,●●●,●●●,●●●,●●●,"14,614,439","11,634,486"
14,"40,184,688","16,165,808","286,453,069","5,165,051","73,728,672","5,661,970","400,366,429","26,992,829","107,319,473","15,108,798","76,904,607","3,341,543","26,434,607","4,227,081","220,148,307","22,677,422","81,092,835","117,179,227","27,413,973","71,259,040","108,506,808","188,438,267",●●●,●●●,●■・,●●●,●●●,●●●,"22,231,156","11,935,895"
,,,,,,,,,"116,809,093",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
