,貸　　　　　　　付　　　　　　　　　金,,,,,,貸　　　　　　　付　　　　　　　金,,,,,,
,証　　書　　貸　　付,,手　　形　　貸　　付,,当　座　預　金　貸　越,,割　　引　　手　　形,,荷　付　為　替　手　形,,合　　　　　　　計,,（↓平均額）
,貸　付　高,償　還　高,貸　付　高,償　還　高,貸　付　高,償　還　高,貸　付　高,償　還　高,貸　付　高,償　還　高,貸　付　高,償　還　高,月末残高
昭和１,"3,538,248","1,717,240","68,641,526","67,956,948","103,132,839","102,563,730","70,598,404","69,940,788","50,853,741","52,211,918","296,764,758","294,390,624","39,367,601"
２,"1,442,779","1,777,623","72,023,546","71,070,987","97,246,804","97,410,514","76,913,625","77,619,787","44,379,532","44,948,736","292,006,286","292,827,647","38,546,240"
３,"2,421,639","3,019,253","102,590,176","102,395,857","114,315,161","115,185,081","63,478,279","66,513,555","65,251,280","65,544,845","348,056,535","352,658,591","36,350,586"
４,"997,496","1,274,173","106,005,411","104,376,663","98,100,499","97,977,551","70,939,244","68,371,568","50,500,211","49,924,684","326,542,861","321,924,639","36,944,257"
５,"3,425,858","2,234,656","63,970,481","68,140,506","66,720,576","66,900,554","69,877,862","71,051,132","30,939,136","32,631,157","234,933,913","240,958,005","37,254,290"
６,"1,592,920","1,879,733","58,721,170","57,531,453","46,451,845","46,262,007","45,616,902","45,276,091","24,184,400","24,276,785","176,567,237","175,226,069","32,964,523"
７,"3,433,697","1,852,225","54,320,757","54,549,870","40,376,505","40,679,634","44,934,966","44,691,368","25,112,415","25,052,572","168,178,340","166,825,669","34,268,515"
８,"1,289,818","1,414,759","54,742,531","55,655,284","46,113,829","45,866,157","44,057,662","42,538,715","27,756,491","27,397,697","173,960,331","172,872,612","35,078,346"
９,"545,870","1,835,811","67,693,504","62,573,712","56,026,628","55,158,253","57,224,096","56,267,073","32,172,050","32,088,316","213,662,148","207,923,165","36,841,853"
10,"1,215,663","1,538,120","107,032,504","105,825,597","64,604,214","64,517,874","87,709,588","85,047,278","30,006,252","30,504,110","290,568,221","287,432,979","43,188,015"
11,"605,902","1,109,149","113,164,522","111,112,950","75,080,814","75,093,315","86,760,068","85,099,427","31,646,049","31,450,292","307,257,355","303,865,133","49,650,750"
12,"941,261","1,797,929","143,472,929","141,464,631","87,191,062","87,259,138","110,083,329","106,094,613","34,680,867","34,485,094","376,369,448","371,101,405","57,930,069"
13,"5,146,470","3,455,613","177,080,869","166,453,320","95,203,746","95,505,252","114,943,236","116,467,667","40,366,837","40,105,466","432,741,158","421,987,318","62,648,957"
14,"2,065,101","2,777,838","245,475,036","242,493,380","155,957,773","154,785,840","85,170,641","84,758,908","65,014,365","60,916,678","553,682,916","545,732,644","65,698,311"
15,"3,845,316","4,106,018","468,356,917","446,364,495","201,363,259","199,877,555","72,636,753","70,833,659","68,014,134","69,522,709","814,216,379","790,704,436","62,648,957"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
