,銀　　行　　券,,国　　庫　　金,,φ八　　嶮石,丶|yr冫卜7jr冫ぢ八,-･---,｀冫砥ぷｎｘ芒i乙,d･ぜ･lgiﾑ，,･=!=･一一ム,納税準備,その他の,銀　　行　　貸　　出　　金　　勘　　定　（年末現在）,,,,,手　形　交　換　高　お　よ　び　不　渡　手　形　高　（年計）,,,,,,預　　　　　　金　　　　・　　　　貯　　　　　　金,,,,,,,貸　　　　　　　　出　　　・　　　貸　　　　　　　　付,,,,,
,発　　行,還　　収,受　　入,支　　払,吊Q5　　11yt,=1ｴＪ一一乙,日Xf刄丿冫4丶1L,XJ71ﾉ丶ＭＪ癶丶ぴ-,74－冫▽'JJ-R Jび･,AG.WJ・ヽ-,預　　金,預　　金,総　　額,手形貸付,証書貸付,当座貸付,割引手形,手　形　交　換,,八　　φ茫i,き!　　嶮芒i,不　渡　手　形,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,交換日数,枚　　数,-　-,-　-,枚　　数,金　　額,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　協,漁　協,相互銀行,信用金庫,信用組合,労働金庫,商工中金,農　　協
昭和23,,,,●●●,●●●,●●●,●●●,●●呷,●●●,●●●,,●●僵,■●蕃,●●●,,●●●,●●●,●●●,"254,143","18,2〔)5",,●●●,,,■●●,●●●,-,,■■・,春●●,・●■,,,-,●●●,●●●
24,●●●,●●●,二●●,●●●,"3,716",■●●,●●●,●●●,,,,●●齒,"2,538",●●●,●舎●,●●●,●●Ｉ,●●●,●●●,●啝●,●●●,●●●,●●●,274,■●●,72,-,●●●,,,271,●●●,58,-,■●●,●彈呷
25,夸●●,●●●,●●●,●●●,"3,955",●●啝,●●●,●●●,●●●,●●●,●●●,●●●,"3,388",,●●●,●●●,●●●,●■●,●●●,●●●,●嘯●,●●●,●●●,235,,130,-,,235,-,267,-,92,-,●曾●,●●●
26,●●●,二●●,●●●,■・●,"5,903",■呷●,■●●,●●●,●●啝,●●●,●●●,,"4,787",●●●,■●●,●●●,,●●呷,,,●●●,二●●,●春●,465,22,γ,-,,,,449,￢,37,-,,●●●
27,"16,253","7,682",●暈■,●●●,"8,056",二●●,●●●,●●●,●●●,●●●,●●●,●●●,"6,507",,●●●,●二●,,,,,,●●●,●●●,728,35,１,-,●●●,●●●,●●二,666,２,14,-,●●●,●●●
28,"18,793","8,412",●・●,●●●,"9,168","2,306","2,027",87,"3,999",529,10,210,"7,340","4,246",40,52,"3,002",・●●,●●●,,●二●,●●●,●●●,"1,062",36,〕,-,,,■●ｆ,980,２,54,-,●嗽●,・１●
39,"37,556","37,896","27,813","31,829","43,775","5,209","6,952","1,460","27,613",820,●●●,"1,721","29,122","19,519",825,330,"8,448",●●二,"1,598,687","241,514",●●●,"1,124",67,"5,093",,,,●●●,,204,"4,039",春Ｉ●,●●●,,"2,125",
40,"42,667","42,344","34,199","37,837","50,663","5,565","7,665","1,784","32,417",859,33,"2,340","32,477","22,248","1,085",329,"8,815",303,"1,622,464","262,645","39,396","1,274",95,"5,652","4,708",948,394,683,●●●,204,"4,472","4,350",639,299,"2,550",●●●
41,"48,860","50,483","38,030","41,205","58,290","6,477","8,960","2,197","37,990",955,37,"1,674","38,054","25,913","1,684",507,"9,950",299,"1,685,824","283,828","41,349",816,58,"6,372","5,520","1,255",505,800,●・■,,"5,042","5,617",860,393,"2,996",●●●
42,"55,194","56,888","41,735","43,657","67,307","9,241","9,664","2,193","43,517",964,37,"1,691","44,508","30,400","2,696",406,"11,006",299,"1,733,873","321,358","43,972",718,81,"7,887","6,917","1,493",646,"1,015",,,"5,920","7,174",944,562,"3,572",・●●
43,"65,872","67,727","45,039","48,976","76,996","8,698","11,347","3,240","50,119","1,104",41,"2,447","49,349","33,158","3,248",427,"12,516",303,"1,834,966","367,351","49,094",891,94,"10,188","9,621","1,760",901,"1,140",●●●,,"9,013","10,181","1,373",644,"4,451",●●●
44,"80,988","84,945","50,569","56,407","86,590","8,102","13,284","3,723","56,472","1,276",50,"3,683","56,988","37,335","5,036",415,"14,202",300,"1,900,967","437,388","54,896","1,294",143,"12,593","11,994","2,211","1,112","1,369",●●●,,"10,807","13,078","1,846",842,"5,261",●●●
45,"90,941","97,221","56,376","66,196","96,098","8,627","15,951","4,710","61,799","1,391",46,"3,574","64,221","41,682","5,950",525,"16,064",300,"1,895,179","484,875","65,215","1,250",115,"14,079","14,615","2,661","1,421","1,650",941,527,"12,422","15,160","2,382","1,047","6,271","1,312"
46,"100,024","107,819","65,470","78,159","115,219","11,795","18,526","8,575","71,484","1,357",47,"3,435","81,614","52,739","10,660",433,"17,782",302,"1,846,508","482,847","67,297",920,n7,"17,492","17,782","3,344","1,903","2,454","1,813","1,049","15,245","18,130","2,867","1,354","8,426","1,142"
47,"121,301","126,025","81,295","95,059","143,475","14,612","25,400","12,590","86,003","1,315",70,"3,485","101,935","61,147","20,567",541,"19,680",300,"1,829,717","525,252","81,810",685,93,"23,569","23,531","4,481","2,373","3,781","3,042","1,342","19,794","24,589","3,730","1,805","12,103","2,209"
48,"124,982","133,189","98,343","110,384","163,508","16,716","29,546","9,858","99,492","1,339",86,"6,471","115,698","67,983","25,213",705,"21,797",300,"1,875,416","641,387","106,440",456,109,"28,693","29,244","6,565","2,934","4,800","4,020","1,695","23,910","32,511","5,531","2,625","15,593","2,907"
