,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭‘和　51,昭　和　52,昭　和　53,昭　和　54,昭　和　55
奨学費,"1,000,000","1,000,000","1,000,000","1,000,000","11,000,000","2,890,000","2,544,533","2,533,915","2,532,860","4,575.785","19,371,500","29,706,310","9,902,928","9,267,840","10,316,170","12,477,660"
入学準備貸付金,,,,,,"1,890,000","1,544,533","1,533,915","1,532,860","2,075,785","2,371,500","2,706,310","2,902,928","2,267,840","2,316,170","2,477,660"
育英基金積立金,,,,,"10,000,000",-,-,-,-,-,"10,000,000","20,000,000",-,-,一,-
奨学資金繰出金,"1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","1,000,000","2,500,000","7,000,000","7,000,000","7,000,000","7,000,000","8,000,000","10.000,000"
災害復旧費,"12.511,000","66,858,608","66,496,771","40,121,642","169,851,397","56,638,953","29,080,196","37,653,238","197,941,194","190,255,837","198,164,415","141,565,501","85,064,406","40,192,000","63,881,813","100,803,672"
災害復旧費,"12,511,000","66,858,608","66,496,771","40,121,642","38,549,448","34,689,505","29,080,196","23,834,000","197,941,194","190,255,837","198,164,415","141,565,501","85,064,406","40,192,000","63,881,813","100,803,672"
農林施設災害復旧費,,,,,,,,,"14,741,626","27,681,391","4,333,068","36,846,066",-,-,-,-
土木施設災害復旧費,"12,511,000","62,233,780","54,249,771","40,121,642","35,649,568","32,149,505","29,080,196","23,834,000","132,150,284","156,012,058","193,831,347","79,069,435","85,064,406","40,192,000","63,881,813","100,803,672"
文教施設災害復旧費,,"626,700",-,-,-,-,-,-,"12,062,340",-,-,"25.650,000",-,-,-,一
都市施設災害復旧費,,,"12,247,000",-,"2,899,880","2,540,000",-,-,-,-,-,-,-,-,-,-
その他施設災害復旧費,,"3,998,128",-,-,-,-,-,-,"38,986,944","6,562,388",-,-,-,-,-,-
応急対策費,,,,,,,,"13,819,238",-,-,-,-,-,-,-,-
水害応急対策費,,,,,,,,"13,819,238",-,-,-,-,-,-,-,-
十勝沖地震災害復旧費,,,,,"98,514,949",-,-,-,-,-,-,-,-,-,-,-
応急対策費,,,,,"54,876,849",-,-,-,-,-,-,-,-,-,-,-
土木施設災害復旧費,,,,,"19,447,751",-,一,-,-,-,-,-,-,-,-,-
文教施設災害復旧費,,,,,"13,377.869",-,-,-,-,-,-,-,-,ー,-,-
その他施設災害復旧費,,,,,"10,812,480",-,一,-,-,-,-,-,-,-,-,-
融雪災害対策費,,,,,,"12,999,448",-,-,-,-,-,-,-,-,-,-
融雪災害応急対策費,,,,,,"12,999,448",-,-,-,-,-,-,-,-,-,-
火災復旧費,,,,,"32,787,000","8,950,000",-,-,-,-,-,-,-,-,-,-
義務教育施設火災復旧費,,,,,"32,787,000","8,950,000",-,-,-,一,-,-,-,-,-,-
公債費,"112,075,688","140,147,191","155,442,971","183,287,482","232,109,855","322,036,157","407,819,417","506,973,693","596,246,937","677,006,309","940,431,224","1,425,308,581","1,766,091,249","2,023,168,745","2.591,673,828","2,960,083,969"
公債費,"112,075,688","140,147,191","155,442,971","183,287,482","232,109,855","322,036,157","407,819,417","506,973,693","596,246,937","677,006,309","940,431,224","1,425,308,581","1,766,091,249","2,023,168,745","2,591,673,828","2,960,083,969"
