,,明治16,明治17,明治18,明治19,明治20
,収入,94.910,128.820,168.770,209.965,130.783
,前年度越高,,19.410,92.840,121.317,-
,共同館貸付料,74.000,74.000,54.335,-,75.000
,貸家地料等,20.910,35.410,21.595,88.648,55.783
,支出,75.500,35.980,47.453,38.653,24.000
,共同館借用料,24.000,24.000,18.000,24.000,24.000
,修繕費,51.500,11.980,29.453,14.653,-
,差引,19.410,92.840,121.317,171.312,106.783
