,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
合計,"80,822,327","332,025,778","378,811,811","429,612,060","456,394,041","503,354,331","521,445,344","554,242,839","595,338,052","685,052,699","802,841,491","1,013,055,107","1,159,414,981","1,316,864,720","1,441,588,316","1,443,103,248","1,714,562,296","1,955,886,099","2,156,006,471","2,424,863,609","2,732,715,642","3,010,084,969","3,732,586,746","3,993,865,044","3,895,585,737","4,038,851,419","3,958,555,661"
期間外費用,,,,,,,,,,,,"4,018,141",-,"921,690",-,-,"87,122,003","4,984,386","258,634","23,000","2,511,600","7,784,955","232,459,006",-,-,-,-
総　計,"80,822,327","332,025,778","378,811,811","429,612,060","456,394,041","503,354,331","521,445,344","554,242,839","595,338,052","685,052,699","802,841,491","1,017,073,248","1,159,414,981","1,317,786,410","1,441,588,316","1,443,103,248","1,801,684,299","1,960,870,485","2,156,265,105","2,424,886,609","2,735,227,242","3,017,869,924","3,965,045,752","3,993,865,044","3,895,585,737","4,038,851,419","3,958,555,661"
収支（収益一費用）,"△13,086,154","12,806,107","28,991,604","△2,322,748","8,500,558","△14,684,286","△4,973,012","△9,239,681","△18,817,469","△7,866,407","△39,580,047","△100,010,518","△100,427,183","△121,250,824","△135,474,225","△170,504,819","△339,791,654","△435,470,901","△676,227,058","△903,542,275","△680,181,796","△761,413,819","△521,292,180","83,020,710","215,220,514","311,257,895","290,807,213"
期間外収支,,,,,,,,,,,,"△4,018,141",-,"△919,837","112,662","28,516,311","△83,131,951","961,147,841","△254,187","112,000","80,329,822","971,358,774","6,512,608",-,-,-,-
資本的収入,,,,,,,,,,,,,,,,,,,,,,,,,,,
軌道事業収入,"7,560,722","37,342,230","40,602,895","47,038,223","20,736,687","22,881,585","74,157,342","53,000,000","54,075,692","35,027,714","102,760,500","37,000,000","72,000,000","36,000,000","40,000,000","46,000,000","55,000,000","67,050,000","19,000,000","25,000,000","1,480,433,854","88,251,442","59,989","825,853","344,828,237","131,025,249","220,200,000"
企業債,,,"40,000,000","47,000,000","20,000,000",-,-,-,-,-,-,"37,000,000","72,000,000","36,000,000","40,000,000","46,000,000","55,000,000","67,000,000","19,000,000","25,000,000","16,000,000","76,000,000",-,-,"272,300,000","3,500,000","5,900,000"
貸付金戻入,,,"602,895","38,223",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
他会計補助金,,,,,,,,,,,,,,,,,,,,,,,,,"72,528,237","127,302,513",-
