,,明治27
,歳入の部,
,共有金より,500.000
,歳出の部,
,傭給,80.920
,旅費及日当,283.430
,器械費,15.055
,備品費,6.518
,消耗品費,105.013
,通信運搬費,9.050
,合計,499.986
,残（明治27年度共有金へ戻入）,0.014
