,昭　和　39,昭　和　40,昭　和　41,昭　和　42,昭　和　43,昭　和　44,昭　和　45,昭　和　46,昭　和　47,昭　和　48,昭　和　49,昭　和　50,昭　和　51,昭　和　52,昭　和　53,昭　和　54
消防費,"233,774,401","258,971,281","305,639,852","344,175,544","408,967,295","462,959,205","536,003,418","656,388,392","735,186,984","972,241,151","1,468,604,915","1,626,625,267","1.647.820,884","153,149,732","188,626,113","306,858,239"
常備消防費,"216,237,383","246,160,338","280,998,722","316,137,460","380,878,293","417,958,935","507,510,804","605,967,630","677.143,262","893,464,900","1,288,156.757","1,518,834,897","1,596,955,585","77,424,579","86,290,728","101,228,813"
非常備消防費,"3,157,780","3,475,683","5,448,453","6,978,029","8,160,515","8,119,387","9,303,856","14,293,806","15,924,974","21,490,190","26,632,333","29,073.854","34,027,399",43.590.255,"50,676,952","47,883,358"
消防施設費,"14,344,070","9,000,000","19,017,977","20,698,330","19,256,080","36,468,105","18,793,594","35,518,389","41,627,250","56,830,000","152,834,000","78,051,406","16,190,000","31,515,000","51,107,200","157,122,562"
水防費,"35,168","335,260","174,700","361,725","672,407","412,778","395,164","608,567","491,498","456,061","981,825","665,110","647,900","619,898","551,233","623,506"
教育費,"733,660,436","740,536,090","862,662,609","925,241,981","1,124,362,581","1,168,448,522","1,473,785,093","1,945,217,210","2,033,419,088","3,123,609,351","4,879,953,169","6,110.951,537","6,126,157,350","3,868,640,277","4,389,569,139","5,092,559,437"
教育総務費,"45,081,169","54.862,327","53,858,113","65,003,182","87,345,258","87,268,613","85,260,132","106,413,379","134,953,911","241,598,333","397,180,094","421,177,503","441,546,692","156,267,549","231,063,798","334,642,159"
教育委員会費,"39,380,894","50,591,987","48,755.754","57,690,547","77,696,545","72,682,819","74,318,461","90,389,889","111,966,662","125,503.654","205,425,597","278,227,992","291,996,131","38,764,808","43,644,302","50,597,690"
教育会館費,"375,802","550,945","579,275","645,453","520,756","478,627","483,998","469,267","474,990","539,114","710,734",-,-,-,-,-
教育センター費,,,,,,,,,,,"23,338,122","46,955,943","47,597,867","9,830,272","10,980,980","18,645,795"
教育センター建設費,,,,,,,,,"386,864","68,879,000","116,151,953",-,-,-,-,-
