,昭和39,昭和40,昭和41,昭和42,昭和43,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和51,昭和52,昭和53,昭和54,昭和55
固定資産,"708,367,834","776,623,629","832,467,730","1,026,629,939","1,046,816,813","1,044,909,411","1,047,820,572","1,019,265,489","1,124,279,590","1,726,854,745","1,774,251,236","1,955,500,391","2,286,029,695","2,839,078,342","3,044,256,403","3,530,943,605"
流動資産,"114,128,112","123,658,160","156,387,016","216,341,857","284,628,791","298,017,789","238,382,257","278,862,326","311,844,950","322,996,117","389,577,072","844,244,420","995,407,030","1,405,102,361","1,711,869,484","1,365,883,560"
資産合計,"822,495,946","900,281,789","988,854,746","1,242,971,796","1,331,445,604","1,342,927,200","1,286,202,829","1,298,127,815","1,436424,540","2,049,850,862","2,163,828,308","2,799,744,811","3,281,436,725","4,244,180,703","4,756,125,887","4,896,827,165"
負債の部,,,,,,,,,,,,,,,,
固定負債,"9,951,279","67,268,278","63,769,274","60,270,270","60,071,266","74,530,277","81,481,166","65,994,235","52,473,100","43,745,351","1,052,132,550","900,363,900","824,467,025","748,561,043","672,645,352","596,719,311"
流動負債,"97,667,653","126,581,803","192,407,038","295,221,166","441,598,567","597,707,534","695,815,584","891,007,151","954,973,929","1,335,399,485","545,531,308","342,136,842","338,193,685","442,812,813","480,888,725","450.126,699"
負債合計,"107,618,932","193,850,081","256,176,312","355,491,436","501,669,833","672,237,811","777,296,750","957,001,386","1,007,447,029","1,379,144,836","1,597,663,858","1,242,500,742","1,162,660,710","1,191,373,856","1,153,534,077","1,046,846,010"
資本の部,,,,,,,,,,,,,,,,
資本金,"674,768,477","667,733,636","759,169,785","912,434,997","894,075,074","852,895,840","817,705,064","791,002,095","874,835,219","1,292,107,749","1,335,869,295","1,555,053,839","1,560,478,826","1,976,836,154","2,273,807,486","2,550,372,364"
自己資本金,"166,498,683","163,098,697","162,998,897","162,998,897","162,998,897","162,998,897","162,998,897","162,998,897","163,298,897","163,298,897","163,298,897","163,298,897","163,298,897","303,298,897","559,298,897","803,298,897"
借入資本金,"508,269,794","504,634,939","596,170,888","749,436,100","731,076,177","689,896,943","654,706,167","628,003,198","711,536,322","1,128,808,852","1,172,570,398","1,391,754,942","1,397,179,929","1,673,537,257","1,714,508,589","1,747,073,467"
剰余金,"40,108,537","38,698,072","△26,791,351","△24,954,637","△64,329,303","△182,206,451","△308,828,985","△449,875,666","△446,157,708","△621,401,723","△769,704,845","2,190,230","558,297,189","1,075,970,693","1,328,784,324","1,299,608,791"
資本剰余金,"35,853,807","46,883,607","38,574,072","13,442,400","54,135,600","63,005,200","58,445,100","58,062,400","125,947,700","234,293 JOO","172,553,200","201,731,880","214,578,980","255,862,980","301,852,980","375,400,980"
再評価積立金,"26,771,707","26,771,707","26,771,707",-,-,-,-,-,-,-,一,-,-,-,-,-
受贈財産評価額,"143,100","192,900","268,900","423,400","438,600","796,200","1,036,100","1,331,400","11,258,700","11,441,700","11,441,700","11,907,180","12,671,580","13,968,580","13,968,580","14,178,580"
補助金,"8,939,000","19,919,000","11,533,465","1,519,000","33,497,000","39,579,000","42,709,000","43,601,000","62,559,000","149,871,000","153,635,500","177,280,700","182,673,400","194,273,400","199,232,400","222,359,400"
他会計負担金,,,,"11,500,000","20,200,000","22,600,000","14,700,000","13,100,000","52,100,000","72,951,000","7,446,000","12,514,000","19,204,000","47,591,000","88,622,000","138,833,000"
寄付金,,,,,,"30,000",,"30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000"
利益剰余金又は欠損金,"4,254,730","△.8,185,535","△65,365,423","△38,397,037","△118,464,903","△245,211,651","△367,274,085","△507,938,066","△572,105,408","△855,695,423","△942,258,045","△199,541,650","343,718,209","820,107,713","1,026,931,344","924,207,811"
当年度純利益,"4,879,533",-,-,-,-,-,-,-,-,-,-,"299,457,263","530,745,859","616,389,504","462,823,631","141,276,467"
繰越利益剰余金年度末残高,,"1,592,215",-,-,-,-,-,-,-,-,-,-,-,"203,718,209","564,107,713","782,931,344"
建設改良積立金,,"87,231",-,-,-,-,-,-,-,-,-,-,-,-,-,-
減債積立金,,"300,000",-,"300,000","300,000","300,000","300,000","300,000",-,-,-,-,-,-,-,-
繰越欠損金年度末残高,"△624,803",-,"△2,801,935","△30,888,079","△30,515,554","△101,788,020","△232,579,947","△334,884,306","△502,339,505","△532,844,849","△788,126,380","△498,998,913","△187,027,650",-,-,-
当年度純損失,,"△10,164,981","△62,563,488","△7,808,958","△88,249,349","△143,723,631","△134,994,138","△173,353,760","△69,765,903","△322,850,574","△154,131,665",-,-,-,-,-
資本合計,"714,877,014","706,431,708","732,378,434","887,480,360","829,745,771","670,689,389","508,876,079","341,126,429","428,677,511","670,706,026","566,164,450","1,557,244,069","2,118,776,015","3,052,806,847","3,602,591,810","3,849,981,155"
負債資本合計,"822,495,946","900,281,789","988,554,746","1,242,971,796","1,331,415,604","1,342,927,200","1,286,172,829","1,298,127,815","1,436,124,540","2,049,850,862","2,163,828,308","2,799,744,811","3,281,436,725","4,244,180,703","4,756,125,887","4,896,827,165"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
