,,明治30
,収入の部,
,公借金,"230,000.000"
,補助金,"73,333.000"
,雑収入,"5,094.491"
,預金利子,"4,881.703"
,不用品売却代,102.330
,雑入,110.458
,合計,"308,427.491"
,支出の部,
,工事費,"290,351.934"
,建設費（高区・結合井）,"106,317.381"
,水管及制水器具費,"152,168.443"
,運搬費,"4,557.472"
,電話線費,280.203
,建築事務所費,"17,295.623"
,水源手入費,664.247
,建設費（低区）,"9,068.565"
,区費へ組替高,"(73,333.000)"
,合計,"290,351.934"
,収支差引高,18.075.557
,内,
,盗難損失高,878.148
,分水工事用品購入費繰替,"5,224.025"
,若松町水面埋立費繰替,11.500.000
,現在金,473.384
