,,明治16,明治17,明治18
,収入,,,
,元金,986.339,-,-
,繰越高,,"1,026.398",977.295
,利子,142.509,41.717,27.090
,合計,"1,128.848","1,068.115","1,004.385"
,支出,,,
,窮民長家建築費,102.450,-,-
,窮民救護費（12名）,,90.820,649.366
,差引,"1,026.398",977.295,355.019
