,国税付加税（昭和22ョリ道税付加税）,,,,,地方税付加税(昭和21ョリ道税付加税),,,地方税付加税（昭和21ョリ道税付加税）,,,,,,,,,地方税付加税（昭和21ョリ道税付加税）,,,,,,,,地方税付加税（昭和21ョリ道税付加税）,,,,,独　　　立　　　税,,,,独　　　　　立　　　　　税,,,,,,,,娯楽税,閑畳税,特別漁業税,軌道税,計,独　　　　　　立　　　　　　税,,,,目的税（昭和22ョリ都市計画税）,,,,,,,,,
24,"229,046,867.17","8,223,316.00","13,354,879.80","53,659,034.00","74,761.00",-,-,"1,378,175.00","2,426,402.00","245,472.00","18,913,092.10","25,473.00","93,600.00",-,"6,129,641.00",-,-,"23,855,214.87","1,431,530.00","4,521.00","3,211,385.00","66,892,661.33","19,424,693.72","7,812,506.35","12,745.00","107,842.00","956,844.00","738,694.00","74,384.00",-,"51,688,478.00","40,841,176.00","780,910.00","4,683,077.00","258,160.00","414,450.00","1,201,380.00",-,-,"272,474.00",-,"1,640,700.00",地方税分与税,,旧法二依ル税収入,,,"168,200.00","146,400.00",-,-,"26,816,174.10",-,-,"63,765,000.00","63,765,000.00","5,141,416.80","5,141,416.80",,"りa}a
271,4'","冫１，ＵＯＩ．０４
54,622.64"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
