,昭和27(28.1-3),昭和28,昭和29,昭和30,昭和31,昭和32,昭和33,昭和34,昭和35,昭和36,昭和37,昭和38,昭和39,昭和40,昭和41,昭和42,昭和44,昭和45,昭和46,昭和47,昭和48,昭和49,昭和50,昭和51,昭和52,昭和53,昭和54
前年度支出充当額,,,,,,,,,,,,,,,,,"16,100,000",-,-,-,"17,420,000",-,"7,481,170",-,-,-,-
不足額補填資金,,,,,"121,214,002","60,319,076","96,049,788","58.986,380","69,563,177","58,819,918","123,357,851","80,451,496","169,165,367","94,316,844","100,392,349","113,767,169","129,963,639","110,768,967","160,579,585","140,369,932","153,304,310","196,799,319","166,666,699","347,097,280","367,030,526","177,387,520","195,366,074"
当年度損益勘定留保資金,,,,,"22,266,411","26,240,690","27,412,833","27,284,048","55,465,607","50,433,250","39,607,467","53,676,707","58,727,074","70,479,364","61,542,938","49,164,770","90,544,371","85,791,958","95,125,439","86,366,623","16,100,000",-,"138,938,793","68,016,574","187,185,792","177,387,520","195,366,074"
過年度損益勘定留保資金,,,,,,,,,,,,,,,"42,667","900,000",-,-,-,一,-,-,-,"254,050,754",-,-,-
繰越工事資金,,,,,,,,,,,,,"1,730,084","18,134,895","17,430,480",-,-,-,-,-,-,"11,049,530",-,"25,029,952","10,769,230",-,-
建設改良積立金,,,,,,,,,,,"5.140,000","4,371,440","12,069,397",-,-,-,"20,042,063","11,927,883","30,575,078","8,994,311",-,-,-,-,-,-,-
減債積立金,,,,,"1,920,000","900,000","2,940,000","1,420,000","940,000",-,"1,400,000","2,500,000","1,750,000","1,750,000","250,000",-,~,-,-,-,-,-,-,-,-,-,-
一時借入金,,,,,,,,,"13,157,570","8,371,191","35,420,834",-,"63,498,132",-,"21,126,264","63,702,399",-,-,-,"45,008,998","137,204,310","185,749,789","27,727,906",-,"140,000,000",-,-
繰越棚卸し資産,,,,,,,,"3,519,074",-,-,"1,190,651",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
繰越利益剰余金,,,,,"7,465,779","1,051,620",-,"230,633",-,-,"371,899",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
利益剰余金,,,,,"37,352,358","26,930,642","5,850,864","10,836,589",-,"15,477","40.227,000","19,903,349","31,390,680","3,952,585",-,-,"19,377,205","13,049,126","34,879,068",-,-,-,-,-,"29,075,504",-,-
繰越企業債,,,,,"52,209,454","5,196,124","59,846,091","12,708,263",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,一
翌年度収入金,,,,,,,,"2,987,773",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
貸借対照表,,,,,,,,,,,,,,,,,,,,,,,,,,,
資産の部,,,,,,,,,,,,,,,,,,,,,,,,,,,
固定資産,"944,390,073","998,662,782","1,035,961,007","1,070,794,655","1.156.165,772","1,273,556,446","1,385,667,613","1,502,171,882","1,588,762,395","1.638,565,041","1,791,116,770","1,890,184,360","1,981,973,841","1,999,633,966","2,026,586,739","2,130,711,959","2,526,352,232","2,717,243,391","2,879,010,042","3,113,374,347","3,929,553,135","4,358,629,737","5,411,218,127","6,545,677,725","8,427,061,170","9,024,258,329","9,356,610,139"
