,大正11.8-12.3,大　正　12,大　正　　13,大　　正　　14,昭　和　　６,昭　　和　　７,昭　　和　　８,昭　　和　　９,昭　　和　　元,昭　　和　　２,昭　　和　　３,昭　　和　　４,昭　　和　　５,昭　　和　　10,昭　　和　　11,昭　　和　　12,昭　　和　　13,昭　　和　　14
防空計画費及防空委員会費補助,,,,,,,,,,,,,,,,306.000,"1,901.00","7,464.40"
花柳病診療費補助,,,,,,,,,,,,,,,,,,507.00
農地関係調整処理補助,,,,,,,,,,,,,,,,,,50.00
花柳病診療所設置費補助,,,,,,,,,,,,,,,,,,"8,277.72"
地方費補助,"62,200.490","46,742.960","4,815.740","7,831.260","10,424.520","11,902.280","12,805.550","9,470.360","9,183.050","11,018.890","9,962.150","12,409.530","11,929.100","10,778.190","23,747.330","20,193.690","21,744.85","30,676.48"
伝染病予防費補助,"9,879.490","4,736.960","4,815.740","6,583.260","7,354.380","5,924.770","6,192.050","4,155.120","9,183.050","9,924.890","8,061.150","7,431.820","7,652.100",4.428.530,"4,916.730","7,543.620","5,226.00","6,903.89"
工業補習学校補助,"1,350.000",500.000,-,"1,023.000",-,-,-,-,-,-,-,-,-,-,-,-,-,-
実業学校補助,,,,,"1,664.000","1,569.000",871.000,895.000,,,857.000,0.000,"1,800.000",800.000,-,-,-,-
救民救護費補助,,,,,882.140,"3,899.510","5,237.500","3,912.240",,520.000,470.000,450.000,450.000,"5,040.660","6,267.490","7,205.320","7,002.36","9,196.64"
青年学校費補助,,,,,,,,,,,,,,,"6,626.000","4,U9.000","4,692.00","7,261.00"
商工統計費補助昭和6ｮﾘ産業統計,,,,,524.000,509.000,505.000,508.000,,574.000,574.000,557.000,541.000,509.000,509.000,507.000,509.00,213.23
母子保護費補助,,,,,,,,,,,,,,,,818.750,"4,315.49","6,364.72"
桟橋改修工事費補助,,,,,-,-,-,-,,,,"3,970.710",-,-,ー,-,-,-
冬季失業救済費補助,,,,,-,-,-,-,,,,,"1,486.000",-,-,-,-,-
産業奨励費補助,,,,225.000,-,-,-,,-,-,-,-,-,-,-,-,-,-
土木費補助,"50,971.000","41,506.000",-,-,-,-,-,一,-,-,-,-,-,-,"5,428.110",-,-,-
治水堤防費補助,,,,,,,,,,,,,,,,,,737.00
交付金,"30,629.060","30,574.290","28,654.860","46,782.730","64,334.920","47,815.170","42,889.660","56,533.590","29,270.860","41,475.620","56,767.470","74,582.830","68,836.700","56,293.500","61,537.710","68,301.950","81,832.79","94,565.60"
御料地二関スル交付金,,,,,,,,,,,,,,,,5.000,5.00,10.00
国庫交付金　昭和11ｮﾘ国税徴収,"18,246.170","18,462.850","21,854.160","23,703.110","23,268.220","19,161.510","17,227.010","10,167.180","23,174.850","16,673.510","21,548.500","23,427.780","24,400.700","15,975.930","15,704.750","24,817.440","35,558.81","45,537.86"
地方費交付金,,,,,"11,703.740","6,453.190","6,357.040","7,062.490",,,"13,020.430","15,089.670","12,515.210","19,538.490","22,320.680","16,986.950","15,043.95","14,446.99"
家屋賃貸価格調査費交付金,,,,,-,-,-,-,,,,"10,539.000",-,-,-,-,-,-
就学奨励地方費交付金,,,,,692.340,"1,045.850","1,404.000","21,457.000",,,,,732.780,"4,778.510","3,556.770","3,711.000","2,637.00","2,371.00"
地方税徴収交付金,"12,382.890","12,111.440","6,800.700","23,079.620",28.670.620,"21,154.620","17,901.610","12,782.330","6,096.010","24,802.110","22,198.540","25,526.380","31,188.010","16,000.570","19,955.510",22.781.560,"25,677.43","29,289.87"
戸籍及除籍副本再製費交付金,,,,,,,,"5,064.590",,,,,,-,-,-,-,-
関税交付金,,,,,,,,,,,,,,,,,"2,910.60","2,909.88"
恩賜就学奨励費交付金,,,,,513.000,513.000,-,-,931.470,493.010,513.170,669.940,513.000,-,-,-,-,-
就学奨励交付金,,,,,513.000,513.000,-,-,931.470,493.010,513.170,669.940,513.000,-,-,-,-,-
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
